DATAFLOW,LAST UPDATE,freq,ww_tp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2018,99.78,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2019,99.78,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2020,99.10,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2021,99.10,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2022,99.15,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2000,9.40,i,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2001,9.89,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2002,9.89,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2003,10.03,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2004,10.03,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2005,10.03,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2006,10.03,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2007,10.03,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2008,10.65,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2009,10.65,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2010,10.91,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2011,11.05,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2012,11.44,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2013,11.73,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2014,11.75,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2015,11.75,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2016,29.56,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2017,29.60,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2018,29.00,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2019,29.60,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2000,41.10,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2001,45.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2002,47.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2003,51.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2004,53.20,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2005,54.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2006,57.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2007,68.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2008,71.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2009,72.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2010,75.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2011,77.20,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2012,76.76,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2013,79.13,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2014,80.51,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2015,81.93,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2016,82.84,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2017,83.33,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2018,84.34,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2019,84.25,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2020,83.58,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2021,84.03,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2022,84.04,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2000,36.10,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2001,37.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2002,37.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2003,37.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2004,38.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2005,38.27,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2006,38.75,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2007,39.66,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2008,41.35,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2009,42.69,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2010,45.10,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2011,53.63,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2012,53.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2013,54.54,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2014,54.77,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2015,60.63,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2016,61.84,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2017,63.19,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2018,63.72,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2019,64.51,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2020,65.05,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2021,65.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2000,96.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2001,96.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2002,96.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2005,97.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2010,98.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2013,98.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2019,98.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2000,14.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2001,15.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2002,18.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2003,22.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2004,28.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2005,29.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2018,82.65,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2019,83.07,i,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2020,83.48,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2002,69.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2003,70.60,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2004,70.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2005,72.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2006,71.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2007,73.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2008,75.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2009,75.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2010,76.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2011,78.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2012,78.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2013,79.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2014,79.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2015,80.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2016,81.20,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2017,82.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2018,82.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2019,82.60,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2020,83.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2021,84.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2022,84.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2001,92.60,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2002,93.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2003,93.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2004,93.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2005,97.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2006,94.60,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2007,91.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2008,93.13,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2009,94.37,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2010,95.60,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2011,95.50,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2012,95.41,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2013,95.35,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2014,95.56,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2015,95.77,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2016,95.97,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2017,96.09,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2018,96.20,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2019,96.32,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2000,92.90,i,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2001,87.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2002,88.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2009,93.20,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2010,93.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2011,93.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2012,94.20,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2013,95.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2014,96.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2015,96.50,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2016,96.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2017,97.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2018,97.10,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2019,97.50,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2020,97.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2021,97.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2022,97.93,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2000,69.00,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2001,69.00,e,
