DATAFLOW,LAST UPDATE,freq,nace_r2,ceparema,na_item,ty,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2013,2.38,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2014,1.92,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2015,2.24,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2016,2.36,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2017,2.36,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2018,2.34,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2019,2.23,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2020,2.49,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2021,2.35,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Bulgaria,2022,2.65,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2000,2.28,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2001,2.3,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2002,2.47,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2003,2.43,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2004,2.43,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2005,2.57,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2006,2.56,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2007,2.65,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2008,2.82,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2009,3.05,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2010,3.37,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2011,3.57,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2012,3.73,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2013,3.82,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2014,3.68,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2015,3.74,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2016,3.63,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2017,3.57,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2018,3.31,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2019,3.15,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2020,3.29,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2021,3.27,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Switzerland,2022,3.13,p,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Cyprus,2018,1.93,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Cyprus,2019,1.91,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Cyprus,2020,1.76,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Cyprus,2021,1.82,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Cyprus,2022,1.74,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2014,2.55,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2015,2.43,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2016,2.36,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2017,2.28,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2018,2.26,b,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2019,2.27,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2020,2.73,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2021,2.76,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Czechia,2022,2.74,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2014,1.79,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2015,1.77,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2016,1.81,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2017,1.88,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2018,1.92,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2019,1.92,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2020,2.2,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2021,2.3,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Germany,2022,2.67,be,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2012,2.81,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2013,3.14,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2014,2.79,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2015,3,b,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2016,3.18,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2017,3.26,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2018,3.28,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2019,3.45,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2020,3.26,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2021,3.37,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Denmark,2022,3.15,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2014,3.88,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2015,4.35,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2016,4.78,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2017,4.62,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2018,4.46,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2019,4.3,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2020,4.18,b,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2021,4.68,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Estonia,2022,4.72,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2014,1.7,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2015,1.75,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2016,1.71,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2017,1.67,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2018,1.78,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2019,2.03,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2020,2.24,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2021,2.19,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Greece,2022,2.96,p,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2014,2.13,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2015,2.28,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2016,2.2,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2017,2.22,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2018,2.32,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2019,2.23,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2020,2.71,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2021,2.98,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2022,2.97,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),Spain,2023,2.65,,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2000,1.6,i,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2001,1.62,i,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2002,1.68,i,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2003,1.67,i,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2004,1.7,i,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2005,1.7,i,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2006,1.78,i,
ESTAT:SDG_12_61(1.0),10/02/25 23:00:00,Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2007,1.84,i,
