ww_tp,unit,country,year,value
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2011,77.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2012,76.76
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2013,79.13
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2014,80.51
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2015,81.93
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2016,82.84
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2017,83.33
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2018,84.34
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2019,84.25
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2020,83.58
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2021,84.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2022,84.04
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2000,36.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2001,37.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2002,37.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2003,37.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2004,38.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2005,38.27
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2006,38.75
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2007,39.66
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2008,41.35
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2009,42.69
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2010,45.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2011,53.63
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2012,53.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2013,54.54
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2014,54.77
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2015,60.63
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2016,61.84
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2017,63.19
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2018,63.72
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2019,64.51
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2020,65.05
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bulgaria,2021,65.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2000,96.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2001,96.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2002,96.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2005,97.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2010,98.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2013,98.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Switzerland,2019,98.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2000,14.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2001,15.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2002,18.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2003,22.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2004,28.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2005,29.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2018,82.65
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2019,83.07
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Cyprus,2020,83.48
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2002,69.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2003,70.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2004,70.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2005,72.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2006,71.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2007,73.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2008,75.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2009,75.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2010,76.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2011,78.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2012,78.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2013,79.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2014,79.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2015,80.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2016,81.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2017,82.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2018,82.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2019,82.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2020,83.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2021,84.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Czechia,2022,84.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2001,92.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2002,93.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2003,93.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2004,93.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2005,97.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2006,94.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2007,91.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2008,93.13
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2009,94.37
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2010,95.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2011,95.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2012,95.41
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2013,95.35
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2014,95.56
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2015,95.77
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2016,95.97
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2017,96.09
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2018,96.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Germany,2019,96.32
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2000,92.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2001,87.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2002,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2009,93.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2010,93.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2011,93.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2012,94.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2013,95.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2014,96.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2015,96.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2016,96.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2017,97.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2018,97.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2019,97.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2020,97.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2021,97.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Denmark,2022,97.93
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2000,69.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2001,69.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2002,71.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2003,71.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2004,72.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2005,78.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2006,78.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2007,84.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2008,84.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2009,84.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2010,79.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2011,81.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2012,81.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2013,82.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2014,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2015,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2016,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2017,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2018,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2019,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2020,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2021,82.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Estonia,2022,82.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2007,85.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2008,86.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2009,87.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2010,87.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2011,88.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2012,92.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2013,92.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2014,92.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2015,93.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2016,93.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2017,94.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2018,94.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2019,94.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2020,94.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2021,94.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Greece,2022,94.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2000,80.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2001,84.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2002,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2003,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2004,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2005,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2006,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2007,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2008,88.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2009,90.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2010,93.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2011,90.85
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2012,88.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2013,86.69
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2014,84.68
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2015,85.66
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2016,86.62
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2017,87.41
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2018,88.21
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2019,87.57
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2020,86.93
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Spain,2021,86.93
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2000,68.17
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2001,68.79
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2002,69.86
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2003,70.74
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2004,71.43
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2005,72.54
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2006,72.63
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2007,73.31
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2008,74.15
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2009,75.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2010,76.25
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2011,77.07
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2012,77.51
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2013,77.79
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2014,78.07
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2015,78.81
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2016,79.52
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2017,80.01
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2018,80.37
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2019,80.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2020,80.81
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2021,80.88
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,European Union - 27 countries (from 2020),2022,80.88
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2000,80.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2001,81.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2002,81.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2003,81.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2004,81.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2005,82.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2006,82.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2007,82.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2008,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2009,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2010,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2011,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2012,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2013,83.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2014,85.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2015,84.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2016,84.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2017,84.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2018,85.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2019,85.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2020,85.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2021,85.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Finland,2022,85.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2001,77.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2002,78.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2003,78.77
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2004,79.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2010,77.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2011,79.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2012,80.17
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2013,80.44
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2014,80.38
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2015,80.34
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2016,80.46
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2017,80.43
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2018,80.19
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2019,80.02
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2020,79.85
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2021,79.68
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,France,2022,79.56
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2011,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2012,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2013,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2014,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2015,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2016,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2017,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2018,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2019,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2020,36.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Croatia,2021,31.39
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2000,29.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2001,29.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2002,32.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2003,38.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2004,40.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2005,41.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2006,45.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2007,49.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2008,50.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2009,52.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2010,69.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2011,70.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Hungary,2012,72.8
