unit,country,year,value
Euro per kilogram of oil equivalent (KGOE),Belgium,2022,7.24
Euro per kilogram of oil equivalent (KGOE),Belgium,2023,7.84
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2000,1.31
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2001,1.3
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2002,1.41
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2003,1.44
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2004,1.58
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2005,1.6
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2006,1.66
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2007,1.8
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2008,1.94
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2009,2.12
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2010,2.13
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2011,2.03
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2012,2.13
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2013,2.28
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2014,2.2
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2015,2.18
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2016,2.29
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2017,2.28
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2018,2.34
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2019,2.46
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2020,2.51
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2021,2.48
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2022,2.55
Euro per kilogram of oil equivalent (KGOE),Bulgaria,2023,2.94
Euro per kilogram of oil equivalent (KGOE),Cyprus,2000,5.34
Euro per kilogram of oil equivalent (KGOE),Cyprus,2001,5.5
Euro per kilogram of oil equivalent (KGOE),Cyprus,2002,5.79
Euro per kilogram of oil equivalent (KGOE),Cyprus,2003,5.51
Euro per kilogram of oil equivalent (KGOE),Cyprus,2004,6.32
Euro per kilogram of oil equivalent (KGOE),Cyprus,2005,6.0
Euro per kilogram of oil equivalent (KGOE),Cyprus,2006,6.06
Euro per kilogram of oil equivalent (KGOE),Cyprus,2007,6.17
Euro per kilogram of oil equivalent (KGOE),Cyprus,2008,6.12
Euro per kilogram of oil equivalent (KGOE),Cyprus,2009,6.21
Euro per kilogram of oil equivalent (KGOE),Cyprus,2010,6.61
Euro per kilogram of oil equivalent (KGOE),Cyprus,2011,6.72
Euro per kilogram of oil equivalent (KGOE),Cyprus,2012,6.9
Euro per kilogram of oil equivalent (KGOE),Cyprus,2013,7.22
Euro per kilogram of oil equivalent (KGOE),Cyprus,2014,6.99
Euro per kilogram of oil equivalent (KGOE),Cyprus,2015,7.04
Euro per kilogram of oil equivalent (KGOE),Cyprus,2016,6.94
Euro per kilogram of oil equivalent (KGOE),Cyprus,2017,7.14
Euro per kilogram of oil equivalent (KGOE),Cyprus,2018,7.39
Euro per kilogram of oil equivalent (KGOE),Cyprus,2019,7.82
Euro per kilogram of oil equivalent (KGOE),Cyprus,2020,8.59
Euro per kilogram of oil equivalent (KGOE),Cyprus,2021,9.19
Euro per kilogram of oil equivalent (KGOE),Cyprus,2022,9.19
Euro per kilogram of oil equivalent (KGOE),Cyprus,2023,9.48
Euro per kilogram of oil equivalent (KGOE),Czechia,2000,2.85
Euro per kilogram of oil equivalent (KGOE),Czechia,2001,2.86
Euro per kilogram of oil equivalent (KGOE),Czechia,2002,2.86
Euro per kilogram of oil equivalent (KGOE),Czechia,2003,2.83
Euro per kilogram of oil equivalent (KGOE),Czechia,2004,2.89
Euro per kilogram of oil equivalent (KGOE),Czechia,2005,3.1
Euro per kilogram of oil equivalent (KGOE),Czechia,2006,3.24
Euro per kilogram of oil equivalent (KGOE),Czechia,2007,3.42
Euro per kilogram of oil equivalent (KGOE),Czechia,2008,3.58
Euro per kilogram of oil equivalent (KGOE),Czechia,2009,3.63
Euro per kilogram of oil equivalent (KGOE),Czechia,2010,3.51
Euro per kilogram of oil equivalent (KGOE),Czechia,2011,3.72
Euro per kilogram of oil equivalent (KGOE),Czechia,2012,3.73
Euro per kilogram of oil equivalent (KGOE),Czechia,2013,3.71
Euro per kilogram of oil equivalent (KGOE),Czechia,2014,3.92
Euro per kilogram of oil equivalent (KGOE),Czechia,2015,4.11
Euro per kilogram of oil equivalent (KGOE),Czechia,2016,4.26
Euro per kilogram of oil equivalent (KGOE),Czechia,2017,4.29
Euro per kilogram of oil equivalent (KGOE),Czechia,2018,4.39
Euro per kilogram of oil equivalent (KGOE),Czechia,2019,4.62
Euro per kilogram of oil equivalent (KGOE),Czechia,2020,4.66
Euro per kilogram of oil equivalent (KGOE),Czechia,2021,4.58
Euro per kilogram of oil equivalent (KGOE),Czechia,2022,4.81
Euro per kilogram of oil equivalent (KGOE),Czechia,2023,5.23
Euro per kilogram of oil equivalent (KGOE),Germany,2000,6.95
Euro per kilogram of oil equivalent (KGOE),Germany,2001,6.87
Euro per kilogram of oil equivalent (KGOE),Germany,2002,7.0
Euro per kilogram of oil equivalent (KGOE),Germany,2003,6.95
Euro per kilogram of oil equivalent (KGOE),Germany,2004,6.98
Euro per kilogram of oil equivalent (KGOE),Germany,2005,7.07
Euro per kilogram of oil equivalent (KGOE),Germany,2006,7.12
Euro per kilogram of oil equivalent (KGOE),Germany,2007,7.69
Euro per kilogram of oil equivalent (KGOE),Germany,2008,7.67
Euro per kilogram of oil equivalent (KGOE),Germany,2009,7.75
Euro per kilogram of oil equivalent (KGOE),Germany,2010,7.67
Euro per kilogram of oil equivalent (KGOE),Germany,2011,8.39
Euro per kilogram of oil equivalent (KGOE),Germany,2012,8.36
Euro per kilogram of oil equivalent (KGOE),Germany,2013,8.22
Euro per kilogram of oil equivalent (KGOE),Germany,2014,8.77
Euro per kilogram of oil equivalent (KGOE),Germany,2015,8.87
Euro per kilogram of oil equivalent (KGOE),Germany,2016,9.01
Euro per kilogram of oil equivalent (KGOE),Germany,2017,9.21
Euro per kilogram of oil equivalent (KGOE),Germany,2018,9.54
Euro per kilogram of oil equivalent (KGOE),Germany,2019,9.86
Euro per kilogram of oil equivalent (KGOE),Germany,2020,10.22
Euro per kilogram of oil equivalent (KGOE),Germany,2021,10.19
Euro per kilogram of oil equivalent (KGOE),Germany,2022,10.84
Euro per kilogram of oil equivalent (KGOE),Germany,2023,11.84
Euro per kilogram of oil equivalent (KGOE),Denmark,2000,10.84
Euro per kilogram of oil equivalent (KGOE),Denmark,2001,10.75
Euro per kilogram of oil equivalent (KGOE),Denmark,2002,11.06
Euro per kilogram of oil equivalent (KGOE),Denmark,2003,10.52
Euro per kilogram of oil equivalent (KGOE),Denmark,2004,11.19
Euro per kilogram of oil equivalent (KGOE),Denmark,2005,11.73
Euro per kilogram of oil equivalent (KGOE),Denmark,2006,11.27
Euro per kilogram of oil equivalent (KGOE),Denmark,2007,11.6
Euro per kilogram of oil equivalent (KGOE),Denmark,2008,11.93
Euro per kilogram of oil equivalent (KGOE),Denmark,2009,12.01
Euro per kilogram of oil equivalent (KGOE),Denmark,2010,11.58
Euro per kilogram of oil equivalent (KGOE),Denmark,2011,12.56
Euro per kilogram of oil equivalent (KGOE),Denmark,2012,13.2
Euro per kilogram of oil equivalent (KGOE),Denmark,2013,13.23
Euro per kilogram of oil equivalent (KGOE),Denmark,2014,14.01
Euro per kilogram of oil equivalent (KGOE),Denmark,2015,14.34
Euro per kilogram of oil equivalent (KGOE),Denmark,2016,14.47
Euro per kilogram of oil equivalent (KGOE),Denmark,2017,14.93
Euro per kilogram of oil equivalent (KGOE),Denmark,2018,15.13
Euro per kilogram of oil equivalent (KGOE),Denmark,2019,15.72
Euro per kilogram of oil equivalent (KGOE),Denmark,2020,16.85
Euro per kilogram of oil equivalent (KGOE),Denmark,2021,17.23
Euro per kilogram of oil equivalent (KGOE),Denmark,2022,18.02
Euro per kilogram of oil equivalent (KGOE),Denmark,2023,18.81
Euro per kilogram of oil equivalent (KGOE),Estonia,2000,2.19
Euro per kilogram of oil equivalent (KGOE),Estonia,2001,2.2
Euro per kilogram of oil equivalent (KGOE),Estonia,2002,2.52
Euro per kilogram of oil equivalent (KGOE),Estonia,2003,2.53
Euro per kilogram of oil equivalent (KGOE),Estonia,2004,2.48
Euro per kilogram of oil equivalent (KGOE),Estonia,2005,2.68
Euro per kilogram of oil equivalent (KGOE),Estonia,2006,2.92
Euro per kilogram of oil equivalent (KGOE),Estonia,2007,2.69
Euro per kilogram of oil equivalent (KGOE),Estonia,2008,2.89
Euro per kilogram of oil equivalent (KGOE),Estonia,2009,3.09
Euro per kilogram of oil equivalent (KGOE),Estonia,2010,2.4
Euro per kilogram of oil equivalent (KGOE),Estonia,2011,2.67
Euro per kilogram of oil equivalent (KGOE),Estonia,2012,2.9
Euro per kilogram of oil equivalent (KGOE),Estonia,2013,2.66
Euro per kilogram of oil equivalent (KGOE),Estonia,2014,2.93
Euro per kilogram of oil equivalent (KGOE),Estonia,2015,3.43
Euro per kilogram of oil equivalent (KGOE),Estonia,2016,2.89
Euro per kilogram of oil equivalent (KGOE),Estonia,2017,3.08
Euro per kilogram of oil equivalent (KGOE),Estonia,2018,3.3
Euro per kilogram of oil equivalent (KGOE),Estonia,2019,4.04
Euro per kilogram of oil equivalent (KGOE),Estonia,2020,4.18
Euro per kilogram of oil equivalent (KGOE),Estonia,2021,4.37
Euro per kilogram of oil equivalent (KGOE),Estonia,2022,4.16
Euro per kilogram of oil equivalent (KGOE),Estonia,2023,4.64
Euro per kilogram of oil equivalent (KGOE),Greece,2000,5.76
Euro per kilogram of oil equivalent (KGOE),Greece,2001,5.89
Euro per kilogram of oil equivalent (KGOE),Greece,2002,6.14
Euro per kilogram of oil equivalent (KGOE),Greece,2003,6.33
Euro per kilogram of oil equivalent (KGOE),Greece,2004,6.56
Euro per kilogram of oil equivalent (KGOE),Greece,2005,6.61
Euro per kilogram of oil equivalent (KGOE),Greece,2006,6.96
Euro per kilogram of oil equivalent (KGOE),Greece,2007,7.19
Euro per kilogram of oil equivalent (KGOE),Greece,2008,7.17
Euro per kilogram of oil equivalent (KGOE),Greece,2009,7.2
Euro per kilogram of oil equivalent (KGOE),Greece,2010,7.2
Euro per kilogram of oil equivalent (KGOE),Greece,2011,6.65
Euro per kilogram of oil equivalent (KGOE),Greece,2012,6.26
Euro per kilogram of oil equivalent (KGOE),Greece,2013,6.89
Euro per kilogram of oil equivalent (KGOE),Greece,2014,7.04
Euro per kilogram of oil equivalent (KGOE),Greece,2015,7.02
Euro per kilogram of oil equivalent (KGOE),Greece,2016,7.15
Euro per kilogram of oil equivalent (KGOE),Greece,2017,6.94
Euro per kilogram of oil equivalent (KGOE),Greece,2018,7.22
Euro per kilogram of oil equivalent (KGOE),Greece,2019,7.37
Euro per kilogram of oil equivalent (KGOE),Greece,2020,7.91
Euro per kilogram of oil equivalent (KGOE),Greece,2021,8.13
Euro per kilogram of oil equivalent (KGOE),Greece,2022,8.43
Euro per kilogram of oil equivalent (KGOE),Greece,2023,8.94
Euro per kilogram of oil equivalent (KGOE),Spain,2000,6.75
Euro per kilogram of oil equivalent (KGOE),Spain,2001,6.81
Euro per kilogram of oil equivalent (KGOE),Spain,2002,6.8
Euro per kilogram of oil equivalent (KGOE),Spain,2003,6.77
Euro per kilogram of oil equivalent (KGOE),Spain,2004,6.69
Euro per kilogram of oil equivalent (KGOE),Spain,2005,6.76
Euro per kilogram of oil equivalent (KGOE),Spain,2006,7.01
Euro per kilogram of oil equivalent (KGOE),Spain,2007,7.14
Euro per kilogram of oil equivalent (KGOE),Spain,2008,7.43
Euro per kilogram of oil equivalent (KGOE),Spain,2009,7.74
Euro per kilogram of oil equivalent (KGOE),Spain,2010,7.78
Euro per kilogram of oil equivalent (KGOE),Spain,2011,7.75
Euro per kilogram of oil equivalent (KGOE),Spain,2012,7.56
Euro per kilogram of oil equivalent (KGOE),Spain,2013,8.01
Euro per kilogram of oil equivalent (KGOE),Spain,2014,8.25
Euro per kilogram of oil equivalent (KGOE),Spain,2015,8.3
Euro per kilogram of oil equivalent (KGOE),Spain,2016,8.48
Euro per kilogram of oil equivalent (KGOE),Spain,2017,8.36
Euro per kilogram of oil equivalent (KGOE),Spain,2018,8.55
Euro per kilogram of oil equivalent (KGOE),Spain,2019,8.93
Euro per kilogram of oil equivalent (KGOE),Spain,2020,9.02
Euro per kilogram of oil equivalent (KGOE),Spain,2021,9.07
Euro per kilogram of oil equivalent (KGOE),Spain,2022,9.42
Euro per kilogram of oil equivalent (KGOE),Spain,2023,9.94
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2000,6.28
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2001,6.26
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2002,6.31
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2003,6.21
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2004,6.28
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2005,6.37
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2006,6.53
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2007,6.81
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2008,6.87
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2009,7.0
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2010,6.88
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2011,7.22
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2012,7.26
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2013,7.34
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2014,7.73
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2015,7.8
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2016,7.88
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2017,7.93
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2018,8.14
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2019,8.43
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2020,8.66
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2021,8.69
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2022,9.41
Euro per kilogram of oil equivalent (KGOE),European Union - 27 countries (from 2020),2023,9.84
Euro per kilogram of oil equivalent (KGOE),Finland,2000,4.72
Euro per kilogram of oil equivalent (KGOE),Finland,2001,4.74
Euro per kilogram of oil equivalent (KGOE),Finland,2002,4.58
Euro per kilogram of oil equivalent (KGOE),Finland,2003,4.43
Euro per kilogram of oil equivalent (KGOE),Finland,2004,4.57
Euro per kilogram of oil equivalent (KGOE),Finland,2005,5.08
Euro per kilogram of oil equivalent (KGOE),Finland,2006,4.85
Euro per kilogram of oil equivalent (KGOE),Finland,2007,5.2
Euro per kilogram of oil equivalent (KGOE),Finland,2008,5.45
Euro per kilogram of oil equivalent (KGOE),Finland,2009,5.39
Euro per kilogram of oil equivalent (KGOE),Finland,2010,5.09
Euro per kilogram of oil equivalent (KGOE),Finland,2011,5.41
Euro per kilogram of oil equivalent (KGOE),Finland,2012,5.53
Euro per kilogram of oil equivalent (KGOE),Finland,2013,5.57
Euro per kilogram of oil equivalent (KGOE),Finland,2014,5.43
Euro per kilogram of oil equivalent (KGOE),Finland,2015,5.7
Euro per kilogram of oil equivalent (KGOE),Finland,2016,5.64
Euro per kilogram of oil equivalent (KGOE),Finland,2017,5.75
Euro per kilogram of oil equivalent (KGOE),Finland,2018,5.72
Euro per kilogram of oil equivalent (KGOE),Finland,2019,5.91
Euro per kilogram of oil equivalent (KGOE),Finland,2020,6.14
Euro per kilogram of oil equivalent (KGOE),Finland,2021,6.02
Euro per kilogram of oil equivalent (KGOE),Finland,2022,6.32
Euro per kilogram of oil equivalent (KGOE),Finland,2023,6.1
Euro per kilogram of oil equivalent (KGOE),France,2000,6.76
Euro per kilogram of oil equivalent (KGOE),France,2001,6.68
Euro per kilogram of oil equivalent (KGOE),France,2002,6.73
Euro per kilogram of oil equivalent (KGOE),France,2003,6.64
Euro per kilogram of oil equivalent (KGOE),France,2004,6.71
Euro per kilogram of oil equivalent (KGOE),France,2005,6.81
Euro per kilogram of oil equivalent (KGOE),France,2006,7.1
Euro per kilogram of oil equivalent (KGOE),France,2007,7.34
Euro per kilogram of oil equivalent (KGOE),France,2008,7.33
Euro per kilogram of oil equivalent (KGOE),France,2009,7.42
Euro per kilogram of oil equivalent (KGOE),France,2010,7.34
Euro per kilogram of oil equivalent (KGOE),France,2011,7.65
Euro per kilogram of oil equivalent (KGOE),France,2012,7.66
Euro per kilogram of oil equivalent (KGOE),France,2013,7.69
Euro per kilogram of oil equivalent (KGOE),France,2014,8.08
Euro per kilogram of oil equivalent (KGOE),France,2015,8.04
Euro per kilogram of oil equivalent (KGOE),France,2016,8.25
Euro per kilogram of oil equivalent (KGOE),France,2017,8.42
Euro per kilogram of oil equivalent (KGOE),France,2018,8.59
Euro per kilogram of oil equivalent (KGOE),France,2019,8.87
Euro per kilogram of oil equivalent (KGOE),France,2020,9.27
Euro per kilogram of oil equivalent (KGOE),France,2021,9.16
Euro per kilogram of oil equivalent (KGOE),France,2022,10.31
Euro per kilogram of oil equivalent (KGOE),France,2023,10.23
Euro per kilogram of oil equivalent (KGOE),Croatia,2000,4.18
Euro per kilogram of oil equivalent (KGOE),Croatia,2001,4.14
Euro per kilogram of oil equivalent (KGOE),Croatia,2002,4.29
Euro per kilogram of oil equivalent (KGOE),Croatia,2003,4.23
Euro per kilogram of oil equivalent (KGOE),Croatia,2004,4.4
Euro per kilogram of oil equivalent (KGOE),Croatia,2005,4.51
Euro per kilogram of oil equivalent (KGOE),Croatia,2006,4.77
Euro per kilogram of oil equivalent (KGOE),Croatia,2007,4.82
Euro per kilogram of oil equivalent (KGOE),Croatia,2008,5.03
Euro per kilogram of oil equivalent (KGOE),Croatia,2009,4.87
Euro per kilogram of oil equivalent (KGOE),Croatia,2010,4.85
Euro per kilogram of oil equivalent (KGOE),Croatia,2011,4.95
Euro per kilogram of oil equivalent (KGOE),Croatia,2012,5.15
Euro per kilogram of oil equivalent (KGOE),Croatia,2013,5.24
Euro per kilogram of oil equivalent (KGOE),Croatia,2014,5.47
Euro per kilogram of oil equivalent (KGOE),Croatia,2015,5.36
Euro per kilogram of oil equivalent (KGOE),Croatia,2016,5.5
Euro per kilogram of oil equivalent (KGOE),Croatia,2017,5.49
Euro per kilogram of oil equivalent (KGOE),Croatia,2018,5.77
Euro per kilogram of oil equivalent (KGOE),Croatia,2019,5.87
Euro per kilogram of oil equivalent (KGOE),Croatia,2020,5.7
Euro per kilogram of oil equivalent (KGOE),Croatia,2021,6.13
Euro per kilogram of oil equivalent (KGOE),Croatia,2022,6.72
Euro per kilogram of oil equivalent (KGOE),Croatia,2023,6.68
Euro per kilogram of oil equivalent (KGOE),Hungary,2000,3.21
Euro per kilogram of oil equivalent (KGOE),Hungary,2001,3.26
Euro per kilogram of oil equivalent (KGOE),Hungary,2002,3.42
Euro per kilogram of oil equivalent (KGOE),Hungary,2003,3.48
Euro per kilogram of oil equivalent (KGOE),Hungary,2004,3.64
Euro per kilogram of oil equivalent (KGOE),Hungary,2005,3.52
Euro per kilogram of oil equivalent (KGOE),Hungary,2006,3.7
Euro per kilogram of oil equivalent (KGOE),Hungary,2007,3.79
Euro per kilogram of oil equivalent (KGOE),Hungary,2008,3.89
Euro per kilogram of oil equivalent (KGOE),Hungary,2009,3.81
Euro per kilogram of oil equivalent (KGOE),Hungary,2010,3.74
Euro per kilogram of oil equivalent (KGOE),Hungary,2011,3.89
Euro per kilogram of oil equivalent (KGOE),Hungary,2012,4.04
Euro per kilogram of oil equivalent (KGOE),Hungary,2013,4.27
Euro per kilogram of oil equivalent (KGOE),Hungary,2014,4.47
Euro per kilogram of oil equivalent (KGOE),Hungary,2015,4.38
Euro per kilogram of oil equivalent (KGOE),Hungary,2016,4.44
Euro per kilogram of oil equivalent (KGOE),Hungary,2017,4.42
Euro per kilogram of oil equivalent (KGOE),Hungary,2018,4.66
Euro per kilogram of oil equivalent (KGOE),Hungary,2019,4.9
Euro per kilogram of oil equivalent (KGOE),Hungary,2020,4.79
Euro per kilogram of oil equivalent (KGOE),Hungary,2021,4.9
Euro per kilogram of oil equivalent (KGOE),Hungary,2022,5.42
Euro per kilogram of oil equivalent (KGOE),Hungary,2023,5.69
Euro per kilogram of oil equivalent (KGOE),Ireland,2000,8.72
Euro per kilogram of oil equivalent (KGOE),Ireland,2001,8.71
Euro per kilogram of oil equivalent (KGOE),Ireland,2002,9.09
Euro per kilogram of oil equivalent (KGOE),Ireland,2003,9.76
Euro per kilogram of oil equivalent (KGOE),Ireland,2004,10.2
Euro per kilogram of oil equivalent (KGOE),Ireland,2005,10.55
Euro per kilogram of oil equivalent (KGOE),Ireland,2006,11.0
Euro per kilogram of oil equivalent (KGOE),Ireland,2007,11.2
Euro per kilogram of oil equivalent (KGOE),Ireland,2008,10.83
Euro per kilogram of oil equivalent (KGOE),Ireland,2009,10.77
Euro per kilogram of oil equivalent (KGOE),Ireland,2010,11.01
Euro per kilogram of oil equivalent (KGOE),Ireland,2011,12.17
Euro per kilogram of oil equivalent (KGOE),Ireland,2012,11.98
Euro per kilogram of oil equivalent (KGOE),Ireland,2013,12.88
Euro per kilogram of oil equivalent (KGOE),Ireland,2014,13.99
Euro per kilogram of oil equivalent (KGOE),Ireland,2015,16.48
Euro per kilogram of oil equivalent (KGOE),Ireland,2016,15.81
Euro per kilogram of oil equivalent (KGOE),Ireland,2017,17.54
Euro per kilogram of oil equivalent (KGOE),Ireland,2018,18.75
Euro per kilogram of oil equivalent (KGOE),Ireland,2019,19.64
Euro per kilogram of oil equivalent (KGOE),Ireland,2020,22.85
Euro per kilogram of oil equivalent (KGOE),Ireland,2021,25.62
Euro per kilogram of oil equivalent (KGOE),Ireland,2022,27.19
Euro per kilogram of oil equivalent (KGOE),Ireland,2023,26.16
Euro per kilogram of oil equivalent (KGOE),Iceland,2000,2.35
Euro per kilogram of oil equivalent (KGOE),Iceland,2001,2.54
Euro per kilogram of oil equivalent (KGOE),Iceland,2002,2.48
Euro per kilogram of oil equivalent (KGOE),Iceland,2003,2.53
