waste,hazard,nace_r2,unit,country,year,value
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2010,6731
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2012,6925
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2014,7919
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2016,7358
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2018,8230
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2020,1198
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2022,1130
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2004,31
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2006,25
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2008,23
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2010,26
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2012,27
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2014,20
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2016,47
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2018,58
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2020,52
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,2022,71
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2004,73
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2006,91
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2008,79
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2010,64
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2012,67
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2014,64
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2016,68
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2018,69
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2020,70
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,2022,74
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2004,186
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2006,213
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2008,200
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2010,206
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2012,203
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2014,201
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2016,212
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2018,228
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2020,214
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2022,266
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2004,180
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2006,204
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2008,190
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2010,191
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2012,189
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2014,187
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2016,197
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2018,210
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2004,412
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2006,515
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2008,407
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2010,477
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2012,305
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2014,366
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2016,435
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2018,344
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2020,592
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,2022,5267
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2004,140
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2006,140
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2008,170
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2010,178
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2012,173
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2014,163
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2016,165
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2018,180
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2020,166
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,2022,167
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2004,26
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2006,179
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2008,51
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2010,17
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2012,28
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2014,31
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2016,42
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2018,43
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2020,46
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2022,47
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2004,135
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2006,129
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2008,67
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2010,54
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2012,71
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2014,60
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2016,47
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2018,56
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2020,59
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2022,62
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2004,178
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2006,166
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2008,166
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2010,432
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2012,104
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2014,104
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2016,112
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2018,130
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2020,178
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2022,130
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2004,29
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2008,285
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2010,26
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2012,51
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2014,111
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2016,143
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2018,92
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2020,113
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2004,106
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2006,128
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2008,117
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2010,144
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2012,151
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2014,146
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2016,160
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2018,168
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2020,168
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,2022,171
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2008,203
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2010,232
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2012,99
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2014,154
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2016,96
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2018,69
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2020,28
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2022,32
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2004,27
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2006,29
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2008,36
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2010,34
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2012,46
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2014,56
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2016,61
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2018,69
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2020,92
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2022,85
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2004,270
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2006,495
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2008,407
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2010,750
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2012,593
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2014,426
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2016,613
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2018,708
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2020,397
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2022,722
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2004,7
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2006,29
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2008,31
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2010,32
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2012,47
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2014,52
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2016,34
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2018,40
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2020,74
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2022,31
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2012,337
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2014,436
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2016,524
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2018,546
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2020,553
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2022,477
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2008,3
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2010,73
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2012,329
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2014,20
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2016,28
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2018,10
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2020,202
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2022,224
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2004,110
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2006,126
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2008,135
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2010,60
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2012,91
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2014,85
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2016,296
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2018,68
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2020,81
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Malta,2022,84
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2004,131
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2006,314
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2008,271
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2010,270
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2012,290
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2014,287
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2016,301
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2018,298
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2020,288
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2022,246
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2004,146
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2006,261
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2008,304
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2010,361
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2012,271
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2014,310
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2016,310
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2018,308
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2020,347
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Norway,2022,349
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2004,42
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2006,62
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2008,39
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2010,39
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2012,46
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2014,44
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2016,50
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2018,100
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2020,59
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Poland,2022,61
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2004,216
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2006,576
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2008,54
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2010,64
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2012,70
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2014,71
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2016,81
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2018,108
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2020,91
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2022,79
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2004,107
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2006,50
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2008,26
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2010,34
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2012,34
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2014,30
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2016,32
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2018,38
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2020,40
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Romania,2022,57
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2010,1531
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2012,2008
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2014,1890
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2016,2441
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2018,2199
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2020,1645
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2022,4444
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2004,181
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2006,292
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2008,224
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2010,270
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2012,283
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2014,265
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2016,240
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2018,283
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2020,768
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2022,684
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2004,54
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2006,58
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2008,76
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2010,57
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2012,65
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2014,75
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2016,60
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2018,62
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2020,63
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2022,63
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2004,79
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2006,99
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2008,98
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2010,77
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2012,68
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2014,69
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2016,91
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2018,83
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2020,80
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2022,91
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2004,15
