unit,landcover,country,year,value
Percentage,Forest and other wooded land FAO,Greece,2015,44.5
Percentage,Forest and other wooded land FAO,Greece,2018,47.5
Percentage,Forest and other wooded land FAO,Spain,2009,33.5
Percentage,Forest and other wooded land FAO,Spain,2012,36.6
Percentage,Forest and other wooded land FAO,Spain,2015,39.2
Percentage,Forest and other wooded land FAO,Spain,2018,41.2
Percentage,Forest and other wooded land FAO,European Union - 27 countries (2007-2013),2012,40.3
Percentage,Forest and other wooded land FAO,European Union - 27 countries (2007-2013),2015,41.6
Percentage,Forest and other wooded land FAO,European Union - 27 countries (2007-2013),2018,42.0
Percentage,Forest and other wooded land FAO,European Union - 27 countries (from 2020),2015,42.6
Percentage,Forest and other wooded land FAO,European Union - 27 countries (from 2020),2018,43.5
Percentage,Forest and other wooded land FAO,European Union - 28 countries (2013-2020),2015,41.7
Percentage,Forest and other wooded land FAO,European Union - 28 countries (2013-2020),2018,42.3
Percentage,Forest and other wooded land FAO,European Union (aggregate changing according to the context),2009,39.3
Percentage,Forest and other wooded land FAO,European Union (aggregate changing according to the context),2012,40.7
Percentage,Forest and other wooded land FAO,European Union (aggregate changing according to the context),2015,41.9
Percentage,Forest and other wooded land FAO,European Union (aggregate changing according to the context),2018,42.3
Percentage,Forest and other wooded land FAO,Finland,2009,68.7
Percentage,Forest and other wooded land FAO,Finland,2012,70.5
Percentage,Forest and other wooded land FAO,Finland,2015,71.3
Percentage,Forest and other wooded land FAO,Finland,2018,69.9
Percentage,Forest and other wooded land FAO,France,2009,30.1
Percentage,Forest and other wooded land FAO,France,2012,30.6
Percentage,Forest and other wooded land FAO,France,2015,31.0
Percentage,Forest and other wooded land FAO,France,2018,32.8
Percentage,Forest and other wooded land FAO,Croatia,2015,50.6
Percentage,Forest and other wooded land FAO,Croatia,2018,58.0
Percentage,Forest and other wooded land FAO,Hungary,2009,22.0
Percentage,Forest and other wooded land FAO,Hungary,2012,23.4
Percentage,Forest and other wooded land FAO,Hungary,2015,25.2
Percentage,Forest and other wooded land FAO,Hungary,2018,26.1
Percentage,Forest and other wooded land FAO,Ireland,2009,15.8
Percentage,Forest and other wooded land FAO,Ireland,2012,22.0
Percentage,Forest and other wooded land FAO,Ireland,2015,22.4
Percentage,Forest and other wooded land FAO,Ireland,2018,19.0
Percentage,Forest and other wooded land FAO,Italy,2009,33.6
Percentage,Forest and other wooded land FAO,Italy,2012,35.0
Percentage,Forest and other wooded land FAO,Italy,2015,35.6
Percentage,Forest and other wooded land FAO,Italy,2018,37.0
Percentage,Forest and other wooded land FAO,Lithuania,2009,36.3
Percentage,Forest and other wooded land FAO,Lithuania,2012,37.8
Percentage,Forest and other wooded land FAO,Lithuania,2015,38.3
Percentage,Forest and other wooded land FAO,Lithuania,2018,39.6
Percentage,Forest and other wooded land FAO,Luxembourg,2009,34.4
Percentage,Forest and other wooded land FAO,Luxembourg,2012,34.0
Percentage,Forest and other wooded land FAO,Luxembourg,2015,36.3
Percentage,Forest and other wooded land FAO,Luxembourg,2018,35.5
Percentage,Forest and other wooded land FAO,Latvia,2009,53.2
Percentage,Forest and other wooded land FAO,Latvia,2012,55.0
Percentage,Forest and other wooded land FAO,Latvia,2015,56.4
Percentage,Forest and other wooded land FAO,Latvia,2018,56.2
Percentage,Forest and other wooded land FAO,Malta,2012,13.1
Percentage,Forest and other wooded land FAO,Malta,2015,11.5
Percentage,Forest and other wooded land FAO,Malta,2018,10.4
Percentage,Forest and other wooded land FAO,Netherlands,2009,7.4
Percentage,Forest and other wooded land FAO,Netherlands,2012,7.4
Percentage,Forest and other wooded land FAO,Netherlands,2015,8.0
Percentage,Forest and other wooded land FAO,Netherlands,2018,10.9
Percentage,Forest and other wooded land FAO,Poland,2009,33.2
Percentage,Forest and other wooded land FAO,Poland,2012,34.6
Percentage,Forest and other wooded land FAO,Poland,2015,36.1
Percentage,Forest and other wooded land FAO,Poland,2018,36.4
Percentage,Forest and other wooded land FAO,Portugal,2009,36.9
Percentage,Forest and other wooded land FAO,Portugal,2012,41.9
Percentage,Forest and other wooded land FAO,Portugal,2015,46.6
Percentage,Forest and other wooded land FAO,Portugal,2018,49.9
Percentage,Forest and other wooded land FAO,Romania,2012,32.5
Percentage,Forest and other wooded land FAO,Romania,2015,34.1
Percentage,Forest and other wooded land FAO,Romania,2018,35.5
Percentage,Forest and other wooded land FAO,Sweden,2009,64.6
Percentage,Forest and other wooded land FAO,Sweden,2012,66.5
Percentage,Forest and other wooded land FAO,Sweden,2015,66.5
Percentage,Forest and other wooded land FAO,Sweden,2018,67.0
Percentage,Forest and other wooded land FAO,Slovenia,2009,62.1
Percentage,Forest and other wooded land FAO,Slovenia,2012,62.0
Percentage,Forest and other wooded land FAO,Slovenia,2015,63.4
Percentage,Forest and other wooded land FAO,Slovenia,2018,62.5
Percentage,Forest and other wooded land FAO,Slovakia,2009,45.8
Percentage,Forest and other wooded land FAO,Slovakia,2012,47.0
Percentage,Forest and other wooded land FAO,Slovakia,2015,48.7
Percentage,Forest and other wooded land FAO,Slovakia,2018,48.6
Percentage,Forest and other wooded land FAO,United Kingdom,2009,25.3
Percentage,Forest and other wooded land FAO,United Kingdom,2012,25.6
Percentage,Forest and other wooded land FAO,United Kingdom,2015,26.9
Percentage,Forest and other wooded land FAO,United Kingdom,2018,20.9
Percentage,Other wooded land FAO,Austria,2009,4.1
Percentage,Other wooded land FAO,Austria,2012,3.7
Percentage,Other wooded land FAO,Austria,2015,3.8
Percentage,Other wooded land FAO,Austria,2018,4.3
Percentage,Other wooded land FAO,Belgium,2009,0.9
Percentage,Other wooded land FAO,Belgium,2012,0.8
Percentage,Other wooded land FAO,Belgium,2015,0.8
Percentage,Other wooded land FAO,Belgium,2018,0.9
Percentage,Other wooded land FAO,Bulgaria,2012,4.0
Percentage,Other wooded land FAO,Bulgaria,2015,3.9
Percentage,Other wooded land FAO,Bulgaria,2018,5.3
Percentage,Other wooded land FAO,Cyprus,2012,13.0
Percentage,Other wooded land FAO,Cyprus,2015,16.5
Percentage,Other wooded land FAO,Cyprus,2018,20.8
Percentage,Other wooded land FAO,Czechia,2009,0.7
Percentage,Other wooded land FAO,Czechia,2012,0.8
Percentage,Other wooded land FAO,Czechia,2015,0.8
Percentage,Other wooded land FAO,Czechia,2018,1.1
Percentage,Other wooded land FAO,Germany,2009,0.6
Percentage,Other wooded land FAO,Germany,2012,0.6
Percentage,Other wooded land FAO,Germany,2015,0.6
Percentage,Other wooded land FAO,Germany,2018,0.7
Percentage,Other wooded land FAO,Denmark,2009,1.4
Percentage,Other wooded land FAO,Denmark,2012,1.4
Percentage,Other wooded land FAO,Denmark,2015,1.6
Percentage,Other wooded land FAO,Denmark,2018,1.4
Percentage,Other wooded land FAO,Estonia,2009,3.7
Percentage,Other wooded land FAO,Estonia,2012,3.1
Percentage,Other wooded land FAO,Estonia,2015,1.9
Percentage,Other wooded land FAO,Estonia,2018,2.4
Percentage,Other wooded land FAO,Greece,2009,10.3
Percentage,Other wooded land FAO,Greece,2012,12.0
Percentage,Other wooded land FAO,Greece,2015,13.4
Percentage,Other wooded land FAO,Greece,2018,11.3
Percentage,Other wooded land FAO,Spain,2009,8.9
Percentage,Other wooded land FAO,Spain,2012,11.6
Percentage,Other wooded land FAO,Spain,2015,12.2
Percentage,Other wooded land FAO,Spain,2018,13.2
Percentage,Other wooded land FAO,European Union - 27 countries (2007-2013),2012,5.2
Percentage,Other wooded land FAO,European Union - 27 countries (2007-2013),2015,5.5
Percentage,Other wooded land FAO,European Union - 27 countries (2007-2013),2018,5.1
Percentage,Other wooded land FAO,European Union - 27 countries (from 2020),2015,4.8
Percentage,Other wooded land FAO,European Union - 27 countries (from 2020),2018,4.9
Percentage,Other wooded land FAO,European Union - 28 countries (2013-2020),2015,5.5
Percentage,Other wooded land FAO,European Union - 28 countries (2013-2020),2018,5.2
Percentage,Other wooded land FAO,European Union (aggregate changing according to the context),2009,4.7
Percentage,Other wooded land FAO,European Union (aggregate changing according to the context),2012,5.5
Percentage,Other wooded land FAO,European Union (aggregate changing according to the context),2015,5.7
Percentage,Other wooded land FAO,European Union (aggregate changing according to the context),2018,5.3
Percentage,Other wooded land FAO,Finland,2009,3.6
Percentage,Other wooded land FAO,Finland,2012,4.1
Percentage,Other wooded land FAO,Finland,2015,4.5
Percentage,Other wooded land FAO,Finland,2018,4.7
Percentage,Other wooded land FAO,France,2009,2.5
Percentage,Other wooded land FAO,France,2012,3.0
Percentage,Other wooded land FAO,France,2015,2.7
Percentage,Other wooded land FAO,France,2018,2.1
Percentage,Other wooded land FAO,Croatia,2015,5.8
Percentage,Other wooded land FAO,Croatia,2018,10.8
Percentage,Other wooded land FAO,Hungary,2009,1.8
Percentage,Other wooded land FAO,Hungary,2012,1.8
Percentage,Other wooded land FAO,Hungary,2015,1.6
Percentage,Other wooded land FAO,Hungary,2018,1.6
Percentage,Other wooded land FAO,Ireland,2009,6.7
Percentage,Other wooded land FAO,Ireland,2012,11.8
Percentage,Other wooded land FAO,Ireland,2015,11.9
Percentage,Other wooded land FAO,Ireland,2018,7.3
Percentage,Other wooded land FAO,Italy,2009,3.5
Percentage,Other wooded land FAO,Italy,2012,4.1
Percentage,Other wooded land FAO,Italy,2015,4.3
Percentage,Other wooded land FAO,Italy,2018,4.6
Percentage,Other wooded land FAO,Lithuania,2009,1.6
Percentage,Other wooded land FAO,Lithuania,2012,1.6
Percentage,Other wooded land FAO,Lithuania,2015,0.9
Percentage,Other wooded land FAO,Lithuania,2018,1.0
Percentage,Other wooded land FAO,Luxembourg,2009,1.2
Percentage,Other wooded land FAO,Luxembourg,2012,1.2
Percentage,Other wooded land FAO,Luxembourg,2015,2.4
Percentage,Other wooded land FAO,Luxembourg,2018,1.1
Percentage,Other wooded land FAO,Latvia,2009,4.0
Percentage,Other wooded land FAO,Latvia,2012,3.4
Percentage,Other wooded land FAO,Latvia,2015,4.7
Percentage,Other wooded land FAO,Latvia,2018,3.2
Percentage,Other wooded land FAO,Malta,2012,10.2
Percentage,Other wooded land FAO,Malta,2015,10.2
Percentage,Other wooded land FAO,Malta,2018,9.5
Percentage,Other wooded land FAO,Netherlands,2009,0.9
Percentage,Other wooded land FAO,Netherlands,2012,1.1
Percentage,Other wooded land FAO,Netherlands,2015,1.5
Percentage,Other wooded land FAO,Netherlands,2018,1.3
Percentage,Other wooded land FAO,Poland,2009,1.4
Percentage,Other wooded land FAO,Poland,2012,1.4
Percentage,Other wooded land FAO,Poland,2015,1.4
Percentage,Other wooded land FAO,Poland,2018,1.0
Percentage,Other wooded land FAO,Portugal,2009,9.7
Percentage,Other wooded land FAO,Portugal,2012,13.7
Percentage,Other wooded land FAO,Portugal,2015,14.8
Percentage,Other wooded land FAO,Portugal,2018,14.4
Percentage,Other wooded land FAO,Romania,2012,1.4
Percentage,Other wooded land FAO,Romania,2015,1.4
Percentage,Other wooded land FAO,Romania,2018,2.2
Percentage,Other wooded land FAO,Sweden,2009,4.1
Percentage,Other wooded land FAO,Sweden,2012,5.1
Percentage,Other wooded land FAO,Sweden,2015,4.8
Percentage,Other wooded land FAO,Sweden,2018,5.9
Percentage,Other wooded land FAO,Slovenia,2009,1.7
Percentage,Other wooded land FAO,Slovenia,2012,1.8
Percentage,Other wooded land FAO,Slovenia,2015,1.7
Percentage,Other wooded land FAO,Slovenia,2018,1.1
Percentage,Other wooded land FAO,Slovakia,2009,2.3
Percentage,Other wooded land FAO,Slovakia,2012,2.4
Percentage,Other wooded land FAO,Slovakia,2015,2.9
Percentage,Other wooded land FAO,Slovakia,2018,2.9
Percentage,Other wooded land FAO,United Kingdom,2009,15.4
Percentage,Other wooded land FAO,United Kingdom,2012,15.4
Percentage,Other wooded land FAO,United Kingdom,2015,17.2
Percentage,Other wooded land FAO,United Kingdom,2018,9.5
