siec,unit,country,year,value
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2021,19.305
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2022,11.67
Solid fossil fuels,Percentage,Belgium,2000,91.241
Solid fossil fuels,Percentage,Belgium,2001,106.811
Solid fossil fuels,Percentage,Belgium,2002,86.283
Solid fossil fuels,Percentage,Belgium,2003,97.556
Solid fossil fuels,Percentage,Belgium,2004,101.497
Solid fossil fuels,Percentage,Belgium,2005,101.346
Solid fossil fuels,Percentage,Belgium,2006,95.975
Solid fossil fuels,Percentage,Belgium,2007,96.399
Solid fossil fuels,Percentage,Belgium,2008,106.42
Solid fossil fuels,Percentage,Belgium,2009,82.701
Solid fossil fuels,Percentage,Belgium,2010,97.539
Solid fossil fuels,Percentage,Belgium,2011,100.837
Solid fossil fuels,Percentage,Belgium,2012,94.278
Solid fossil fuels,Percentage,Belgium,2013,93.942
Solid fossil fuels,Percentage,Belgium,2014,99.292
Solid fossil fuels,Percentage,Belgium,2015,95.73
Solid fossil fuels,Percentage,Belgium,2016,93.824
Solid fossil fuels,Percentage,Belgium,2017,94.644
Solid fossil fuels,Percentage,Belgium,2018,103.763
Solid fossil fuels,Percentage,Belgium,2019,101.77
Solid fossil fuels,Percentage,Belgium,2020,102.12
Solid fossil fuels,Percentage,Belgium,2021,92.639
Solid fossil fuels,Percentage,Belgium,2022,99.462
Solid fossil fuels,Percentage,Belgium,2023,102.458
Solid fossil fuels,Percentage,Bulgaria,2000,35.2
Solid fossil fuels,Percentage,Bulgaria,2001,35.837
Solid fossil fuels,Percentage,Bulgaria,2002,38.013
Solid fossil fuels,Percentage,Bulgaria,2003,35.698
Solid fossil fuels,Percentage,Bulgaria,2004,40.703
Solid fossil fuels,Percentage,Bulgaria,2005,36.878
Solid fossil fuels,Percentage,Bulgaria,2006,35.207
Solid fossil fuels,Percentage,Bulgaria,2007,38.844
Solid fossil fuels,Percentage,Bulgaria,2008,42.952
Solid fossil fuels,Percentage,Bulgaria,2009,27.193
Solid fossil fuels,Percentage,Bulgaria,2010,24.504
Solid fossil fuels,Percentage,Bulgaria,2011,24.457
Solid fossil fuels,Percentage,Bulgaria,2012,21.497
Solid fossil fuels,Percentage,Bulgaria,2013,16.327
Solid fossil fuels,Percentage,Bulgaria,2014,14.644
Solid fossil fuels,Percentage,Bulgaria,2015,11.22
Solid fossil fuels,Percentage,Bulgaria,2016,9.773
Solid fossil fuels,Percentage,Bulgaria,2017,9.362
Solid fossil fuels,Percentage,Bulgaria,2018,10.409
Solid fossil fuels,Percentage,Bulgaria,2019,7.471
Solid fossil fuels,Percentage,Bulgaria,2020,9.608
Solid fossil fuels,Percentage,Bulgaria,2021,10.445
Solid fossil fuels,Percentage,Bulgaria,2022,11.572
Solid fossil fuels,Percentage,Bulgaria,2023,5.196
Solid fossil fuels,Percentage,Cyprus,2000,102.041
Solid fossil fuels,Percentage,Cyprus,2001,111.321
Solid fossil fuels,Percentage,Cyprus,2002,124.528
Solid fossil fuels,Percentage,Cyprus,2003,96.226
Solid fossil fuels,Percentage,Cyprus,2004,68.521
Solid fossil fuels,Percentage,Cyprus,2005,121.08
Solid fossil fuels,Percentage,Cyprus,2006,116.613
Solid fossil fuels,Percentage,Cyprus,2007,67.468
Solid fossil fuels,Percentage,Cyprus,2008,102.489
Solid fossil fuels,Percentage,Cyprus,2009,123.607
Solid fossil fuels,Percentage,Cyprus,2010,65.64
Solid fossil fuels,Percentage,Cyprus,2011,1.659
Solid fossil fuels,Percentage,Cyprus,2012,100.0
Solid fossil fuels,Percentage,Cyprus,2013,100.0
Solid fossil fuels,Percentage,Cyprus,2014,125.002
Solid fossil fuels,Percentage,Cyprus,2015,100.0
Solid fossil fuels,Percentage,Cyprus,2016,0.0
Solid fossil fuels,Percentage,Cyprus,2017,326.409
Solid fossil fuels,Percentage,Cyprus,2018,97.544
Solid fossil fuels,Percentage,Cyprus,2019,117.226
Solid fossil fuels,Percentage,Cyprus,2020,105.385
Solid fossil fuels,Percentage,Cyprus,2021,97.596
Solid fossil fuels,Percentage,Cyprus,2022,147.327
Solid fossil fuels,Percentage,Cyprus,2023,41.899
Solid fossil fuels,Percentage,Czechia,2000,-21.976
Solid fossil fuels,Percentage,Czechia,2001,-21.031
Solid fossil fuels,Percentage,Czechia,2002,-17.33
Solid fossil fuels,Percentage,Czechia,2003,-15.995
Solid fossil fuels,Percentage,Czechia,2004,-13.844
Solid fossil fuels,Percentage,Czechia,2005,-16.21
Solid fossil fuels,Percentage,Czechia,2006,-16.349
Solid fossil fuels,Percentage,Czechia,2007,-14.88
Solid fossil fuels,Percentage,Czechia,2008,-15.609
Solid fossil fuels,Percentage,Czechia,2009,-19.578
Solid fossil fuels,Percentage,Czechia,2010,-15.256
Solid fossil fuels,Percentage,Czechia,2011,-11.301
Solid fossil fuels,Percentage,Czechia,2012,-12.265
Solid fossil fuels,Percentage,Czechia,2013,-9.915
Solid fossil fuels,Percentage,Czechia,2014,-4.517
Solid fossil fuels,Percentage,Czechia,2015,-1.823
Solid fossil fuels,Percentage,Czechia,2016,-1.322
Solid fossil fuels,Percentage,Czechia,2017,2.999
Solid fossil fuels,Percentage,Czechia,2018,5.826
Solid fossil fuels,Percentage,Czechia,2019,8.627
Solid fossil fuels,Percentage,Czechia,2020,12.791
Solid fossil fuels,Percentage,Czechia,2021,13.909
Solid fossil fuels,Percentage,Czechia,2022,14.103
Solid fossil fuels,Percentage,Czechia,2023,14.871
Solid fossil fuels,Percentage,Germany,2000,25.567
Solid fossil fuels,Percentage,Germany,2001,29.897
Solid fossil fuels,Percentage,Germany,2002,29.11
Solid fossil fuels,Percentage,Germany,2003,29.438
Solid fossil fuels,Percentage,Germany,2004,32.57
Solid fossil fuels,Percentage,Germany,2005,31.741
Solid fossil fuels,Percentage,Germany,2006,37.988
Solid fossil fuels,Percentage,Germany,2007,37.027
Solid fossil fuels,Percentage,Germany,2008,38.281
Solid fossil fuels,Percentage,Germany,2009,35.425
Solid fossil fuels,Percentage,Germany,2010,40.012
Solid fossil fuels,Percentage,Germany,2011,41.563
Solid fossil fuels,Percentage,Germany,2012,40.188
Solid fossil fuels,Percentage,Germany,2013,44.468
Solid fossil fuels,Percentage,Germany,2014,44.761
Solid fossil fuels,Percentage,Germany,2015,45.422
Solid fossil fuels,Percentage,Germany,2016,49.609
Solid fossil fuels,Percentage,Germany,2017,45.297
Solid fossil fuels,Percentage,Germany,2018,42.117
Solid fossil fuels,Percentage,Germany,2019,47.245
Solid fossil fuels,Percentage,Germany,2020,44.062
Solid fossil fuels,Percentage,Germany,2021,47.788
Solid fossil fuels,Percentage,Germany,2022,50.352
Solid fossil fuels,Percentage,Germany,2023,49.192
Solid fossil fuels,Percentage,Denmark,2000,94.921
Solid fossil fuels,Percentage,Denmark,2001,96.575
Solid fossil fuels,Percentage,Denmark,2002,88.376
Solid fossil fuels,Percentage,Denmark,2003,98.258
Solid fossil fuels,Percentage,Denmark,2004,101.382
Solid fossil fuels,Percentage,Denmark,2005,94.385
Solid fossil fuels,Percentage,Denmark,2006,93.605
Solid fossil fuels,Percentage,Denmark,2007,100.345
Solid fossil fuels,Percentage,Denmark,2008,108.459
Solid fossil fuels,Percentage,Denmark,2009,97.989
Solid fossil fuels,Percentage,Denmark,2010,69.377
Solid fossil fuels,Percentage,Denmark,2011,110.953
Solid fossil fuels,Percentage,Denmark,2012,93.645
Solid fossil fuels,Percentage,Denmark,2013,90.766
Solid fossil fuels,Percentage,Denmark,2014,104.917
Solid fossil fuels,Percentage,Denmark,2015,84.984
Solid fossil fuels,Percentage,Denmark,2016,83.739
Solid fossil fuels,Percentage,Denmark,2017,117.695
Solid fossil fuels,Percentage,Denmark,2018,100.398
Solid fossil fuels,Percentage,Denmark,2019,145.324
Solid fossil fuels,Percentage,Denmark,2020,67.402
Solid fossil fuels,Percentage,Denmark,2021,10.942
Solid fossil fuels,Percentage,Denmark,2022,105.516
Solid fossil fuels,Percentage,Denmark,2023,108.408
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2000,52.459
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2001,54.238
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2002,54.377
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2003,54.94
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2004,58.483
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2005,58.132
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2006,61.205
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2007,59.223
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2008,63.222
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2009,58.195
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2010,60.782
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2011,61.331
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2012,60.708
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2013,61.44
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2014,63.458
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2015,63.594
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2016,65.155
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2017,65.635
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2018,62.811
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2019,65.479
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2020,59.027
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2021,62.553
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2022,69.389
Solid fossil fuels,Percentage,Euro area – 20 countries (from 2023),2023,63.037
Solid fossil fuels,Percentage,Estonia,2000,125.209
Solid fossil fuels,Percentage,Estonia,2001,67.146
Solid fossil fuels,Percentage,Estonia,2002,93.346
Solid fossil fuels,Percentage,Estonia,2003,202.537
Solid fossil fuels,Percentage,Estonia,2004,34.173
Solid fossil fuels,Percentage,Estonia,2005,88.351
Solid fossil fuels,Percentage,Estonia,2006,170.688
Solid fossil fuels,Percentage,Estonia,2007,152.261
Solid fossil fuels,Percentage,Estonia,2008,100.318
Solid fossil fuels,Percentage,Estonia,2009,3.989
Solid fossil fuels,Percentage,Estonia,2010,132.651
Solid fossil fuels,Percentage,Estonia,2011,90.945
Solid fossil fuels,Percentage,Estonia,2012,150.787
Solid fossil fuels,Percentage,Estonia,2013,88.072
Solid fossil fuels,Percentage,Estonia,2014,105.698
Solid fossil fuels,Percentage,Estonia,2015,-6.784
Solid fossil fuels,Percentage,Estonia,2016,70.045
Solid fossil fuels,Percentage,Estonia,2017,87.172
Solid fossil fuels,Percentage,Estonia,2018,85.235
Solid fossil fuels,Percentage,Estonia,2019,107.159
Solid fossil fuels,Percentage,Estonia,2020,391.794
Solid fossil fuels,Percentage,Estonia,2021,95.188
Solid fossil fuels,Percentage,Estonia,2022,95.804
Solid fossil fuels,Percentage,Estonia,2023,268.721
Solid fossil fuels,Percentage,Greece,2000,8.497
Solid fossil fuels,Percentage,Greece,2001,9.202
Solid fossil fuels,Percentage,Greece,2002,6.969
Solid fossil fuels,Percentage,Greece,2003,4.732
Solid fossil fuels,Percentage,Greece,2004,5.096
Solid fossil fuels,Percentage,Greece,2005,4.148
Solid fossil fuels,Percentage,Greece,2006,2.67
Solid fossil fuels,Percentage,Greece,2007,4.128
Solid fossil fuels,Percentage,Greece,2008,4.972
Solid fossil fuels,Percentage,Greece,2009,1.999
Solid fossil fuels,Percentage,Greece,2010,5.096
Solid fossil fuels,Percentage,Greece,2011,2.939
Solid fossil fuels,Percentage,Greece,2012,2.278
Solid fossil fuels,Percentage,Greece,2013,3.222
Solid fossil fuels,Percentage,Greece,2014,2.895
Solid fossil fuels,Percentage,Greece,2015,2.838
Solid fossil fuels,Percentage,Greece,2016,4.356
Solid fossil fuels,Percentage,Greece,2017,4.75
Solid fossil fuels,Percentage,Greece,2018,5.136
Solid fossil fuels,Percentage,Greece,2019,6.361
Solid fossil fuels,Percentage,Greece,2020,10.176
Solid fossil fuels,Percentage,Greece,2021,9.598
Solid fossil fuels,Percentage,Greece,2022,-0.733
Solid fossil fuels,Percentage,Greece,2023,-9.497
Solid fossil fuels,Percentage,Spain,2000,61.317
Solid fossil fuels,Percentage,Spain,2001,58.502
Solid fossil fuels,Percentage,Spain,2002,66.561
Solid fossil fuels,Percentage,Spain,2003,63.313
Solid fossil fuels,Percentage,Spain,2004,67.329
Solid fossil fuels,Percentage,Spain,2005,70.275
Solid fossil fuels,Percentage,Spain,2006,75.613
Solid fossil fuels,Percentage,Spain,2007,66.676
Solid fossil fuels,Percentage,Spain,2008,81.957
Solid fossil fuels,Percentage,Spain,2009,93.023
Solid fossil fuels,Percentage,Spain,2010,92.8
Solid fossil fuels,Percentage,Spain,2011,67.723
Solid fossil fuels,Percentage,Spain,2012,74.799
Solid fossil fuels,Percentage,Spain,2013,66.306
Solid fossil fuels,Percentage,Spain,2014,75.294
Solid fossil fuels,Percentage,Spain,2015,75.387
Solid fossil fuels,Percentage,Spain,2016,71.483
Solid fossil fuels,Percentage,Spain,2017,84.556
Solid fossil fuels,Percentage,Spain,2018,79.858
Solid fossil fuels,Percentage,Spain,2019,89.467
Solid fossil fuels,Percentage,Spain,2020,54.808
Solid fossil fuels,Percentage,Spain,2021,101.985
Solid fossil fuels,Percentage,Spain,2022,144.274
Solid fossil fuels,Percentage,Spain,2023,71.761
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2000,29.849
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2001,31.318
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2002,32.022
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2003,33.288
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2004,36.106
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2005,35.711
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2006,37.585
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2007,38.332
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2008,41.579
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2009,36.554
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2010,38.235
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2011,40.421
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2012,39.847
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2013,39.039
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2014,41.49
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2015,40.997
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2016,41.1
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2017,43.244
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2018,43.783
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2019,43.308
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2020,35.801
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2021,37.243
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2022,45.902
Solid fossil fuels,Percentage,European Union - 27 countries (from 2020),2023,40.824
Solid fossil fuels,Percentage,Finland,2000,97.63
Solid fossil fuels,Percentage,Finland,2001,100.975
Solid fossil fuels,Percentage,Finland,2002,88.853
Solid fossil fuels,Percentage,Finland,2003,112.892
Solid fossil fuels,Percentage,Finland,2004,102.354
Solid fossil fuels,Percentage,Finland,2005,101.974
Solid fossil fuels,Percentage,Finland,2006,88.455
Solid fossil fuels,Percentage,Finland,2007,95.1
Solid fossil fuels,Percentage,Finland,2008,112.617
Solid fossil fuels,Percentage,Finland,2009,108.196
Solid fossil fuels,Percentage,Finland,2010,86.302
Solid fossil fuels,Percentage,Finland,2011,115.327
Solid fossil fuels,Percentage,Finland,2012,86.827
Solid fossil fuels,Percentage,Finland,2013,88.331
Solid fossil fuels,Percentage,Finland,2014,117.482
Solid fossil fuels,Percentage,Finland,2015,91.309
Solid fossil fuels,Percentage,Finland,2016,91.778
Solid fossil fuels,Percentage,Finland,2017,91.463
Solid fossil fuels,Percentage,Finland,2018,100.668
Solid fossil fuels,Percentage,Finland,2019,98.863
Solid fossil fuels,Percentage,Finland,2020,92.208
Solid fossil fuels,Percentage,Finland,2021,72.446
Solid fossil fuels,Percentage,Finland,2022,126.266
Solid fossil fuels,Percentage,Finland,2023,70.438
Solid fossil fuels,Percentage,France,2000,86.282
Solid fossil fuels,Percentage,France,2001,88.166
Solid fossil fuels,Percentage,France,2002,92.822
Solid fossil fuels,Percentage,France,2003,81.754
Solid fossil fuels,Percentage,France,2004,94.264
Solid fossil fuels,Percentage,France,2005,94.378
Solid fossil fuels,Percentage,France,2006,104.87
Solid fossil fuels,Percentage,France,2007,92.221
Solid fossil fuels,Percentage,France,2008,109.97
Solid fossil fuels,Percentage,France,2009,91.658
Solid fossil fuels,Percentage,France,2010,100.96
Solid fossil fuels,Percentage,France,2011,100.722
Solid fossil fuels,Percentage,France,2012,96.707
Solid fossil fuels,Percentage,France,2013,93.953
Solid fossil fuels,Percentage,France,2014,98.998
Solid fossil fuels,Percentage,France,2015,98.388
Solid fossil fuels,Percentage,France,2016,93.66
Solid fossil fuels,Percentage,France,2017,101.944
Solid fossil fuels,Percentage,France,2018,101.006
Solid fossil fuels,Percentage,France,2019,99.554
Solid fossil fuels,Percentage,France,2020,96.299
Solid fossil fuels,Percentage,France,2021,73.494
Solid fossil fuels,Percentage,France,2022,81.589
Solid fossil fuels,Percentage,France,2023,74.811
Solid fossil fuels,Percentage,Croatia,2000,110.883
Solid fossil fuels,Percentage,Croatia,2001,92.767
Solid fossil fuels,Percentage,Croatia,2002,102.049
Solid fossil fuels,Percentage,Croatia,2003,99.723
Solid fossil fuels,Percentage,Croatia,2004,109.337
Solid fossil fuels,Percentage,Croatia,2005,91.3
Solid fossil fuels,Percentage,Croatia,2006,108.969
Solid fossil fuels,Percentage,Croatia,2007,101.836
Solid fossil fuels,Percentage,Croatia,2008,112.211
Solid fossil fuels,Percentage,Croatia,2009,89.783
Solid fossil fuels,Percentage,Croatia,2010,102.558
Solid fossil fuels,Percentage,Croatia,2011,98.385
Solid fossil fuels,Percentage,Croatia,2012,87.835
Solid fossil fuels,Percentage,Croatia,2013,110.145
Solid fossil fuels,Percentage,Croatia,2014,92.356
Solid fossil fuels,Percentage,Croatia,2015,103.04
Solid fossil fuels,Percentage,Croatia,2016,101.997
Solid fossil fuels,Percentage,Croatia,2017,100.725
Solid fossil fuels,Percentage,Croatia,2018,91.331
Solid fossil fuels,Percentage,Croatia,2019,107.309
Solid fossil fuels,Percentage,Croatia,2020,105.977
Solid fossil fuels,Percentage,Croatia,2021,100.714
Solid fossil fuels,Percentage,Croatia,2022,100.916
Solid fossil fuels,Percentage,Croatia,2023,109.166
Solid fossil fuels,Percentage,Hungary,2000,28.088
Solid fossil fuels,Percentage,Hungary,2001,27.549
Solid fossil fuels,Percentage,Hungary,2002,24.847
Solid fossil fuels,Percentage,Hungary,2003,26.725
Solid fossil fuels,Percentage,Hungary,2004,31.588
Solid fossil fuels,Percentage,Hungary,2005,42.455
Solid fossil fuels,Percentage,Hungary,2006,40.783
Solid fossil fuels,Percentage,Hungary,2007,43.996
Solid fossil fuels,Percentage,Hungary,2008,46.606
Solid fossil fuels,Percentage,Hungary,2009,37.009
Solid fossil fuels,Percentage,Hungary,2010,41.883
Solid fossil fuels,Percentage,Hungary,2011,36.19
Solid fossil fuels,Percentage,Hungary,2012,34.112
Solid fossil fuels,Percentage,Hungary,2013,26.542
Solid fossil fuels,Percentage,Hungary,2014,27.909
Solid fossil fuels,Percentage,Hungary,2015,33.679
Solid fossil fuels,Percentage,Hungary,2016,32.467
Solid fossil fuels,Percentage,Hungary,2017,44.121
Solid fossil fuels,Percentage,Hungary,2018,48.409
Solid fossil fuels,Percentage,Hungary,2019,45.682
Solid fossil fuels,Percentage,Hungary,2020,43.677
Solid fossil fuels,Percentage,Hungary,2021,38.517
Solid fossil fuels,Percentage,Hungary,2022,41.368
Solid fossil fuels,Percentage,Hungary,2023,24.884
Solid fossil fuels,Percentage,Ireland,2000,93.252
Solid fossil fuels,Percentage,Ireland,2001,100.42
Solid fossil fuels,Percentage,Ireland,2002,102.911
Solid fossil fuels,Percentage,Ireland,2003,95.773
Solid fossil fuels,Percentage,Ireland,2004,102.761
Solid fossil fuels,Percentage,Ireland,2005,100.822
Solid fossil fuels,Percentage,Ireland,2006,100.216
Solid fossil fuels,Percentage,Ireland,2007,90.055
Solid fossil fuels,Percentage,Ireland,2008,113.203
Solid fossil fuels,Percentage,Ireland,2009,112.671
Solid fossil fuels,Percentage,Ireland,2010,77.704
Solid fossil fuels,Percentage,Ireland,2011,114.517
Solid fossil fuels,Percentage,Ireland,2012,89.559
Solid fossil fuels,Percentage,Ireland,2013,112.406
Solid fossil fuels,Percentage,Ireland,2014,97.778
Solid fossil fuels,Percentage,Ireland,2015,102.977
Solid fossil fuels,Percentage,Ireland,2016,84.292
Solid fossil fuels,Percentage,Ireland,2017,109.795
Solid fossil fuels,Percentage,Ireland,2018,112.806
Solid fossil fuels,Percentage,Ireland,2019,67.896
Solid fossil fuels,Percentage,Ireland,2020,57.934
Solid fossil fuels,Percentage,Ireland,2021,106.371
Solid fossil fuels,Percentage,Ireland,2022,126.829
Solid fossil fuels,Percentage,Ireland,2023,86.36
Solid fossil fuels,Percentage,Iceland,2000,100.0
Solid fossil fuels,Percentage,Iceland,2001,100.0
Solid fossil fuels,Percentage,Iceland,2002,100.0
Solid fossil fuels,Percentage,Iceland,2003,100.0
Solid fossil fuels,Percentage,Iceland,2004,100.0
Solid fossil fuels,Percentage,Iceland,2005,100.0
Solid fossil fuels,Percentage,Iceland,2006,100.0
Solid fossil fuels,Percentage,Iceland,2007,108.36
Solid fossil fuels,Percentage,Iceland,2008,90.852
Solid fossil fuels,Percentage,Iceland,2009,105.877
Solid fossil fuels,Percentage,Iceland,2010,96.466
Solid fossil fuels,Percentage,Iceland,2011,98.112
Solid fossil fuels,Percentage,Iceland,2012,104.778
Solid fossil fuels,Percentage,Iceland,2013,100.0
Solid fossil fuels,Percentage,Iceland,2014,100.0
Solid fossil fuels,Percentage,Iceland,2015,100.0
Solid fossil fuels,Percentage,Iceland,2016,100.0
Solid fossil fuels,Percentage,Iceland,2017,100.0
Solid fossil fuels,Percentage,Iceland,2018,100.0
Solid fossil fuels,Percentage,Iceland,2019,100.0
Solid fossil fuels,Percentage,Iceland,2020,100.0
Solid fossil fuels,Percentage,Iceland,2021,100.0
Solid fossil fuels,Percentage,Italy,2000,104.619
Solid fossil fuels,Percentage,Italy,2001,101.128
Solid fossil fuels,Percentage,Italy,2002,95.532
Solid fossil fuels,Percentage,Italy,2003,97.661
Solid fossil fuels,Percentage,Italy,2004,101.121
Solid fossil fuels,Percentage,Italy,2005,99.423
Solid fossil fuels,Percentage,Italy,2006,99.653
Solid fossil fuels,Percentage,Italy,2007,99.241
Solid fossil fuels,Percentage,Italy,2008,101.813
Solid fossil fuels,Percentage,Italy,2009,97.321
Solid fossil fuels,Percentage,Italy,2010,100.829
Solid fossil fuels,Percentage,Italy,2011,96.05
Solid fossil fuels,Percentage,Italy,2012,96.642
Solid fossil fuels,Percentage,Italy,2013,96.205
Solid fossil fuels,Percentage,Italy,2014,98.702
Solid fossil fuels,Percentage,Italy,2015,100.15
Solid fossil fuels,Percentage,Italy,2016,97.519
Solid fossil fuels,Percentage,Italy,2017,100.193
Solid fossil fuels,Percentage,Italy,2018,100.981
Solid fossil fuels,Percentage,Italy,2019,98.556
Solid fossil fuels,Percentage,Italy,2020,93.027
Solid fossil fuels,Percentage,Italy,2021,97.049
Solid fossil fuels,Percentage,Italy,2022,102.438
Solid fossil fuels,Percentage,Italy,2023,96.37
Solid fossil fuels,Percentage,Lithuania,2000,101.737
Solid fossil fuels,Percentage,Lithuania,2001,90.834
Solid fossil fuels,Percentage,Lithuania,2002,105.813
Solid fossil fuels,Percentage,Lithuania,2003,108.156
Solid fossil fuels,Percentage,Lithuania,2004,100.804
Solid fossil fuels,Percentage,Lithuania,2005,101.011
Solid fossil fuels,Percentage,Lithuania,2006,99.737
Solid fossil fuels,Percentage,Lithuania,2007,93.904
Solid fossil fuels,Percentage,Lithuania,2008,113.943
Solid fossil fuels,Percentage,Lithuania,2009,83.033
Solid fossil fuels,Percentage,Lithuania,2010,95.676
Solid fossil fuels,Percentage,Lithuania,2011,110.947
Solid fossil fuels,Percentage,Lithuania,2012,95.936
Solid fossil fuels,Percentage,Lithuania,2013,107.663
Solid fossil fuels,Percentage,Lithuania,2014,98.115
