country,year,unit,income_group,crime
Cyprus,2005,Percentage,Above 60% of median equivalised income,9.2
Cyprus,2006,Percentage,Above 60% of median equivalised income,13.3
Cyprus,2007,Percentage,Above 60% of median equivalised income,13.6
Cyprus,2008,Percentage,Above 60% of median equivalised income,10.4
Cyprus,2009,Percentage,Above 60% of median equivalised income,8.6
Cyprus,2010,Percentage,Above 60% of median equivalised income,13.3
Cyprus,2011,Percentage,Above 60% of median equivalised income,15.3
Cyprus,2012,Percentage,Above 60% of median equivalised income,15.9
Cyprus,2013,Percentage,Above 60% of median equivalised income,15.9
Cyprus,2014,Percentage,Above 60% of median equivalised income,12.6
Cyprus,2015,Percentage,Above 60% of median equivalised income,12.2
Cyprus,2016,Percentage,Above 60% of median equivalised income,10.1
Cyprus,2017,Percentage,Above 60% of median equivalised income,12.7
Cyprus,2018,Percentage,Above 60% of median equivalised income,15.0
Cyprus,2019,Percentage,Above 60% of median equivalised income,13.3
Cyprus,2020,Percentage,Above 60% of median equivalised income,10.9
Cyprus,2023,Percentage,Above 60% of median equivalised income,10.1
Czechia,2005,Percentage,Above 60% of median equivalised income,15.9
Czechia,2006,Percentage,Above 60% of median equivalised income,13.2
Czechia,2007,Percentage,Above 60% of median equivalised income,12.6
Czechia,2008,Percentage,Above 60% of median equivalised income,13.2
Czechia,2009,Percentage,Above 60% of median equivalised income,17.6
Czechia,2010,Percentage,Above 60% of median equivalised income,15.2
Czechia,2011,Percentage,Above 60% of median equivalised income,14.8
Czechia,2012,Percentage,Above 60% of median equivalised income,13.0
Czechia,2013,Percentage,Above 60% of median equivalised income,13.6
Czechia,2014,Percentage,Above 60% of median equivalised income,13.2
Czechia,2015,Percentage,Above 60% of median equivalised income,11.2
Czechia,2016,Percentage,Above 60% of median equivalised income,11.0
Czechia,2017,Percentage,Above 60% of median equivalised income,8.9
Czechia,2018,Percentage,Above 60% of median equivalised income,7.6
Czechia,2019,Percentage,Above 60% of median equivalised income,7.3
Czechia,2020,Percentage,Above 60% of median equivalised income,5.9
Czechia,2023,Percentage,Above 60% of median equivalised income,6.5
Germany,2005,Percentage,Above 60% of median equivalised income,9.2
Germany,2006,Percentage,Above 60% of median equivalised income,12.0
Germany,2007,Percentage,Above 60% of median equivalised income,11.4
Germany,2008,Percentage,Above 60% of median equivalised income,11.6
Germany,2009,Percentage,Above 60% of median equivalised income,11.1
Germany,2010,Percentage,Above 60% of median equivalised income,10.7
Germany,2011,Percentage,Above 60% of median equivalised income,11.6
Germany,2012,Percentage,Above 60% of median equivalised income,11.4
Germany,2013,Percentage,Above 60% of median equivalised income,12.3
Germany,2014,Percentage,Above 60% of median equivalised income,12.0
Germany,2015,Percentage,Above 60% of median equivalised income,12.6
Germany,2016,Percentage,Above 60% of median equivalised income,13.0
Germany,2017,Percentage,Above 60% of median equivalised income,13.3
Germany,2018,Percentage,Above 60% of median equivalised income,12.1
Germany,2019,Percentage,Above 60% of median equivalised income,12.2
Germany,2020,Percentage,Above 60% of median equivalised income,7.7
Germany,2023,Percentage,Above 60% of median equivalised income,10.4
Denmark,2003,Percentage,Above 60% of median equivalised income,10.1
Denmark,2004,Percentage,Above 60% of median equivalised income,13.8
Denmark,2005,Percentage,Above 60% of median equivalised income,13.5
Denmark,2006,Percentage,Above 60% of median equivalised income,13.4
Denmark,2007,Percentage,Above 60% of median equivalised income,13.5
Denmark,2008,Percentage,Above 60% of median equivalised income,16.3
Denmark,2009,Percentage,Above 60% of median equivalised income,16.2
Denmark,2010,Percentage,Above 60% of median equivalised income,13.9
Denmark,2011,Percentage,Above 60% of median equivalised income,15.3
Denmark,2012,Percentage,Above 60% of median equivalised income,9.8
Denmark,2013,Percentage,Above 60% of median equivalised income,9.1
Denmark,2014,Percentage,Above 60% of median equivalised income,8.4
Denmark,2015,Percentage,Above 60% of median equivalised income,6.9
Denmark,2016,Percentage,Above 60% of median equivalised income,7.7
Denmark,2017,Percentage,Above 60% of median equivalised income,7.3
Denmark,2018,Percentage,Above 60% of median equivalised income,6.7
Denmark,2019,Percentage,Above 60% of median equivalised income,7.1
Denmark,2020,Percentage,Above 60% of median equivalised income,7.0
Denmark,2023,Percentage,Above 60% of median equivalised income,5.8
Euro area - 19 countries  (2015-2022),2005,Percentage,Above 60% of median equivalised income,14.0
Euro area - 19 countries  (2015-2022),2006,Percentage,Above 60% of median equivalised income,14.4
Euro area - 19 countries  (2015-2022),2007,Percentage,Above 60% of median equivalised income,14.3
Euro area - 19 countries  (2015-2022),2008,Percentage,Above 60% of median equivalised income,13.1
Euro area - 19 countries  (2015-2022),2009,Percentage,Above 60% of median equivalised income,14.5
Euro area - 19 countries  (2015-2022),2010,Percentage,Above 60% of median equivalised income,12.8
Euro area - 19 countries  (2015-2022),2011,Percentage,Above 60% of median equivalised income,12.9
Euro area - 19 countries  (2015-2022),2012,Percentage,Above 60% of median equivalised income,12.8
Euro area - 19 countries  (2015-2022),2013,Percentage,Above 60% of median equivalised income,14.4
Euro area - 19 countries  (2015-2022),2014,Percentage,Above 60% of median equivalised income,13.9
Euro area - 19 countries  (2015-2022),2015,Percentage,Above 60% of median equivalised income,13.6
Euro area - 19 countries  (2015-2022),2016,Percentage,Above 60% of median equivalised income,12.5
Euro area - 19 countries  (2015-2022),2017,Percentage,Above 60% of median equivalised income,11.8
Euro area - 19 countries  (2015-2022),2018,Percentage,Above 60% of median equivalised income,11.8
Euro area - 19 countries  (2015-2022),2019,Percentage,Above 60% of median equivalised income,11.5
Euro area - 19 countries  (2015-2022),2020,Percentage,Above 60% of median equivalised income,11.2
Euro area – 20 countries (from 2023),2023,Percentage,Above 60% of median equivalised income,10.8
Estonia,2004,Percentage,Above 60% of median equivalised income,27.7
Estonia,2005,Percentage,Above 60% of median equivalised income,24.0
Estonia,2006,Percentage,Above 60% of median equivalised income,19.9
Estonia,2007,Percentage,Above 60% of median equivalised income,21.1
Estonia,2008,Percentage,Above 60% of median equivalised income,16.9
Estonia,2009,Percentage,Above 60% of median equivalised income,19.9
Estonia,2010,Percentage,Above 60% of median equivalised income,17.9
Estonia,2011,Percentage,Above 60% of median equivalised income,13.9
Estonia,2012,Percentage,Above 60% of median equivalised income,15.3
Estonia,2013,Percentage,Above 60% of median equivalised income,11.7
Estonia,2014,Percentage,Above 60% of median equivalised income,12.1
Estonia,2015,Percentage,Above 60% of median equivalised income,11.7
Estonia,2016,Percentage,Above 60% of median equivalised income,9.0
Estonia,2017,Percentage,Above 60% of median equivalised income,7.2
Estonia,2018,Percentage,Above 60% of median equivalised income,7.4
Estonia,2019,Percentage,Above 60% of median equivalised income,7.4
Estonia,2020,Percentage,Above 60% of median equivalised income,5.5
Estonia,2023,Percentage,Above 60% of median equivalised income,4.4
Greece,2003,Percentage,Above 60% of median equivalised income,10.4
Greece,2004,Percentage,Above 60% of median equivalised income,8.3
Greece,2005,Percentage,Above 60% of median equivalised income,9.1
Greece,2006,Percentage,Above 60% of median equivalised income,9.0
Greece,2007,Percentage,Above 60% of median equivalised income,10.8
Greece,2008,Percentage,Above 60% of median equivalised income,12.6
Greece,2009,Percentage,Above 60% of median equivalised income,17.0
Greece,2010,Percentage,Above 60% of median equivalised income,20.0
Greece,2011,Percentage,Above 60% of median equivalised income,20.2
Greece,2012,Percentage,Above 60% of median equivalised income,20.6
Greece,2013,Percentage,Above 60% of median equivalised income,19.2
Greece,2014,Percentage,Above 60% of median equivalised income,16.8
Greece,2015,Percentage,Above 60% of median equivalised income,13.2
Greece,2016,Percentage,Above 60% of median equivalised income,12.3
Greece,2017,Percentage,Above 60% of median equivalised income,13.8
Greece,2018,Percentage,Above 60% of median equivalised income,13.3
Greece,2019,Percentage,Above 60% of median equivalised income,17.1
Greece,2020,Percentage,Above 60% of median equivalised income,18.2
Greece,2023,Percentage,Above 60% of median equivalised income,20.2
Spain,2004,Percentage,Above 60% of median equivalised income,18.7
Spain,2005,Percentage,Above 60% of median equivalised income,19.0
Spain,2006,Percentage,Above 60% of median equivalised income,19.5
Spain,2007,Percentage,Above 60% of median equivalised income,17.5
Spain,2008,Percentage,Above 60% of median equivalised income,14.9
Spain,2009,Percentage,Above 60% of median equivalised income,16.6
Spain,2010,Percentage,Above 60% of median equivalised income,13.0
Spain,2011,Percentage,Above 60% of median equivalised income,11.0
Spain,2012,Percentage,Above 60% of median equivalised income,9.7
Spain,2013,Percentage,Above 60% of median equivalised income,14.3
Spain,2014,Percentage,Above 60% of median equivalised income,11.6
Spain,2015,Percentage,Above 60% of median equivalised income,9.6
Spain,2016,Percentage,Above 60% of median equivalised income,9.2
Spain,2017,Percentage,Above 60% of median equivalised income,8.1
Spain,2018,Percentage,Above 60% of median equivalised income,10.3
Spain,2019,Percentage,Above 60% of median equivalised income,11.3
Spain,2020,Percentage,Above 60% of median equivalised income,13.3
Spain,2023,Percentage,Above 60% of median equivalised income,12.8
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,Percentage,Above 60% of median equivalised income,13.5
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,Percentage,Above 60% of median equivalised income,13.0
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,Percentage,Above 60% of median equivalised income,14.0
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,Percentage,Above 60% of median equivalised income,13.4
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,Percentage,Above 60% of median equivalised income,13.0
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,Percentage,Above 60% of median equivalised income,12.5
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,Percentage,Above 60% of median equivalised income,11.4
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,Percentage,Above 60% of median equivalised income,12.1
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,Percentage,Above 60% of median equivalised income,11.8
European Union - 27 countries (2007-2013),2007,Percentage,Above 60% of median equivalised income,15.3
European Union - 27 countries (2007-2013),2008,Percentage,Above 60% of median equivalised income,14.1
European Union - 27 countries (2007-2013),2009,Percentage,Above 60% of median equivalised income,15.4
European Union - 27 countries (2007-2013),2010,Percentage,Above 60% of median equivalised income,13.7
European Union - 27 countries (2007-2013),2011,Percentage,Above 60% of median equivalised income,13.6
European Union - 27 countries (2007-2013),2012,Percentage,Above 60% of median equivalised income,13.1
European Union - 27 countries (2007-2013),2013,Percentage,Above 60% of median equivalised income,14.1
European Union - 27 countries (2007-2013),2014,Percentage,Above 60% of median equivalised income,13.5
European Union - 27 countries (2007-2013),2015,Percentage,Above 60% of median equivalised income,13.1
European Union - 27 countries (2007-2013),2016,Percentage,Above 60% of median equivalised income,12.5
European Union - 27 countries (2007-2013),2017,Percentage,Above 60% of median equivalised income,11.5
European Union - 27 countries (2007-2013),2018,Percentage,Above 60% of median equivalised income,12.2
European Union - 27 countries (2007-2013),2019,Percentage,Above 60% of median equivalised income,11.9
European Union - 27 countries (from 2020),2010,Percentage,Above 60% of median equivalised income,12.5
European Union - 27 countries (from 2020),2011,Percentage,Above 60% of median equivalised income,12.6
European Union - 27 countries (from 2020),2012,Percentage,Above 60% of median equivalised income,12.2
European Union - 27 countries (from 2020),2013,Percentage,Above 60% of median equivalised income,13.6
European Union - 27 countries (from 2020),2014,Percentage,Above 60% of median equivalised income,13.1
European Union - 27 countries (from 2020),2015,Percentage,Above 60% of median equivalised income,12.7
European Union - 27 countries (from 2020),2016,Percentage,Above 60% of median equivalised income,11.9
European Union - 27 countries (from 2020),2017,Percentage,Above 60% of median equivalised income,11.0
European Union - 27 countries (from 2020),2018,Percentage,Above 60% of median equivalised income,10.9
European Union - 27 countries (from 2020),2019,Percentage,Above 60% of median equivalised income,10.6
European Union - 27 countries (from 2020),2020,Percentage,Above 60% of median equivalised income,10.2
European Union - 27 countries (from 2020),2023,Percentage,Above 60% of median equivalised income,9.6
European Union - 28 countries (2013-2020),2010,Percentage,Above 60% of median equivalised income,13.7
European Union - 28 countries (2013-2020),2011,Percentage,Above 60% of median equivalised income,13.5
European Union - 28 countries (2013-2020),2012,Percentage,Above 60% of median equivalised income,13.0
European Union - 28 countries (2013-2020),2013,Percentage,Above 60% of median equivalised income,14.0
European Union - 28 countries (2013-2020),2014,Percentage,Above 60% of median equivalised income,13.4
European Union - 28 countries (2013-2020),2015,Percentage,Above 60% of median equivalised income,13.0
European Union - 28 countries (2013-2020),2016,Percentage,Above 60% of median equivalised income,12.5
European Union - 28 countries (2013-2020),2017,Percentage,Above 60% of median equivalised income,11.4
European Union - 28 countries (2013-2020),2018,Percentage,Above 60% of median equivalised income,12.1
European Union - 28 countries (2013-2020),2019,Percentage,Above 60% of median equivalised income,11.8
Finland,2004,Percentage,Above 60% of median equivalised income,16.4
Finland,2005,Percentage,Above 60% of median equivalised income,17.4
Finland,2006,Percentage,Above 60% of median equivalised income,15.0
Finland,2007,Percentage,Above 60% of median equivalised income,12.3
Finland,2008,Percentage,Above 60% of median equivalised income,12.5
Finland,2009,Percentage,Above 60% of median equivalised income,12.7
Finland,2010,Percentage,Above 60% of median equivalised income,8.0
Finland,2011,Percentage,Above 60% of median equivalised income,7.8
Finland,2012,Percentage,Above 60% of median equivalised income,8.0
Finland,2013,Percentage,Above 60% of median equivalised income,8.6
Finland,2014,Percentage,Above 60% of median equivalised income,6.7
Finland,2015,Percentage,Above 60% of median equivalised income,6.9
Finland,2016,Percentage,Above 60% of median equivalised income,6.2
Finland,2017,Percentage,Above 60% of median equivalised income,5.9
Finland,2018,Percentage,Above 60% of median equivalised income,6.8
Finland,2019,Percentage,Above 60% of median equivalised income,6.1
Finland,2020,Percentage,Above 60% of median equivalised income,6.2
Finland,2023,Percentage,Above 60% of median equivalised income,10.8
France,2004,Percentage,Above 60% of median equivalised income,21.8
France,2005,Percentage,Above 60% of median equivalised income,16.9
France,2006,Percentage,Above 60% of median equivalised income,15.3
France,2007,Percentage,Above 60% of median equivalised income,15.5
France,2008,Percentage,Above 60% of median equivalised income,14.0
France,2009,Percentage,Above 60% of median equivalised income,14.6
France,2010,Percentage,Above 60% of median equivalised income,14.2
France,2011,Percentage,Above 60% of median equivalised income,13.3
France,2012,Percentage,Above 60% of median equivalised income,14.1
France,2013,Percentage,Above 60% of median equivalised income,15.8
France,2014,Percentage,Above 60% of median equivalised income,14.7
France,2015,Percentage,Above 60% of median equivalised income,13.4
France,2016,Percentage,Above 60% of median equivalised income,13.9
France,2017,Percentage,Above 60% of median equivalised income,13.2
France,2018,Percentage,Above 60% of median equivalised income,14.3
France,2019,Percentage,Above 60% of median equivalised income,13.6
France,2020,Percentage,Above 60% of median equivalised income,16.2
France,2023,Percentage,Above 60% of median equivalised income,13.9
Croatia,2010,Percentage,Above 60% of median equivalised income,4.8
Croatia,2011,Percentage,Above 60% of median equivalised income,3.7
Croatia,2012,Percentage,Above 60% of median equivalised income,2.9
Croatia,2013,Percentage,Above 60% of median equivalised income,2.9
Croatia,2014,Percentage,Above 60% of median equivalised income,2.8
Croatia,2015,Percentage,Above 60% of median equivalised income,3.0
Croatia,2016,Percentage,Above 60% of median equivalised income,3.1
Croatia,2017,Percentage,Above 60% of median equivalised income,3.2
Croatia,2018,Percentage,Above 60% of median equivalised income,2.7
Croatia,2019,Percentage,Above 60% of median equivalised income,2.8
Croatia,2020,Percentage,Above 60% of median equivalised income,2.4
Croatia,2023,Percentage,Above 60% of median equivalised income,1.5
Hungary,2005,Percentage,Above 60% of median equivalised income,12.3
Hungary,2006,Percentage,Above 60% of median equivalised income,9.5
Hungary,2007,Percentage,Above 60% of median equivalised income,12.1
Hungary,2008,Percentage,Above 60% of median equivalised income,12.6
Hungary,2009,Percentage,Above 60% of median equivalised income,10.6
Hungary,2010,Percentage,Above 60% of median equivalised income,10.9
Hungary,2011,Percentage,Above 60% of median equivalised income,9.9
Hungary,2012,Percentage,Above 60% of median equivalised income,9.3
Hungary,2013,Percentage,Above 60% of median equivalised income,11.3
Hungary,2014,Percentage,Above 60% of median equivalised income,12.2
Hungary,2015,Percentage,Above 60% of median equivalised income,9.0
Hungary,2016,Percentage,Above 60% of median equivalised income,8.7
Hungary,2017,Percentage,Above 60% of median equivalised income,6.3
Hungary,2018,Percentage,Above 60% of median equivalised income,3.9
Hungary,2019,Percentage,Above 60% of median equivalised income,4.6
Hungary,2020,Percentage,Above 60% of median equivalised income,4.8
Hungary,2023,Percentage,Above 60% of median equivalised income,5.1
Ireland,2003,Percentage,Above 60% of median equivalised income,15.6
Ireland,2004,Percentage,Above 60% of median equivalised income,13.5
Ireland,2005,Percentage,Above 60% of median equivalised income,13.6
Ireland,2006,Percentage,Above 60% of median equivalised income,16.1
Ireland,2007,Percentage,Above 60% of median equivalised income,14.2
Ireland,2008,Percentage,Above 60% of median equivalised income,12.1
Ireland,2009,Percentage,Above 60% of median equivalised income,14.1
Ireland,2010,Percentage,Above 60% of median equivalised income,9.5
Ireland,2011,Percentage,Above 60% of median equivalised income,10.0
Ireland,2012,Percentage,Above 60% of median equivalised income,10.3
Ireland,2013,Percentage,Above 60% of median equivalised income,11.5
Ireland,2014,Percentage,Above 60% of median equivalised income,10.7
Ireland,2015,Percentage,Above 60% of median equivalised income,10.1
Ireland,2016,Percentage,Above 60% of median equivalised income,9.2
Ireland,2017,Percentage,Above 60% of median equivalised income,9.3
Ireland,2018,Percentage,Above 60% of median equivalised income,9.4
Ireland,2019,Percentage,Above 60% of median equivalised income,7.7
Ireland,2020,Percentage,Above 60% of median equivalised income,10.3
Iceland,2004,Percentage,Above 60% of median equivalised income,3.8
Iceland,2005,Percentage,Above 60% of median equivalised income,3.8
Iceland,2006,Percentage,Above 60% of median equivalised income,2.4
Iceland,2007,Percentage,Above 60% of median equivalised income,3.4
Iceland,2008,Percentage,Above 60% of median equivalised income,3.1
Iceland,2009,Percentage,Above 60% of median equivalised income,4.0
Iceland,2010,Percentage,Above 60% of median equivalised income,3.7
Iceland,2011,Percentage,Above 60% of median equivalised income,2.3
Iceland,2012,Percentage,Above 60% of median equivalised income,3.1
Iceland,2013,Percentage,Above 60% of median equivalised income,2.2
Iceland,2014,Percentage,Above 60% of median equivalised income,1.9
Iceland,2015,Percentage,Above 60% of median equivalised income,1.9
Iceland,2016,Percentage,Above 60% of median equivalised income,2.1
Iceland,2017,Percentage,Above 60% of median equivalised income,1.9
Iceland,2018,Percentage,Above 60% of median equivalised income,2.4
Iceland,2019,Percentage,Above 60% of median equivalised income,2.3
Italy,2004,Percentage,Above 60% of median equivalised income,14.6
Italy,2005,Percentage,Above 60% of median equivalised income,13.8
Italy,2006,Percentage,Above 60% of median equivalised income,14.2
Italy,2007,Percentage,Above 60% of median equivalised income,15.6
Italy,2008,Percentage,Above 60% of median equivalised income,13.4
Italy,2009,Percentage,Above 60% of median equivalised income,15.1
Italy,2010,Percentage,Above 60% of median equivalised income,11.9
Italy,2011,Percentage,Above 60% of median equivalised income,14.7
Italy,2012,Percentage,Above 60% of median equivalised income,14.5
Italy,2013,Percentage,Above 60% of median equivalised income,15.9
Italy,2014,Percentage,Above 60% of median equivalised income,17.8
Italy,2015,Percentage,Above 60% of median equivalised income,19.5
Italy,2016,Percentage,Above 60% of median equivalised income,14.9
Italy,2017,Percentage,Above 60% of median equivalised income,12.3
Italy,2018,Percentage,Above 60% of median equivalised income,11.3
Italy,2019,Percentage,Above 60% of median equivalised income,9.6
Italy,2020,Percentage,Above 60% of median equivalised income,8.2
Italy,2023,Percentage,Above 60% of median equivalised income,6.2
Lithuania,2005,Percentage,Above 60% of median equivalised income,9.6
Lithuania,2006,Percentage,Above 60% of median equivalised income,8.0
Lithuania,2007,Percentage,Above 60% of median equivalised income,7.8
Lithuania,2008,Percentage,Above 60% of median equivalised income,5.3
Lithuania,2009,Percentage,Above 60% of median equivalised income,6.6
Lithuania,2010,Percentage,Above 60% of median equivalised income,5.4
Lithuania,2011,Percentage,Above 60% of median equivalised income,4.6
Lithuania,2012,Percentage,Above 60% of median equivalised income,5.1
Lithuania,2013,Percentage,Above 60% of median equivalised income,6.3
Lithuania,2014,Percentage,Above 60% of median equivalised income,5.0
Lithuania,2015,Percentage,Above 60% of median equivalised income,4.8
Lithuania,2016,Percentage,Above 60% of median equivalised income,3.3
Lithuania,2017,Percentage,Above 60% of median equivalised income,7.9
Lithuania,2018,Percentage,Above 60% of median equivalised income,3.5
Lithuania,2019,Percentage,Above 60% of median equivalised income,3.3
Lithuania,2020,Percentage,Above 60% of median equivalised income,3.1
Lithuania,2023,Percentage,Above 60% of median equivalised income,2.5
Luxembourg,2003,Percentage,Above 60% of median equivalised income,18.4
Luxembourg,2004,Percentage,Above 60% of median equivalised income,15.1
Luxembourg,2005,Percentage,Above 60% of median equivalised income,15.2
Luxembourg,2006,Percentage,Above 60% of median equivalised income,10.3
Luxembourg,2007,Percentage,Above 60% of median equivalised income,9.7
Luxembourg,2008,Percentage,Above 60% of median equivalised income,10.6
Luxembourg,2009,Percentage,Above 60% of median equivalised income,10.5
Luxembourg,2010,Percentage,Above 60% of median equivalised income,9.7
Luxembourg,2011,Percentage,Above 60% of median equivalised income,9.9
Luxembourg,2012,Percentage,Above 60% of median equivalised income,14.1
Luxembourg,2013,Percentage,Above 60% of median equivalised income,12.9
Luxembourg,2014,Percentage,Above 60% of median equivalised income,16.2
Luxembourg,2015,Percentage,Above 60% of median equivalised income,15.0
Luxembourg,2016,Percentage,Above 60% of median equivalised income,11.3
Luxembourg,2017,Percentage,Above 60% of median equivalised income,11.8
Luxembourg,2018,Percentage,Above 60% of median equivalised income,10.8
Luxembourg,2019,Percentage,Above 60% of median equivalised income,11.1
Luxembourg,2020,Percentage,Above 60% of median equivalised income,10.7
Luxembourg,2023,Percentage,Above 60% of median equivalised income,7.4
Latvia,2005,Percentage,Above 60% of median equivalised income,23.6
Latvia,2006,Percentage,Above 60% of median equivalised income,28.0
Latvia,2007,Percentage,Above 60% of median equivalised income,27.9
Latvia,2008,Percentage,Above 60% of median equivalised income,29.3
Latvia,2009,Percentage,Above 60% of median equivalised income,24.9
Latvia,2010,Percentage,Above 60% of median equivalised income,24.3
Latvia,2011,Percentage,Above 60% of median equivalised income,19.4
Latvia,2012,Percentage,Above 60% of median equivalised income,17.4
Latvia,2013,Percentage,Above 60% of median equivalised income,12.3
Latvia,2014,Percentage,Above 60% of median equivalised income,13.2
Latvia,2015,Percentage,Above 60% of median equivalised income,12.4
Latvia,2016,Percentage,Above 60% of median equivalised income,10.5
Latvia,2017,Percentage,Above 60% of median equivalised income,7.9
Latvia,2018,Percentage,Above 60% of median equivalised income,9.0
Latvia,2019,Percentage,Above 60% of median equivalised income,6.4
Latvia,2020,Percentage,Above 60% of median equivalised income,5.0
