country,year,unit5,sex,outside_labour_caring
Lithuania,2007,Percentage of total population,Females,0.6
Lithuania,2008,Percentage of total population,Females,1.2
Lithuania,2009,Percentage of total population,Females,0.7
Lithuania,2010,Percentage of total population,Females,0.7
Lithuania,2011,Percentage of total population,Females,0.6
Lithuania,2012,Percentage of total population,Females,
Lithuania,2013,Percentage of total population,Females,0.7
Lithuania,2014,Percentage of total population,Females,0.6
Lithuania,2015,Percentage of total population,Females,0.3
Lithuania,2016,Percentage of total population,Females,0.2
Lithuania,2017,Percentage of total population,Females,0.2
Lithuania,2018,Percentage of total population,Females,0.2
Lithuania,2019,Percentage of total population,Females,0.2
Lithuania,2020,Percentage of total population,Females,
Lithuania,2021,Percentage of total population,Females,0.3
Lithuania,2022,Percentage of total population,Females,0.3
Lithuania,2023,Percentage of total population,Females,0.3
Luxembourg,2006,Percentage of total population,Females,0.5
Luxembourg,2007,Percentage of total population,Females,
Luxembourg,2008,Percentage of total population,Females,0.5
Luxembourg,2009,Percentage of total population,Females,2.4
Luxembourg,2010,Percentage of total population,Females,1.8
Luxembourg,2011,Percentage of total population,Females,1.7
Luxembourg,2012,Percentage of total population,Females,1.4
Luxembourg,2013,Percentage of total population,Females,1.2
Luxembourg,2014,Percentage of total population,Females,1.4
Luxembourg,2015,Percentage of total population,Females,2.0
Luxembourg,2016,Percentage of total population,Females,1.7
Luxembourg,2017,Percentage of total population,Females,2.0
Luxembourg,2018,Percentage of total population,Females,1.7
Luxembourg,2019,Percentage of total population,Females,1.2
Luxembourg,2020,Percentage of total population,Females,1.1
Luxembourg,2021,Percentage of total population,Females,0.8
Luxembourg,2022,Percentage of total population,Females,0.5
Luxembourg,2023,Percentage of total population,Females,
Latvia,2006,Percentage of total population,Females,3.0
Latvia,2007,Percentage of total population,Females,3.0
Latvia,2008,Percentage of total population,Females,2.1
Latvia,2009,Percentage of total population,Females,2.2
Latvia,2010,Percentage of total population,Females,1.7
Latvia,2011,Percentage of total population,Females,2.0
Latvia,2012,Percentage of total population,Females,1.6
Latvia,2013,Percentage of total population,Females,1.5
Latvia,2014,Percentage of total population,Females,1.7
Latvia,2015,Percentage of total population,Females,1.6
Latvia,2016,Percentage of total population,Females,1.6
Latvia,2017,Percentage of total population,Females,1.1
Latvia,2018,Percentage of total population,Females,0.8
Latvia,2019,Percentage of total population,Females,1.0
Latvia,2020,Percentage of total population,Females,1.5
Latvia,2021,Percentage of total population,Females,1.1
Latvia,2022,Percentage of total population,Females,
Latvia,2023,Percentage of total population,Females,
Montenegro,2011,Percentage of total population,Females,
Montenegro,2012,Percentage of total population,Females,
Montenegro,2013,Percentage of total population,Females,0.7
Montenegro,2014,Percentage of total population,Females,1.0
Montenegro,2015,Percentage of total population,Females,
Montenegro,2016,Percentage of total population,Females,
Montenegro,2017,Percentage of total population,Females,
Montenegro,2018,Percentage of total population,Females,
Montenegro,2019,Percentage of total population,Females,
Montenegro,2020,Percentage of total population,Females,
North Macedonia,2006,Percentage of total population,Females,1.7
North Macedonia,2007,Percentage of total population,Females,1.2
North Macedonia,2008,Percentage of total population,Females,1.2
North Macedonia,2009,Percentage of total population,Females,1.1
North Macedonia,2010,Percentage of total population,Females,0.7
North Macedonia,2011,Percentage of total population,Females,0.8
North Macedonia,2012,Percentage of total population,Females,1.0
North Macedonia,2013,Percentage of total population,Females,1.1
North Macedonia,2014,Percentage of total population,Females,1.5
North Macedonia,2015,Percentage of total population,Females,1.1
North Macedonia,2016,Percentage of total population,Females,0.9
North Macedonia,2017,Percentage of total population,Females,1.4
North Macedonia,2018,Percentage of total population,Females,1.6
North Macedonia,2019,Percentage of total population,Females,1.7
North Macedonia,2020,Percentage of total population,Females,1.5
Malta,2006,Percentage of total population,Females,1.0
Malta,2007,Percentage of total population,Females,1.2
Malta,2008,Percentage of total population,Females,1.3
Malta,2009,Percentage of total population,Females,1.3
Malta,2010,Percentage of total population,Females,1.1
Malta,2011,Percentage of total population,Females,2.0
Malta,2012,Percentage of total population,Females,2.1
Malta,2013,Percentage of total population,Females,1.8
Malta,2014,Percentage of total population,Females,1.6
Malta,2015,Percentage of total population,Females,1.9
Malta,2016,Percentage of total population,Females,1.8
Malta,2017,Percentage of total population,Females,1.5
Malta,2018,Percentage of total population,Females,1.1
Malta,2019,Percentage of total population,Females,1.1
Malta,2020,Percentage of total population,Females,0.7
Malta,2021,Percentage of total population,Females,0.6
Malta,2022,Percentage of total population,Females,
Malta,2023,Percentage of total population,Females,
Netherlands,2006,Percentage of total population,Females,0.5
Netherlands,2007,Percentage of total population,Females,0.5
Netherlands,2008,Percentage of total population,Females,0.3
Netherlands,2009,Percentage of total population,Females,0.3
Netherlands,2010,Percentage of total population,Females,0.2
Netherlands,2011,Percentage of total population,Females,0.3
Netherlands,2012,Percentage of total population,Females,0.3
Netherlands,2013,Percentage of total population,Females,0.2
Netherlands,2014,Percentage of total population,Females,0.3
Netherlands,2015,Percentage of total population,Females,0.3
Netherlands,2016,Percentage of total population,Females,0.3
Netherlands,2017,Percentage of total population,Females,0.3
Netherlands,2018,Percentage of total population,Females,0.2
Netherlands,2019,Percentage of total population,Females,0.2
Netherlands,2020,Percentage of total population,Females,0.2
Netherlands,2021,Percentage of total population,Females,0.9
Netherlands,2022,Percentage of total population,Females,0.9
Netherlands,2023,Percentage of total population,Females,0.9
Norway,2006,Percentage of total population,Females,0.5
Norway,2007,Percentage of total population,Females,0.3
Norway,2008,Percentage of total population,Females,0.3
Norway,2009,Percentage of total population,Females,0.4
Norway,2010,Percentage of total population,Females,0.3
Norway,2011,Percentage of total population,Females,0.3
Norway,2012,Percentage of total population,Females,0.4
Norway,2013,Percentage of total population,Females,0.4
Norway,2014,Percentage of total population,Females,0.3
Norway,2015,Percentage of total population,Females,0.2
Norway,2016,Percentage of total population,Females,0.2
Norway,2017,Percentage of total population,Females,
Norway,2018,Percentage of total population,Females,
Norway,2019,Percentage of total population,Females,
Norway,2020,Percentage of total population,Females,0.3
Norway,2021,Percentage of total population,Females,
Norway,2022,Percentage of total population,Females,
Norway,2023,Percentage of total population,Females,
Poland,2006,Percentage of total population,Females,2.4
Poland,2007,Percentage of total population,Females,2.7
Poland,2008,Percentage of total population,Females,2.6
Poland,2009,Percentage of total population,Females,2.7
Poland,2010,Percentage of total population,Females,2.7
Poland,2011,Percentage of total population,Females,2.7
Poland,2012,Percentage of total population,Females,2.8
Poland,2013,Percentage of total population,Females,2.8
Poland,2014,Percentage of total population,Females,2.7
Poland,2015,Percentage of total population,Females,2.5
Poland,2016,Percentage of total population,Females,2.7
Poland,2017,Percentage of total population,Females,2.8
Poland,2018,Percentage of total population,Females,2.8
Poland,2019,Percentage of total population,Females,3.0
Poland,2020,Percentage of total population,Females,2.8
Poland,2021,Percentage of total population,Females,1.4
Poland,2022,Percentage of total population,Females,0.9
Poland,2023,Percentage of total population,Females,1.0
Portugal,2006,Percentage of total population,Females,0.1
Portugal,2007,Percentage of total population,Females,0.2
Portugal,2008,Percentage of total population,Females,0.2
Portugal,2009,Percentage of total population,Females,0.2
Portugal,2010,Percentage of total population,Females,
Portugal,2011,Percentage of total population,Females,0.7
Portugal,2012,Percentage of total population,Females,0.8
Portugal,2013,Percentage of total population,Females,0.8
Portugal,2014,Percentage of total population,Females,0.9
Portugal,2015,Percentage of total population,Females,0.7
Portugal,2016,Percentage of total population,Females,0.7
Portugal,2017,Percentage of total population,Females,0.7
Portugal,2018,Percentage of total population,Females,0.6
Portugal,2019,Percentage of total population,Females,0.6
Portugal,2020,Percentage of total population,Females,0.9
Portugal,2021,Percentage of total population,Females,0.5
Portugal,2022,Percentage of total population,Females,0.5
Portugal,2023,Percentage of total population,Females,0.5
Romania,2006,Percentage of total population,Females,0.5
Romania,2007,Percentage of total population,Females,0.5
Romania,2008,Percentage of total population,Females,0.4
Romania,2009,Percentage of total population,Females,0.3
Romania,2010,Percentage of total population,Females,0.3
Romania,2011,Percentage of total population,Females,0.2
Romania,2012,Percentage of total population,Females,0.2
Romania,2013,Percentage of total population,Females,0.2
Romania,2014,Percentage of total population,Females,0.1
Romania,2015,Percentage of total population,Females,0.2
Romania,2016,Percentage of total population,Females,0.1
Romania,2017,Percentage of total population,Females,
Romania,2018,Percentage of total population,Females,0.1
Romania,2019,Percentage of total population,Females,
Romania,2020,Percentage of total population,Females,
Romania,2021,Percentage of total population,Females,0.4
Romania,2022,Percentage of total population,Females,0.3
Romania,2023,Percentage of total population,Females,0.2
Serbia,2010,Percentage of total population,Females,1.7
Serbia,2011,Percentage of total population,Females,1.4
Serbia,2012,Percentage of total population,Females,1.7
Serbia,2013,Percentage of total population,Females,2.0
Serbia,2014,Percentage of total population,Females,2.2
Serbia,2015,Percentage of total population,Females,2.5
Serbia,2016,Percentage of total population,Females,2.0
Serbia,2017,Percentage of total population,Females,1.8
Serbia,2018,Percentage of total population,Females,2.1
Serbia,2019,Percentage of total population,Females,2.1
Serbia,2020,Percentage of total population,Females,1.9
Serbia,2021,Percentage of total population,Females,1.0
Serbia,2022,Percentage of total population,Females,0.7
Serbia,2023,Percentage of total population,Females,0.6
Sweden,2006,Percentage of total population,Females,
Sweden,2007,Percentage of total population,Females,
Sweden,2008,Percentage of total population,Females,0.1
Sweden,2009,Percentage of total population,Females,0.1
Sweden,2010,Percentage of total population,Females,0.2
Sweden,2011,Percentage of total population,Females,0.1
Sweden,2012,Percentage of total population,Females,0.1
Sweden,2013,Percentage of total population,Females,0.2
Sweden,2014,Percentage of total population,Females,0.2
Sweden,2015,Percentage of total population,Females,0.2
Sweden,2016,Percentage of total population,Females,0.1
Sweden,2017,Percentage of total population,Females,0.2
Sweden,2018,Percentage of total population,Females,0.1
Sweden,2019,Percentage of total population,Females,0.2
Sweden,2020,Percentage of total population,Females,0.2
Sweden,2021,Percentage of total population,Females,0.1
Sweden,2022,Percentage of total population,Females,0.2
Sweden,2023,Percentage of total population,Females,
Slovenia,2006,Percentage of total population,Females,0.4
Slovenia,2007,Percentage of total population,Females,0.3
Slovenia,2008,Percentage of total population,Females,0.3
Slovenia,2009,Percentage of total population,Females,0.2
Slovenia,2010,Percentage of total population,Females,0.2
Slovenia,2011,Percentage of total population,Females,0.3
Slovenia,2012,Percentage of total population,Females,0.2
Slovenia,2013,Percentage of total population,Females,0.5
Slovenia,2014,Percentage of total population,Females,0.6
Slovenia,2015,Percentage of total population,Females,0.4
Slovenia,2016,Percentage of total population,Females,0.4
Slovenia,2017,Percentage of total population,Females,0.4
Slovenia,2018,Percentage of total population,Females,0.4
Slovenia,2019,Percentage of total population,Females,0.4
Slovenia,2020,Percentage of total population,Females,0.4
Slovenia,2021,Percentage of total population,Females,0.3
Slovenia,2022,Percentage of total population,Females,0.3
Slovenia,2023,Percentage of total population,Females,0.4
Slovakia,2006,Percentage of total population,Females,1.1
Slovakia,2007,Percentage of total population,Females,1.0
