country,year,unit,traffic,deaths
Cyprus,2017,Number,Motorways,5.0
Cyprus,2018,Number,Motorways,8.0
Cyprus,2019,Number,Motorways,3.0
Cyprus,2020,Number,Motorways,4.0
Cyprus,2021,Number,Motorways,5.0
Cyprus,2022,Number,Motorways,3.0
Czechia,2000,Number,Motorways,45.0
Czechia,2001,Number,Motorways,43.0
Czechia,2002,Number,Motorways,53.0
Czechia,2003,Number,Motorways,48.0
Czechia,2004,Number,Motorways,58.0
Czechia,2005,Number,Motorways,45.0
Czechia,2006,Number,Motorways,37.0
Czechia,2007,Number,Motorways,48.0
Czechia,2008,Number,Motorways,30.0
Czechia,2009,Number,Motorways,25.0
Czechia,2010,Number,Motorways,28.0
Czechia,2011,Number,Motorways,21.0
Czechia,2012,Number,Motorways,22.0
Czechia,2013,Number,Motorways,25.0
Czechia,2014,Number,Motorways,23.0
Czechia,2015,Number,Motorways,31.0
Czechia,2016,Number,Motorways,40.0
Czechia,2017,Number,Motorways,25.0
Czechia,2018,Number,Motorways,35.0
Czechia,2019,Number,Motorways,31.0
Czechia,2020,Number,Motorways,32.0
Czechia,2021,Number,Motorways,22.0
Czechia,2022,Number,Motorways,33.0
Germany,2000,Number,Motorways,907.0
Germany,2001,Number,Motorways,770.0
Germany,2002,Number,Motorways,857.0
Germany,2003,Number,Motorways,811.0
Germany,2004,Number,Motorways,694.0
Germany,2005,Number,Motorways,662.0
Germany,2006,Number,Motorways,645.0
Germany,2007,Number,Motorways,602.0
Germany,2008,Number,Motorways,495.0
Germany,2009,Number,Motorways,475.0
Germany,2010,Number,Motorways,430.0
Germany,2011,Number,Motorways,453.0
Germany,2012,Number,Motorways,387.0
Germany,2013,Number,Motorways,428.0
Germany,2014,Number,Motorways,375.0
Germany,2015,Number,Motorways,414.0
Germany,2016,Number,Motorways,393.0
Germany,2017,Number,Motorways,409.0
Germany,2018,Number,Motorways,424.0
Germany,2019,Number,Motorways,356.0
Germany,2020,Number,Motorways,317.0
Germany,2021,Number,Motorways,318.0
Germany,2022,Number,Motorways,314.0
Denmark,2000,Number,Motorways,29.0
Denmark,2001,Number,Motorways,38.0
Denmark,2002,Number,Motorways,48.0
Denmark,2003,Number,Motorways,31.0
Denmark,2004,Number,Motorways,27.0
Denmark,2005,Number,Motorways,31.0
Denmark,2006,Number,Motorways,16.0
Denmark,2007,Number,Motorways,24.0
Denmark,2008,Number,Motorways,31.0
Denmark,2009,Number,Motorways,24.0
Denmark,2010,Number,Motorways,26.0
Denmark,2011,Number,Motorways,12.0
Denmark,2012,Number,Motorways,8.0
Denmark,2013,Number,Motorways,12.0
Denmark,2014,Number,Motorways,14.0
Denmark,2015,Number,Motorways,16.0
Denmark,2016,Number,Motorways,25.0
Denmark,2017,Number,Motorways,12.0
Denmark,2018,Number,Motorways,21.0
Denmark,2019,Number,Motorways,14.0
Denmark,2020,Number,Motorways,14.0
Denmark,2021,Number,Motorways,11.0
Denmark,2022,Number,Motorways,12.0
Greece,2000,Number,Motorways,61.0
Greece,2001,Number,Motorways,86.0
Greece,2002,Number,Motorways,69.0
Greece,2003,Number,Motorways,58.0
Greece,2004,Number,Motorways,116.0
Greece,2005,Number,Motorways,111.0
Greece,2006,Number,Motorways,147.0
Greece,2007,Number,Motorways,140.0
Greece,2008,Number,Motorways,120.0
Greece,2009,Number,Motorways,108.0
Greece,2010,Number,Motorways,87.0
Greece,2011,Number,Motorways,81.0
Greece,2012,Number,Motorways,57.0
Greece,2013,Number,Motorways,79.0
Greece,2014,Number,Motorways,56.0
Greece,2015,Number,Motorways,53.0
Greece,2016,Number,Motorways,45.0
Greece,2017,Number,Motorways,54.0
Greece,2018,Number,Motorways,61.0
Greece,2019,Number,Motorways,50.0
Greece,2020,Number,Motorways,34.0
Greece,2021,Number,Motorways,38.0
Spain,2000,Number,Motorways,347.0
Spain,2001,Number,Motorways,1138.0
Spain,2002,Number,Motorways,1096.0
Spain,2003,Number,Motorways,1056.0
Spain,2004,Number,Motorways,915.0
Spain,2005,Number,Motorways,841.0
Spain,2006,Number,Motorways,759.0
Spain,2007,Number,Motorways,601.0
Spain,2008,Number,Motorways,478.0
Spain,2009,Number,Motorways,453.0
Spain,2010,Number,Motorways,405.0
Spain,2011,Number,Motorways,335.0
Spain,2012,Number,Motorways,297.0
Spain,2013,Number,Motorways,290.0
Spain,2014,Number,Motorways,289.0
Spain,2015,Number,Motorways,277.0
Spain,2016,Number,Motorways,327.0
Spain,2017,Number,Motorways,308.0
Spain,2018,Number,Motorways,323.0
Spain,2019,Number,Motorways,340.0
Spain,2020,Number,Motorways,224.0
Spain,2021,Number,Motorways,316.0
Spain,2022,Number,Motorways,347.0
European Union - 27 countries (from 2020),2000,Number,Motorways,3456.0
European Union - 27 countries (from 2020),2001,Number,Motorways,4058.0
European Union - 27 countries (from 2020),2002,Number,Motorways,4136.0
European Union - 27 countries (from 2020),2003,Number,Motorways,3873.0
European Union - 27 countries (from 2020),2004,Number,Motorways,3354.0
European Union - 27 countries (from 2020),2005,Number,Motorways,3122.0
European Union - 27 countries (from 2020),2006,Number,Motorways,3075.0
European Union - 27 countries (from 2020),2007,Number,Motorways,2911.0
European Union - 27 countries (from 2020),2008,Number,Motorways,2420.0
European Union - 27 countries (from 2020),2009,Number,Motorways,2340.0
European Union - 27 countries (from 2020),2010,Number,Motorways,2197.0
European Union - 27 countries (from 2020),2011,Number,Motorways,2041.0
European Union - 27 countries (from 2020),2012,Number,Motorways,1830.0
European Union - 27 countries (from 2020),2013,Number,Motorways,1863.0
European Union - 27 countries (from 2020),2014,Number,Motorways,1766.0
European Union - 27 countries (from 2020),2015,Number,Motorways,1926.0
European Union - 27 countries (from 2020),2016,Number,Motorways,1920.0
European Union - 27 countries (from 2020),2017,Number,Motorways,1977.0
European Union - 27 countries (from 2020),2018,Number,Motorways,2020.0
European Union - 27 countries (from 2020),2019,Number,Motorways,1939.0
European Union - 27 countries (from 2020),2020,Number,Motorways,1476.0
European Union - 27 countries (from 2020),2021,Number,Motorways,1748.0
European Union - 27 countries (from 2020),2022,Number,Motorways,1834.0
Finland,2000,Number,Motorways,13.0
Finland,2001,Number,Motorways,11.0
Finland,2002,Number,Motorways,16.0
Finland,2003,Number,Motorways,7.0
Finland,2004,Number,Motorways,17.0
Finland,2005,Number,Motorways,10.0
Finland,2006,Number,Motorways,17.0
Finland,2007,Number,Motorways,14.0
Finland,2008,Number,Motorways,9.0
Finland,2009,Number,Motorways,12.0
Finland,2010,Number,Motorways,4.0
Finland,2011,Number,Motorways,11.0
Finland,2012,Number,Motorways,13.0
Finland,2013,Number,Motorways,8.0
Finland,2014,Number,Motorways,8.0
Finland,2015,Number,Motorways,6.0
Finland,2016,Number,Motorways,7.0
Finland,2017,Number,Motorways,8.0
Finland,2018,Number,Motorways,5.0
Finland,2019,Number,Motorways,6.0
Finland,2020,Number,Motorways,9.0
Finland,2021,Number,Motorways,8.0
Finland,2022,Number,Motorways,6.0
France,2000,Number,Motorways,517.0
France,2001,Number,Motorways,482.0
France,2002,Number,Motorways,518.0
France,2003,Number,Motorways,432.0
France,2004,Number,Motorways,307.0
France,2005,Number,Motorways,323.0
France,2006,Number,Motorways,292.0
France,2007,Number,Motorways,273.0
France,2008,Number,Motorways,233.0
France,2009,Number,Motorways,225.0
France,2010,Number,Motorways,238.0
France,2011,Number,Motorways,268.0
France,2012,Number,Motorways,222.0
France,2013,Number,Motorways,238.0
France,2014,Number,Motorways,241.0
France,2015,Number,Motorways,297.0
France,2016,Number,Motorways,267.0
France,2017,Number,Motorways,281.0
France,2018,Number,Motorways,268.0
France,2019,Number,Motorways,260.0
France,2020,Number,Motorways,196.0
France,2021,Number,Motorways,243.0
France,2022,Number,Motorways,290.0
Croatia,2007,Number,Motorways,65.0
Croatia,2008,Number,Motorways,67.0
Croatia,2009,Number,Motorways,43.0
Croatia,2010,Number,Motorways,33.0
Croatia,2011,Number,Motorways,23.0
Croatia,2012,Number,Motorways,42.0
Croatia,2013,Number,Motorways,38.0
Croatia,2014,Number,Motorways,22.0
Croatia,2015,Number,Motorways,16.0
Croatia,2016,Number,Motorways,34.0
Croatia,2017,Number,Motorways,22.0
Croatia,2018,Number,Motorways,28.0
Croatia,2019,Number,Motorways,18.0
Croatia,2020,Number,Motorways,19.0
Croatia,2021,Number,Motorways,36.0
Croatia,2022,Number,Motorways,38.0
Hungary,2003,Number,Motorways,58.0
Hungary,2004,Number,Motorways,60.0
Hungary,2005,Number,Motorways,47.0
Hungary,2006,Number,Motorways,55.0
Hungary,2007,Number,Motorways,61.0
Hungary,2008,Number,Motorways,54.0
Hungary,2009,Number,Motorways,38.0
Hungary,2010,Number,Motorways,44.0
Hungary,2011,Number,Motorways,49.0
Hungary,2012,Number,Motorways,31.0
Hungary,2013,Number,Motorways,30.0
Hungary,2014,Number,Motorways,27.0
Hungary,2015,Number,Motorways,34.0
Hungary,2016,Number,Motorways,37.0
Hungary,2017,Number,Motorways,34.0
Hungary,2018,Number,Motorways,46.0
Hungary,2019,Number,Motorways,48.0
Hungary,2020,Number,Motorways,35.0
Hungary,2021,Number,Motorways,58.0
Hungary,2022,Number,Motorways,36.0
Ireland,2000,Number,Motorways,4.0
Ireland,2001,Number,Motorways,4.0
Ireland,2002,Number,Motorways,5.0
Ireland,2003,Number,Motorways,8.0
Ireland,2004,Number,Motorways,6.0
Ireland,2005,Number,Motorways,2.0
Ireland,2006,Number,Motorways,11.0
Ireland,2007,Number,Motorways,10.0
Ireland,2008,Number,Motorways,2.0
Ireland,2009,Number,Motorways,4.0
Ireland,2010,Number,Motorways,8.0
Ireland,2011,Number,Motorways,9.0
Ireland,2012,Number,Motorways,5.0
Ireland,2013,Number,Motorways,8.0
Ireland,2014,Number,Motorways,5.0
Ireland,2015,Number,Motorways,7.0
Ireland,2016,Number,Motorways,6.0
Ireland,2017,Number,Motorways,4.0
Ireland,2018,Number,Motorways,9.0
Ireland,2019,Number,Motorways,7.0
Ireland,2020,Number,Motorways,8.0
Italy,2000,Number,Motorways,764.0
Italy,2001,Number,Motorways,773.0
Italy,2002,Number,Motorways,801.0
Italy,2003,Number,Motorways,711.0
Italy,2004,Number,Motorways,648.0
Italy,2005,Number,Motorways,577.0
Italy,2006,Number,Motorways,590.0
Italy,2007,Number,Motorways,526.0
Italy,2008,Number,Motorways,452.0
Italy,2009,Number,Motorways,350.0
Italy,2010,Number,Motorways,376.0
Italy,2011,Number,Motorways,338.0
Italy,2012,Number,Motorways,330.0
Italy,2013,Number,Motorways,321.0
Italy,2014,Number,Motorways,287.0
Italy,2015,Number,Motorways,305.0
Italy,2016,Number,Motorways,274.0
Italy,2017,Number,Motorways,296.0
Italy,2018,Number,Motorways,330.0
Italy,2019,Number,Motorways,310.0
Italy,2020,Number,Motorways,195.0
Italy,2021,Number,Motorways,246.0
Italy,2022,Number,Motorways,295.0
Lithuania,2016,Number,Motorways,37.0
Lithuania,2017,Number,Motorways,12.0
Lithuania,2018,Number,Motorways,4.0
Lithuania,2019,Number,Motorways,6.0
Lithuania,2020,Number,Motorways,4.0
Lithuania,2021,Number,Motorways,10.0
Lithuania,2022,Number,Motorways,3.0
Luxembourg,2000,Number,Motorways,9.0
Luxembourg,2001,Number,Motorways,7.0
Luxembourg,2002,Number,Motorways,12.0
Luxembourg,2003,Number,Motorways,6.0
Luxembourg,2004,Number,Motorways,7.0
Luxembourg,2005,Number,Motorways,4.0
Luxembourg,2006,Number,Motorways,6.0
Luxembourg,2007,Number,Motorways,11.0
Luxembourg,2008,Number,Motorways,6.0
Luxembourg,2009,Number,Motorways,36.0
Luxembourg,2010,Number,Motorways,29.0
Luxembourg,2011,Number,Motorways,4.0
Luxembourg,2012,Number,Motorways,7.0
Luxembourg,2013,Number,Motorways,6.0
Luxembourg,2014,Number,Motorways,3.0
Luxembourg,2015,Number,Motorways,3.0
Luxembourg,2016,Number,Motorways,5.0
Luxembourg,2017,Number,Motorways,3.0
Luxembourg,2018,Number,Motorways,9.0
Luxembourg,2019,Number,Motorways,3.0
Luxembourg,2020,Number,Motorways,6.0
Luxembourg,2021,Number,Motorways,1.0
Luxembourg,2022,Number,Motorways,5.0
Netherlands,2000,Number,Motorways,138.0
Netherlands,2001,Number,Motorways,124.0
Netherlands,2002,Number,Motorways,123.0
Netherlands,2003,Number,Motorways,151.0
Netherlands,2009,Number,Motorways,83.0
Netherlands,2010,Number,Motorways,63.0
Netherlands,2011,Number,Motorways,43.0
Netherlands,2012,Number,Motorways,68.0
Netherlands,2013,Number,Motorways,57.0
Netherlands,2014,Number,Motorways,57.0
Netherlands,2015,Number,Motorways,79.0
Netherlands,2016,Number,Motorways,77.0
Netherlands,2017,Number,Motorways,82.0
Netherlands,2018,Number,Motorways,76.0
Netherlands,2019,Number,Motorways,75.0
Netherlands,2020,Number,Motorways,55.0
Netherlands,2021,Number,Motorways,47.0
Netherlands,2022,Number,Motorways,75.0
Poland,2000,Number,Motorways,44.0
Poland,2001,Number,Motorways,57.0
Poland,2002,Number,Motorways,40.0
Poland,2003,Number,Motorways,36.0
Poland,2004,Number,Motorways,35.0
Poland,2005,Number,Motorways,32.0
Poland,2006,Number,Motorways,55.0
Poland,2007,Number,Motorways,53.0
Poland,2008,Number,Motorways,35.0
Poland,2009,Number,Motorways,43.0
Poland,2010,Number,Motorways,28.0
Poland,2011,Number,Motorways,37.0
Poland,2012,Number,Motorways,44.0
Poland,2013,Number,Motorways,40.0
Poland,2014,Number,Motorways,56.0
Poland,2015,Number,Motorways,61.0
Poland,2016,Number,Motorways,50.0
Poland,2017,Number,Motorways,70.0
Poland,2018,Number,Motorways,52.0
Poland,2019,Number,Motorways,70.0
Poland,2020,Number,Motorways,55.0
Poland,2021,Number,Motorways,74.0
Poland,2022,Number,Motorways,64.0
Portugal,2000,Number,Motorways,123.0
Portugal,2001,Number,Motorways,110.0
Portugal,2002,Number,Motorways,110.0
Portugal,2003,Number,Motorways,122.0
Portugal,2004,Number,Motorways,112.0
Portugal,2005,Number,Motorways,93.0
Portugal,2006,Number,Motorways,78.0
Portugal,2007,Number,Motorways,125.0
Portugal,2008,Number,Motorways,90.0
Portugal,2009,Number,Motorways,84.0
Portugal,2010,Number,Motorways,111.0
Portugal,2011,Number,Motorways,84.0
Portugal,2012,Number,Motorways,58.0
Portugal,2013,Number,Motorways,44.0
Portugal,2014,Number,Motorways,50.0
Portugal,2015,Number,Motorways,61.0
Portugal,2016,Number,Motorways,38.0
Portugal,2017,Number,Motorways,51.0
Portugal,2018,Number,Motorways,57.0
Portugal,2019,Number,Motorways,67.0
Portugal,2020,Number,Motorways,59.0
Portugal,2021,Number,Motorways,44.0
Portugal,2022,Number,Motorways,57.0
Romania,2000,Number,Motorways,11.0
Romania,2001,Number,Motorways,6.0
Romania,2002,Number,Motorways,10.0
Romania,2003,Number,Motorways,12.0
Romania,2004,Number,Motorways,16.0
Romania,2005,Number,Motorways,20.0
Romania,2006,Number,Motorways,46.0
Romania,2007,Number,Motorways,41.0
Romania,2008,Number,Motorways,21.0
Romania,2009,Number,Motorways,25.0
Romania,2010,Number,Motorways,18.0
Romania,2011,Number,Motorways,16.0
Romania,2012,Number,Motorways,17.0
Romania,2013,Number,Motorways,24.0
Romania,2014,Number,Motorways,21.0
Romania,2015,Number,Motorways,19.0
Romania,2016,Number,Motorways,26.0
Romania,2017,Number,Motorways,36.0
Romania,2018,Number,Motorways,24.0
Romania,2019,Number,Motorways,43.0
Romania,2020,Number,Motorways,33.0
Romania,2021,Number,Motorways,40.0
Romania,2022,Number,Motorways,45.0
Sweden,2000,Number,Motorways,25.0
Sweden,2001,Number,Motorways,30.0
Sweden,2002,Number,Motorways,27.0
Sweden,2003,Number,Motorways,30.0
Sweden,2004,Number,Motorways,36.0
Sweden,2005,Number,Motorways,20.0
Sweden,2006,Number,Motorways,26.0
Sweden,2007,Number,Motorways,21.0
Sweden,2008,Number,Motorways,15.0
Sweden,2009,Number,Motorways,19.0
Sweden,2010,Number,Motorways,23.0
Sweden,2011,Number,Motorways,18.0
Sweden,2012,Number,Motorways,16.0
Sweden,2013,Number,Motorways,18.0
Sweden,2014,Number,Motorways,31.0
Sweden,2015,Number,Motorways,15.0
Sweden,2016,Number,Motorways,17.0
Sweden,2017,Number,Motorways,20.0
Sweden,2018,Number,Motorways,24.0
Sweden,2019,Number,Motorways,20.0
Sweden,2020,Number,Motorways,6.0
Sweden,2021,Number,Motorways,15.0
Sweden,2022,Number,Motorways,25.0
Slovenia,2000,Number,Motorways,57.0
Slovenia,2001,Number,Motorways,24.0
Slovenia,2002,Number,Motorways,35.0
Slovenia,2003,Number,Motorways,34.0
Slovenia,2004,Number,Motorways,37.0
Slovenia,2005,Number,Motorways,20.0
Slovenia,2006,Number,Motorways,33.0
Slovenia,2007,Number,Motorways,37.0
Slovenia,2008,Number,Motorways,13.0
Slovenia,2009,Number,Motorways,30.0
Slovenia,2010,Number,Motorways,19.0
Slovenia,2011,Number,Motorways,20.0
Slovenia,2012,Number,Motorways,20.0
Slovenia,2013,Number,Motorways,16.0
Slovenia,2014,Number,Motorways,15.0
Slovenia,2015,Number,Motorways,15.0
Slovenia,2016,Number,Motorways,25.0
Slovenia,2017,Number,Motorways,19.0
Slovenia,2018,Number,Motorways,14.0
Slovenia,2019,Number,Motorways,14.0
Slovenia,2020,Number,Motorways,6.0
Slovenia,2021,Number,Motorways,15.0
Slovenia,2022,Number,Motorways,25.0
Slovakia,2001,Number,Motorways,7.0
Slovakia,2002,Number,Motorways,19.0
Slovakia,2003,Number,Motorways,16.0
Slovakia,2004,Number,Motorways,20.0
Slovakia,2005,Number,Motorways,21.0
Slovakia,2006,Number,Motorways,15.0
Slovakia,2007,Number,Motorways,19.0
Slovakia,2008,Number,Motorways,14.0
Slovakia,2009,Number,Motorways,9.0
Slovakia,2010,Number,Motorways,14.0
Slovakia,2016,Number,Motorways,11.0
Slovakia,2017,Number,Motorways,21.0
Slovakia,2018,Number,Motorways,14.0
Slovakia,2019,Number,Motorways,8.0
Slovakia,2020,Number,Motorways,18.0
Slovakia,2021,Number,Motorways,12.0
Slovakia,2022,Number,Motorways,13.0
United Kingdom,2000,Number,Motorways,188.0
United Kingdom,2001,Number,Motorways,198.0
United Kingdom,2002,Number,Motorways,226.0
United Kingdom,2003,Number,Motorways,215.0
United Kingdom,2004,Number,Motorways,164.0
United Kingdom,2005,Number,Motorways,203.0
United Kingdom,2006,Number,Motorways,185.0
United Kingdom,2007,Number,Motorways,184.0
United Kingdom,2008,Number,Motorways,157.0
United Kingdom,2009,Number,Motorways,131.0
United Kingdom,2010,Number,Motorways,112.0
United Kingdom,2011,Number,Motorways,99.0
United Kingdom,2012,Number,Motorways,84.0
United Kingdom,2013,Number,Motorways,93.0
United Kingdom,2014,Number,Motorways,81.0
United Kingdom,2015,Number,Motorways,93.0
United Kingdom,2016,Number,Motorways,91.0
United Kingdom,2017,Number,Motorways,82.0
United Kingdom,2018,Number,Motorways,99.0
Austria,2000,Rate,Motorways,1.6
Austria,2001,Rate,Motorways,1.9
Austria,2002,Rate,Motorways,1.6
Austria,2003,Rate,Motorways,1.3
Austria,2004,Rate,Motorways,1.4
Austria,2005,Rate,Motorways,1.1
Austria,2006,Rate,Motorways,0.9
Austria,2007,Rate,Motorways,0.9
Austria,2008,Rate,Motorways,0.9
Austria,2009,Rate,Motorways,0.7
Austria,2010,Rate,Motorways,0.7
Austria,2011,Rate,Motorways,0.5
Austria,2012,Rate,Motorways,0.6
Austria,2013,Rate,Motorways,0.4
Austria,2014,Rate,Motorways,0.4
Austria,2015,Rate,Motorways,0.5
Austria,2016,Rate,Motorways,0.4
Austria,2017,Rate,Motorways,0.5
Austria,2018,Rate,Motorways,0.3
Austria,2019,Rate,Motorways,0.3
Austria,2020,Rate,Motorways,0.3
Austria,2021,Rate,Motorways,0.4
Austria,2022,Rate,Motorways,0.3
Belgium,2000,Rate,Motorways,2.3
Belgium,2001,Rate,Motorways,1.9
Belgium,2002,Rate,Motorways,1.7
Belgium,2003,Rate,Motorways,1.3
Belgium,2004,Rate,Motorways,1.2
Belgium,2005,Rate,Motorways,1.5
Belgium,2006,Rate,Motorways,1.6
Belgium,2007,Rate,Motorways,1.4
Belgium,2008,Rate,Motorways,1.3
Belgium,2009,Rate,Motorways,1.4
Belgium,2010,Rate,Motorways,1.0
Belgium,2011,Rate,Motorways,1.2
Belgium,2012,Rate,Motorways,1.0
Belgium,2013,Rate,Motorways,1.1
Belgium,2014,Rate,Motorways,1.0
Belgium,2015,Rate,Motorways,1.0
Belgium,2016,Rate,Motorways,0.9
Belgium,2017,Rate,Motorways,0.9
Belgium,2018,Rate,Motorways,0.9
Belgium,2019,Rate,Motorways,1.0
Belgium,2020,Rate,Motorways,0.7
Belgium,2021,Rate,Motorways,0.7
Belgium,2022,Rate,Motorways,0.7
Bulgaria,2008,Rate,Motorways,0.5
Bulgaria,2009,Rate,Motorways,0.5
Bulgaria,2010,Rate,Motorways,0.5
Bulgaria,2011,Rate,Motorways,0.5
Bulgaria,2012,Rate,Motorways,0.3
Bulgaria,2013,Rate,Motorways,0.3
Bulgaria,2014,Rate,Motorways,0.6
Bulgaria,2015,Rate,Motorways,0.9
Bulgaria,2016,Rate,Motorways,0.6
Bulgaria,2017,Rate,Motorways,0.9
Bulgaria,2018,Rate,Motorways,0.9
Bulgaria,2019,Rate,Motorways,0.7
Bulgaria,2020,Rate,Motorways,0.5
Bulgaria,2021,Rate,Motorways,1.2
Bulgaria,2022,Rate,Motorways,0.5
Switzerland,2001,Rate,Motorways,1.0
Switzerland,2002,Rate,Motorways,1.0
Switzerland,2003,Rate,Motorways,0.8
Switzerland,2004,Rate,Motorways,0.7
Switzerland,2005,Rate,Motorways,0.3
Switzerland,2006,Rate,Motorways,0.4
Switzerland,2007,Rate,Motorways,0.6
Switzerland,2008,Rate,Motorways,0.4
Switzerland,2009,Rate,Motorways,0.4
Switzerland,2010,Rate,Motorways,0.3
Switzerland,2011,Rate,Motorways,0.3
Switzerland,2012,Rate,Motorways,0.8
Switzerland,2013,Rate,Motorways,0.3
Switzerland,2014,Rate,Motorways,0.1
Switzerland,2015,Rate,Motorways,0.3
Switzerland,2016,Rate,Motorways,0.2
Switzerland,2017,Rate,Motorways,0.3
Switzerland,2018,Rate,Motorways,0.2
Switzerland,2019,Rate,Motorways,0.3
Switzerland,2020,Rate,Motorways,0.2
Switzerland,2021,Rate,Motorways,0.2
Switzerland,2022,Rate,Motorways,0.2
Cyprus,2005,Rate,Motorways,1.8
Cyprus,2006,Rate,Motorways,1.2
Cyprus,2007,Rate,Motorways,1.7
Cyprus,2008,Rate,Motorways,0.9
Cyprus,2009,Rate,Motorways,0.9
Cyprus,2010,Rate,Motorways,1.0
Cyprus,2011,Rate,Motorways,0.8
Cyprus,2012,Rate,Motorways,0.3
Cyprus,2013,Rate,Motorways,0.2
Cyprus,2014,Rate,Motorways,0.4
Cyprus,2015,Rate,Motorways,0.7
Cyprus,2016,Rate,Motorways,0.1
Cyprus,2017,Rate,Motorways,0.6
Cyprus,2018,Rate,Motorways,0.9
Cyprus,2019,Rate,Motorways,0.3
Cyprus,2020,Rate,Motorways,0.4
Cyprus,2021,Rate,Motorways,0.6
Cyprus,2022,Rate,Motorways,0.3
Czechia,2000,Rate,Motorways,0.4
Czechia,2001,Rate,Motorways,0.4
Czechia,2002,Rate,Motorways,0.5
Czechia,2003,Rate,Motorways,0.5
Czechia,2004,Rate,Motorways,0.6
Czechia,2005,Rate,Motorways,0.4
Czechia,2006,Rate,Motorways,0.4
Czechia,2007,Rate,Motorways,0.5
Czechia,2008,Rate,Motorways,0.3
Czechia,2009,Rate,Motorways,0.2
Czechia,2010,Rate,Motorways,0.3
Czechia,2011,Rate,Motorways,0.2
Czechia,2012,Rate,Motorways,0.2
Czechia,2013,Rate,Motorways,0.2
Czechia,2014,Rate,Motorways,0.2
