country,year,sex,value,source
Cyprus,2022,Females,0.8,ESTAT:SDG_05_40(1.0)
Cyprus,2023,Females,0.5,ESTAT:SDG_05_40(1.0)
Czechia,2006,Females,1.2,ESTAT:SDG_05_40(1.0)
Czechia,2007,Females,1.1,ESTAT:SDG_05_40(1.0)
Czechia,2008,Females,1.0,ESTAT:SDG_05_40(1.0)
Czechia,2009,Females,1.0,ESTAT:SDG_05_40(1.0)
Czechia,2010,Females,0.8,ESTAT:SDG_05_40(1.0)
Czechia,2011,Females,1.0,ESTAT:SDG_05_40(1.0)
Czechia,2012,Females,0.7,ESTAT:SDG_05_40(1.0)
Czechia,2013,Females,0.8,ESTAT:SDG_05_40(1.0)
Czechia,2014,Females,0.8,ESTAT:SDG_05_40(1.0)
Czechia,2015,Females,0.8,ESTAT:SDG_05_40(1.0)
Czechia,2016,Females,0.9,ESTAT:SDG_05_40(1.0)
Czechia,2017,Females,0.7,ESTAT:SDG_05_40(1.0)
Czechia,2018,Females,0.7,ESTAT:SDG_05_40(1.0)
Czechia,2019,Females,0.8,ESTAT:SDG_05_40(1.0)
Czechia,2020,Females,0.9,ESTAT:SDG_05_40(1.0)
Czechia,2021,Females,0.6,ESTAT:SDG_05_40(1.0)
Czechia,2022,Females,0.3,ESTAT:SDG_05_40(1.0)
Czechia,2023,Females,0.4,ESTAT:SDG_05_40(1.0)
Germany,2006,Females,0.8,ESTAT:SDG_05_40(1.0)
Germany,2007,Females,1.0,ESTAT:SDG_05_40(1.0)
Germany,2008,Females,1.0,ESTAT:SDG_05_40(1.0)
Germany,2009,Females,0.9,ESTAT:SDG_05_40(1.0)
Germany,2010,Females,1.0,ESTAT:SDG_05_40(1.0)
Germany,2011,Females,1.2,ESTAT:SDG_05_40(1.0)
Germany,2012,Females,1.3,ESTAT:SDG_05_40(1.0)
Germany,2013,Females,1.2,ESTAT:SDG_05_40(1.0)
Germany,2014,Females,1.1,ESTAT:SDG_05_40(1.0)
Germany,2015,Females,1.1,ESTAT:SDG_05_40(1.0)
Germany,2016,Females,1.1,ESTAT:SDG_05_40(1.0)
Germany,2017,Females,1.1,ESTAT:SDG_05_40(1.0)
Germany,2018,Females,1.1,ESTAT:SDG_05_40(1.0)
Germany,2019,Females,1.0,ESTAT:SDG_05_40(1.0)
Germany,2021,Females,1.4,ESTAT:SDG_05_40(1.0)
Germany,2022,Females,1.5,ESTAT:SDG_05_40(1.0)
Germany,2023,Females,1.4,ESTAT:SDG_05_40(1.0)
Denmark,2006,Females,0.2,ESTAT:SDG_05_40(1.0)
Denmark,2007,Females,0.3,ESTAT:SDG_05_40(1.0)
Denmark,2008,Females,0.4,ESTAT:SDG_05_40(1.0)
Denmark,2009,Females,0.2,ESTAT:SDG_05_40(1.0)
Denmark,2010,Females,0.3,ESTAT:SDG_05_40(1.0)
Denmark,2011,Females,0.3,ESTAT:SDG_05_40(1.0)
Denmark,2012,Females,0.2,ESTAT:SDG_05_40(1.0)
Denmark,2013,Females,0.3,ESTAT:SDG_05_40(1.0)
Denmark,2014,Females,0.3,ESTAT:SDG_05_40(1.0)
Denmark,2015,Females,0.2,ESTAT:SDG_05_40(1.0)
Denmark,2016,Females,0.4,ESTAT:SDG_05_40(1.0)
Denmark,2017,Females,0.4,ESTAT:SDG_05_40(1.0)
Denmark,2018,Females,0.4,ESTAT:SDG_05_40(1.0)
Denmark,2019,Females,0.4,ESTAT:SDG_05_40(1.0)
Denmark,2020,Females,0.3,ESTAT:SDG_05_40(1.0)
Denmark,2021,Females,0.2,ESTAT:SDG_05_40(1.0)
Denmark,2022,Females,0.2,ESTAT:SDG_05_40(1.0)
Denmark,2023,Females,0.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2006,Females,1.3,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2007,Females,1.3,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2008,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2009,Females,1.1,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2010,Females,1.1,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2011,Females,1.1,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2012,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2013,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2014,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2015,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2016,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2017,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2018,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2019,Females,1.1,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2020,Females,1.3,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2021,Females,1.2,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2022,Females,1.1,ESTAT:SDG_05_40(1.0)
Euro area – 20 countries (from 2023),2023,Females,1.1,ESTAT:SDG_05_40(1.0)
Estonia,2006,Females,1.9,ESTAT:SDG_05_40(1.0)
Estonia,2007,Females,2.2,ESTAT:SDG_05_40(1.0)
Estonia,2008,Females,1.8,ESTAT:SDG_05_40(1.0)
Estonia,2009,Females,1.6,ESTAT:SDG_05_40(1.0)
Estonia,2010,Females,1.6,ESTAT:SDG_05_40(1.0)
Estonia,2011,Females,1.5,ESTAT:SDG_05_40(1.0)
Estonia,2012,Females,1.8,ESTAT:SDG_05_40(1.0)
Estonia,2013,Females,1.4,ESTAT:SDG_05_40(1.0)
Estonia,2014,Females,1.4,ESTAT:SDG_05_40(1.0)
Estonia,2015,Females,1.7,ESTAT:SDG_05_40(1.0)
Estonia,2016,Females,1.9,ESTAT:SDG_05_40(1.0)
Estonia,2017,Females,1.8,ESTAT:SDG_05_40(1.0)
Estonia,2018,Females,1.8,ESTAT:SDG_05_40(1.0)
Estonia,2019,Females,1.5,ESTAT:SDG_05_40(1.0)
Estonia,2020,Females,1.9,ESTAT:SDG_05_40(1.0)
Estonia,2021,Females,0.8,ESTAT:SDG_05_40(1.0)
Estonia,2022,Females,0.8,ESTAT:SDG_05_40(1.0)
Estonia,2023,Females,0.9,ESTAT:SDG_05_40(1.0)
Greece,2006,Females,0.9,ESTAT:SDG_05_40(1.0)
Greece,2007,Females,0.8,ESTAT:SDG_05_40(1.0)
Greece,2008,Females,0.7,ESTAT:SDG_05_40(1.0)
Greece,2009,Females,0.8,ESTAT:SDG_05_40(1.0)
Greece,2010,Females,0.8,ESTAT:SDG_05_40(1.0)
Greece,2011,Females,0.9,ESTAT:SDG_05_40(1.0)
Greece,2012,Females,0.9,ESTAT:SDG_05_40(1.0)
Greece,2013,Females,1.0,ESTAT:SDG_05_40(1.0)
Greece,2014,Females,0.9,ESTAT:SDG_05_40(1.0)
Greece,2015,Females,1.0,ESTAT:SDG_05_40(1.0)
Greece,2016,Females,1.0,ESTAT:SDG_05_40(1.0)
Greece,2017,Females,1.1,ESTAT:SDG_05_40(1.0)
Greece,2018,Females,1.0,ESTAT:SDG_05_40(1.0)
Greece,2019,Females,1.0,ESTAT:SDG_05_40(1.0)
Greece,2020,Females,1.0,ESTAT:SDG_05_40(1.0)
Greece,2021,Females,1.2,ESTAT:SDG_05_40(1.0)
Greece,2022,Females,1.0,ESTAT:SDG_05_40(1.0)
Greece,2023,Females,0.9,ESTAT:SDG_05_40(1.0)
Spain,2006,Females,1.4,ESTAT:SDG_05_40(1.0)
Spain,2007,Females,1.4,ESTAT:SDG_05_40(1.0)
Spain,2008,Females,1.2,ESTAT:SDG_05_40(1.0)
Spain,2009,Females,1.2,ESTAT:SDG_05_40(1.0)
Spain,2010,Females,1.4,ESTAT:SDG_05_40(1.0)
Spain,2011,Females,1.1,ESTAT:SDG_05_40(1.0)
Spain,2012,Females,1.1,ESTAT:SDG_05_40(1.0)
Spain,2013,Females,1.2,ESTAT:SDG_05_40(1.0)
Spain,2014,Females,1.0,ESTAT:SDG_05_40(1.0)
Spain,2015,Females,1.0,ESTAT:SDG_05_40(1.0)
Spain,2016,Females,1.0,ESTAT:SDG_05_40(1.0)
Spain,2017,Females,1.1,ESTAT:SDG_05_40(1.0)
Spain,2018,Females,1.1,ESTAT:SDG_05_40(1.0)
Spain,2019,Females,0.8,ESTAT:SDG_05_40(1.0)
Spain,2020,Females,0.9,ESTAT:SDG_05_40(1.0)
Spain,2021,Females,1.2,ESTAT:SDG_05_40(1.0)
Spain,2022,Females,1.2,ESTAT:SDG_05_40(1.0)
Spain,2023,Females,1.0,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2006,Females,1.3,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2007,Females,1.3,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2008,Females,1.3,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2009,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2010,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2011,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2012,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2013,Females,1.3,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2014,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2015,Females,1.3,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2016,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2017,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2018,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2019,Females,1.2,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2020,Females,1.3,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2021,Females,1.1,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2022,Females,1.0,ESTAT:SDG_05_40(1.0)
European Union - 27 countries (from 2020),2023,Females,0.9,ESTAT:SDG_05_40(1.0)
Finland,2008,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2009,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2010,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2011,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2012,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2013,Females,0.3,ESTAT:SDG_05_40(1.0)
Finland,2014,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2015,Females,0.3,ESTAT:SDG_05_40(1.0)
Finland,2016,Females,0.1,ESTAT:SDG_05_40(1.0)
Finland,2017,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2018,Females,0.3,ESTAT:SDG_05_40(1.0)
Finland,2019,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2020,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2021,Females,0.2,ESTAT:SDG_05_40(1.0)
Finland,2022,Females,,ESTAT:SDG_05_40(1.0)
Finland,2023,Females,,ESTAT:SDG_05_40(1.0)
France,2006,Females,0.7,ESTAT:SDG_05_40(1.0)
France,2007,Females,0.4,ESTAT:SDG_05_40(1.0)
France,2008,Females,0.4,ESTAT:SDG_05_40(1.0)
France,2009,Females,0.5,ESTAT:SDG_05_40(1.0)
France,2010,Females,0.4,ESTAT:SDG_05_40(1.0)
France,2011,Females,0.4,ESTAT:SDG_05_40(1.0)
France,2012,Females,0.3,ESTAT:SDG_05_40(1.0)
France,2013,Females,0.8,ESTAT:SDG_05_40(1.0)
France,2014,Females,0.8,ESTAT:SDG_05_40(1.0)
France,2015,Females,1.2,ESTAT:SDG_05_40(1.0)
France,2016,Females,1.0,ESTAT:SDG_05_40(1.0)
France,2017,Females,1.1,ESTAT:SDG_05_40(1.0)
France,2018,Females,1.0,ESTAT:SDG_05_40(1.0)
France,2019,Females,1.0,ESTAT:SDG_05_40(1.0)
France,2020,Females,0.9,ESTAT:SDG_05_40(1.0)
France,2021,Females,0.7,ESTAT:SDG_05_40(1.0)
France,2022,Females,0.7,ESTAT:SDG_05_40(1.0)
France,2023,Females,0.7,ESTAT:SDG_05_40(1.0)
Croatia,2006,Females,1.0,ESTAT:SDG_05_40(1.0)
Croatia,2007,Females,0.7,ESTAT:SDG_05_40(1.0)
Croatia,2008,Females,0.8,ESTAT:SDG_05_40(1.0)
Croatia,2009,Females,0.8,ESTAT:SDG_05_40(1.0)
Croatia,2010,Females,0.7,ESTAT:SDG_05_40(1.0)
Croatia,2011,Females,1.0,ESTAT:SDG_05_40(1.0)
Croatia,2012,Females,1.3,ESTAT:SDG_05_40(1.0)
Croatia,2013,Females,1.5,ESTAT:SDG_05_40(1.0)
Croatia,2014,Females,1.0,ESTAT:SDG_05_40(1.0)
Croatia,2015,Females,1.0,ESTAT:SDG_05_40(1.0)
Croatia,2016,Females,1.3,ESTAT:SDG_05_40(1.0)
Croatia,2017,Females,1.1,ESTAT:SDG_05_40(1.0)
Croatia,2018,Females,1.1,ESTAT:SDG_05_40(1.0)
Croatia,2019,Females,0.8,ESTAT:SDG_05_40(1.0)
Croatia,2020,Females,0.7,ESTAT:SDG_05_40(1.0)
Croatia,2021,Females,0.6,ESTAT:SDG_05_40(1.0)
Croatia,2022,Females,0.7,ESTAT:SDG_05_40(1.0)
Croatia,2023,Females,0.7,ESTAT:SDG_05_40(1.0)
Hungary,2006,Females,1.3,ESTAT:SDG_05_40(1.0)
Hungary,2007,Females,1.3,ESTAT:SDG_05_40(1.0)
Hungary,2008,Females,1.4,ESTAT:SDG_05_40(1.0)
Hungary,2009,Females,1.4,ESTAT:SDG_05_40(1.0)
Hungary,2010,Females,1.4,ESTAT:SDG_05_40(1.0)
Hungary,2011,Females,1.6,ESTAT:SDG_05_40(1.0)
Hungary,2012,Females,1.4,ESTAT:SDG_05_40(1.0)
Hungary,2013,Females,1.5,ESTAT:SDG_05_40(1.0)
Hungary,2014,Females,1.5,ESTAT:SDG_05_40(1.0)
Hungary,2015,Females,1.7,ESTAT:SDG_05_40(1.0)
Hungary,2016,Females,1.6,ESTAT:SDG_05_40(1.0)
Hungary,2017,Females,1.4,ESTAT:SDG_05_40(1.0)
Hungary,2018,Females,1.4,ESTAT:SDG_05_40(1.0)
Hungary,2019,Females,1.4,ESTAT:SDG_05_40(1.0)
Hungary,2020,Females,1.6,ESTAT:SDG_05_40(1.0)
Hungary,2021,Females,0.6,ESTAT:SDG_05_40(1.0)
Hungary,2022,Females,0.5,ESTAT:SDG_05_40(1.0)
Hungary,2023,Females,0.4,ESTAT:SDG_05_40(1.0)
Ireland,2006,Females,1.2,ESTAT:SDG_05_40(1.0)
Ireland,2007,Females,1.0,ESTAT:SDG_05_40(1.0)
Ireland,2008,Females,0.8,ESTAT:SDG_05_40(1.0)
Ireland,2009,Females,0.7,ESTAT:SDG_05_40(1.0)
Ireland,2010,Females,0.8,ESTAT:SDG_05_40(1.0)
Ireland,2011,Females,0.9,ESTAT:SDG_05_40(1.0)
Ireland,2012,Females,0.9,ESTAT:SDG_05_40(1.0)
Ireland,2013,Females,1.0,ESTAT:SDG_05_40(1.0)
Ireland,2014,Females,0.9,ESTAT:SDG_05_40(1.0)
Ireland,2015,Females,0.8,ESTAT:SDG_05_40(1.0)
Ireland,2016,Females,0.7,ESTAT:SDG_05_40(1.0)
Ireland,2017,Females,1.8,ESTAT:SDG_05_40(1.0)
Ireland,2018,Females,3.0,ESTAT:SDG_05_40(1.0)
Ireland,2019,Females,2.7,ESTAT:SDG_05_40(1.0)
Ireland,2020,Females,2.6,ESTAT:SDG_05_40(1.0)
Ireland,2021,Females,2.2,ESTAT:SDG_05_40(1.0)
Ireland,2022,Females,1.7,ESTAT:SDG_05_40(1.0)
Ireland,2023,Females,1.8,ESTAT:SDG_05_40(1.0)
Iceland,2006,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2007,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2008,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2009,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2010,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2011,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2012,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2013,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2014,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2015,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2016,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2017,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2018,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2019,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2020,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2021,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2022,Females,,ESTAT:SDG_05_40(1.0)
Iceland,2023,Females,,ESTAT:SDG_05_40(1.0)
Italy,2006,Females,3.3,ESTAT:SDG_05_40(1.0)
Italy,2007,Females,3.3,ESTAT:SDG_05_40(1.0)
Italy,2008,Females,3.3,ESTAT:SDG_05_40(1.0)
Italy,2009,Females,2.7,ESTAT:SDG_05_40(1.0)
Italy,2010,Females,2.7,ESTAT:SDG_05_40(1.0)
Italy,2011,Females,2.4,ESTAT:SDG_05_40(1.0)
Italy,2012,Females,2.7,ESTAT:SDG_05_40(1.0)
Italy,2013,Females,2.5,ESTAT:SDG_05_40(1.0)
Italy,2014,Females,2.5,ESTAT:SDG_05_40(1.0)
Italy,2015,Females,2.4,ESTAT:SDG_05_40(1.0)
Italy,2016,Females,2.3,ESTAT:SDG_05_40(1.0)
Italy,2017,Females,2.3,ESTAT:SDG_05_40(1.0)
Italy,2018,Females,2.3,ESTAT:SDG_05_40(1.0)
Italy,2019,Females,2.1,ESTAT:SDG_05_40(1.0)
Italy,2020,Females,2.0,ESTAT:SDG_05_40(1.0)
Italy,2021,Females,1.8,ESTAT:SDG_05_40(1.0)
Italy,2022,Females,1.5,ESTAT:SDG_05_40(1.0)
Italy,2023,Females,1.4,ESTAT:SDG_05_40(1.0)
Lithuania,2006,Females,,ESTAT:SDG_05_40(1.0)
Lithuania,2007,Females,0.6,ESTAT:SDG_05_40(1.0)
Lithuania,2008,Females,1.2,ESTAT:SDG_05_40(1.0)
Lithuania,2009,Females,0.7,ESTAT:SDG_05_40(1.0)
Lithuania,2010,Females,0.7,ESTAT:SDG_05_40(1.0)
Lithuania,2011,Females,0.6,ESTAT:SDG_05_40(1.0)
Lithuania,2012,Females,,ESTAT:SDG_05_40(1.0)
Lithuania,2013,Females,0.7,ESTAT:SDG_05_40(1.0)
Lithuania,2014,Females,0.6,ESTAT:SDG_05_40(1.0)
Lithuania,2015,Females,0.3,ESTAT:SDG_05_40(1.0)
Lithuania,2016,Females,0.2,ESTAT:SDG_05_40(1.0)
Lithuania,2017,Females,0.2,ESTAT:SDG_05_40(1.0)
Lithuania,2018,Females,0.2,ESTAT:SDG_05_40(1.0)
Lithuania,2019,Females,0.2,ESTAT:SDG_05_40(1.0)
Lithuania,2020,Females,,ESTAT:SDG_05_40(1.0)
Lithuania,2021,Females,0.3,ESTAT:SDG_05_40(1.0)
Lithuania,2022,Females,0.3,ESTAT:SDG_05_40(1.0)
Lithuania,2023,Females,0.3,ESTAT:SDG_05_40(1.0)
Luxembourg,2006,Females,0.5,ESTAT:SDG_05_40(1.0)
Luxembourg,2007,Females,,ESTAT:SDG_05_40(1.0)
Luxembourg,2008,Females,0.5,ESTAT:SDG_05_40(1.0)
Luxembourg,2009,Females,2.4,ESTAT:SDG_05_40(1.0)
Luxembourg,2010,Females,1.8,ESTAT:SDG_05_40(1.0)
Luxembourg,2011,Females,1.7,ESTAT:SDG_05_40(1.0)
Luxembourg,2012,Females,1.4,ESTAT:SDG_05_40(1.0)
Luxembourg,2013,Females,1.2,ESTAT:SDG_05_40(1.0)
Luxembourg,2014,Females,1.4,ESTAT:SDG_05_40(1.0)
Luxembourg,2015,Females,2.0,ESTAT:SDG_05_40(1.0)
Luxembourg,2016,Females,1.7,ESTAT:SDG_05_40(1.0)
Luxembourg,2017,Females,2.0,ESTAT:SDG_05_40(1.0)
Luxembourg,2018,Females,1.7,ESTAT:SDG_05_40(1.0)
Luxembourg,2019,Females,1.2,ESTAT:SDG_05_40(1.0)
Luxembourg,2020,Females,1.1,ESTAT:SDG_05_40(1.0)
Luxembourg,2021,Females,0.8,ESTAT:SDG_05_40(1.0)
Luxembourg,2022,Females,0.5,ESTAT:SDG_05_40(1.0)
Luxembourg,2023,Females,,ESTAT:SDG_05_40(1.0)
Latvia,2006,Females,3.0,ESTAT:SDG_05_40(1.0)
Latvia,2007,Females,3.0,ESTAT:SDG_05_40(1.0)
Latvia,2008,Females,2.1,ESTAT:SDG_05_40(1.0)
Latvia,2009,Females,2.2,ESTAT:SDG_05_40(1.0)
Latvia,2010,Females,1.7,ESTAT:SDG_05_40(1.0)
Latvia,2011,Females,2.0,ESTAT:SDG_05_40(1.0)
Latvia,2012,Females,1.6,ESTAT:SDG_05_40(1.0)
Latvia,2013,Females,1.5,ESTAT:SDG_05_40(1.0)
