country,year,incgrp,value,source
Greece,2012,Above 60% of median equivalised income,20.6,ESTAT:SDG_16_20(1.0)
Greece,2013,Above 60% of median equivalised income,19.2,ESTAT:SDG_16_20(1.0)
Greece,2014,Above 60% of median equivalised income,16.8,ESTAT:SDG_16_20(1.0)
Greece,2015,Above 60% of median equivalised income,13.2,ESTAT:SDG_16_20(1.0)
Greece,2016,Above 60% of median equivalised income,12.3,ESTAT:SDG_16_20(1.0)
Greece,2017,Above 60% of median equivalised income,13.8,ESTAT:SDG_16_20(1.0)
Greece,2018,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
Greece,2019,Above 60% of median equivalised income,17.1,ESTAT:SDG_16_20(1.0)
Greece,2020,Above 60% of median equivalised income,18.2,ESTAT:SDG_16_20(1.0)
Greece,2023,Above 60% of median equivalised income,20.2,ESTAT:SDG_16_20(1.0)
Spain,2004,Above 60% of median equivalised income,18.7,ESTAT:SDG_16_20(1.0)
Spain,2005,Above 60% of median equivalised income,19.0,ESTAT:SDG_16_20(1.0)
Spain,2006,Above 60% of median equivalised income,19.5,ESTAT:SDG_16_20(1.0)
Spain,2007,Above 60% of median equivalised income,17.5,ESTAT:SDG_16_20(1.0)
Spain,2008,Above 60% of median equivalised income,14.9,ESTAT:SDG_16_20(1.0)
Spain,2009,Above 60% of median equivalised income,16.6,ESTAT:SDG_16_20(1.0)
Spain,2010,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
Spain,2011,Above 60% of median equivalised income,11.0,ESTAT:SDG_16_20(1.0)
Spain,2012,Above 60% of median equivalised income,9.7,ESTAT:SDG_16_20(1.0)
Spain,2013,Above 60% of median equivalised income,14.3,ESTAT:SDG_16_20(1.0)
Spain,2014,Above 60% of median equivalised income,11.6,ESTAT:SDG_16_20(1.0)
Spain,2015,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
Spain,2016,Above 60% of median equivalised income,9.2,ESTAT:SDG_16_20(1.0)
Spain,2017,Above 60% of median equivalised income,8.1,ESTAT:SDG_16_20(1.0)
Spain,2018,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Spain,2019,Above 60% of median equivalised income,11.3,ESTAT:SDG_16_20(1.0)
Spain,2020,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
Spain,2023,Above 60% of median equivalised income,12.8,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,Above 60% of median equivalised income,13.5,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,Above 60% of median equivalised income,14.0,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,Above 60% of median equivalised income,13.4,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,Above 60% of median equivalised income,11.4,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,Above 60% of median equivalised income,11.8,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2007,Above 60% of median equivalised income,15.3,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2008,Above 60% of median equivalised income,14.1,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2009,Above 60% of median equivalised income,15.4,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2010,Above 60% of median equivalised income,13.7,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2011,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2012,Above 60% of median equivalised income,13.1,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2013,Above 60% of median equivalised income,14.1,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2014,Above 60% of median equivalised income,13.5,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2015,Above 60% of median equivalised income,13.1,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2016,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2017,Above 60% of median equivalised income,11.5,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2018,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (2007-2013),2019,Above 60% of median equivalised income,11.9,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2010,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2011,Above 60% of median equivalised income,12.6,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2012,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2013,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2014,Above 60% of median equivalised income,13.1,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2015,Above 60% of median equivalised income,12.7,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2016,Above 60% of median equivalised income,11.9,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2017,Above 60% of median equivalised income,11.0,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2018,Above 60% of median equivalised income,10.9,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2019,Above 60% of median equivalised income,10.6,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2020,Above 60% of median equivalised income,10.2,ESTAT:SDG_16_20(1.0)
European Union - 27 countries (from 2020),2023,Above 60% of median equivalised income,9.6,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2010,Above 60% of median equivalised income,13.7,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2011,Above 60% of median equivalised income,13.5,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2012,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2013,Above 60% of median equivalised income,14.0,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2014,Above 60% of median equivalised income,13.4,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2015,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2016,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2017,Above 60% of median equivalised income,11.4,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2018,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
European Union - 28 countries (2013-2020),2019,Above 60% of median equivalised income,11.8,ESTAT:SDG_16_20(1.0)
Finland,2004,Above 60% of median equivalised income,16.4,ESTAT:SDG_16_20(1.0)
Finland,2005,Above 60% of median equivalised income,17.4,ESTAT:SDG_16_20(1.0)
Finland,2006,Above 60% of median equivalised income,15.0,ESTAT:SDG_16_20(1.0)
Finland,2007,Above 60% of median equivalised income,12.3,ESTAT:SDG_16_20(1.0)
Finland,2008,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
Finland,2009,Above 60% of median equivalised income,12.7,ESTAT:SDG_16_20(1.0)
Finland,2010,Above 60% of median equivalised income,8.0,ESTAT:SDG_16_20(1.0)
Finland,2011,Above 60% of median equivalised income,7.8,ESTAT:SDG_16_20(1.0)
Finland,2012,Above 60% of median equivalised income,8.0,ESTAT:SDG_16_20(1.0)
Finland,2013,Above 60% of median equivalised income,8.6,ESTAT:SDG_16_20(1.0)
Finland,2014,Above 60% of median equivalised income,6.7,ESTAT:SDG_16_20(1.0)
Finland,2015,Above 60% of median equivalised income,6.9,ESTAT:SDG_16_20(1.0)
Finland,2016,Above 60% of median equivalised income,6.2,ESTAT:SDG_16_20(1.0)
Finland,2017,Above 60% of median equivalised income,5.9,ESTAT:SDG_16_20(1.0)
Finland,2018,Above 60% of median equivalised income,6.8,ESTAT:SDG_16_20(1.0)
Finland,2019,Above 60% of median equivalised income,6.1,ESTAT:SDG_16_20(1.0)
Finland,2020,Above 60% of median equivalised income,6.2,ESTAT:SDG_16_20(1.0)
Finland,2023,Above 60% of median equivalised income,10.8,ESTAT:SDG_16_20(1.0)
France,2004,Above 60% of median equivalised income,21.8,ESTAT:SDG_16_20(1.0)
France,2005,Above 60% of median equivalised income,16.9,ESTAT:SDG_16_20(1.0)
France,2006,Above 60% of median equivalised income,15.3,ESTAT:SDG_16_20(1.0)
France,2007,Above 60% of median equivalised income,15.5,ESTAT:SDG_16_20(1.0)
France,2008,Above 60% of median equivalised income,14.0,ESTAT:SDG_16_20(1.0)
France,2009,Above 60% of median equivalised income,14.6,ESTAT:SDG_16_20(1.0)
France,2010,Above 60% of median equivalised income,14.2,ESTAT:SDG_16_20(1.0)
France,2011,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
France,2012,Above 60% of median equivalised income,14.1,ESTAT:SDG_16_20(1.0)
France,2013,Above 60% of median equivalised income,15.8,ESTAT:SDG_16_20(1.0)
France,2014,Above 60% of median equivalised income,14.7,ESTAT:SDG_16_20(1.0)
France,2015,Above 60% of median equivalised income,13.4,ESTAT:SDG_16_20(1.0)
France,2016,Above 60% of median equivalised income,13.9,ESTAT:SDG_16_20(1.0)
France,2017,Above 60% of median equivalised income,13.2,ESTAT:SDG_16_20(1.0)
France,2018,Above 60% of median equivalised income,14.3,ESTAT:SDG_16_20(1.0)
