country,year,vehicle,value,source
Bulgaria,2007,"Motor coaches, buses and trolley buses",21.8,ESTAT:SDG_09_50(1.0)
Bulgaria,2008,"Motor coaches, buses and trolley buses",20.8,ESTAT:SDG_09_50(1.0)
Bulgaria,2009,"Motor coaches, buses and trolley buses",16.8,ESTAT:SDG_09_50(1.0)
Bulgaria,2010,"Motor coaches, buses and trolley buses",16.4,ESTAT:SDG_09_50(1.0)
Bulgaria,2011,"Motor coaches, buses and trolley buses",15.9,ESTAT:SDG_09_50(1.0)
Bulgaria,2012,"Motor coaches, buses and trolley buses",14.8,ESTAT:SDG_09_50(1.0)
Bulgaria,2013,"Motor coaches, buses and trolley buses",14.0,ESTAT:SDG_09_50(1.0)
Bulgaria,2014,"Motor coaches, buses and trolley buses",15.1,ESTAT:SDG_09_50(1.0)
Bulgaria,2015,"Motor coaches, buses and trolley buses",14.6,ESTAT:SDG_09_50(1.0)
Bulgaria,2016,"Motor coaches, buses and trolley buses",14.1,ESTAT:SDG_09_50(1.0)
Bulgaria,2017,"Motor coaches, buses and trolley buses",13.1,ESTAT:SDG_09_50(1.0)
Bulgaria,2018,"Motor coaches, buses and trolley buses",12.0,ESTAT:SDG_09_50(1.0)
Bulgaria,2019,"Motor coaches, buses and trolley buses",13.0,ESTAT:SDG_09_50(1.0)
Bulgaria,2020,"Motor coaches, buses and trolley buses",8.6,ESTAT:SDG_09_50(1.0)
Bulgaria,2021,"Motor coaches, buses and trolley buses",8.0,ESTAT:SDG_09_50(1.0)
Bulgaria,2022,"Motor coaches, buses and trolley buses",10.6,ESTAT:SDG_09_50(1.0)
Switzerland,2000,"Motor coaches, buses and trolley buses",5.2,ESTAT:SDG_09_50(1.0)
Switzerland,2001,"Motor coaches, buses and trolley buses",5.2,ESTAT:SDG_09_50(1.0)
Switzerland,2002,"Motor coaches, buses and trolley buses",5.1,ESTAT:SDG_09_50(1.0)
Switzerland,2003,"Motor coaches, buses and trolley buses",5.2,ESTAT:SDG_09_50(1.0)
Switzerland,2004,"Motor coaches, buses and trolley buses",5.2,ESTAT:SDG_09_50(1.0)
Switzerland,2005,"Motor coaches, buses and trolley buses",5.3,ESTAT:SDG_09_50(1.0)
Switzerland,2006,"Motor coaches, buses and trolley buses",5.6,ESTAT:SDG_09_50(1.0)
Switzerland,2007,"Motor coaches, buses and trolley buses",5.5,ESTAT:SDG_09_50(1.0)
Switzerland,2008,"Motor coaches, buses and trolley buses",5.2,ESTAT:SDG_09_50(1.0)
Switzerland,2009,"Motor coaches, buses and trolley buses",5.1,ESTAT:SDG_09_50(1.0)
Switzerland,2010,"Motor coaches, buses and trolley buses",5.1,ESTAT:SDG_09_50(1.0)
Switzerland,2011,"Motor coaches, buses and trolley buses",5.7,ESTAT:SDG_09_50(1.0)
Switzerland,2012,"Motor coaches, buses and trolley buses",5.7,ESTAT:SDG_09_50(1.0)
Switzerland,2013,"Motor coaches, buses and trolley buses",5.7,ESTAT:SDG_09_50(1.0)
Switzerland,2014,"Motor coaches, buses and trolley buses",5.8,ESTAT:SDG_09_50(1.0)
Switzerland,2015,"Motor coaches, buses and trolley buses",5.9,ESTAT:SDG_09_50(1.0)
Switzerland,2016,"Motor coaches, buses and trolley buses",5.9,ESTAT:SDG_09_50(1.0)
Switzerland,2017,"Motor coaches, buses and trolley buses",5.9,ESTAT:SDG_09_50(1.0)
Switzerland,2018,"Motor coaches, buses and trolley buses",5.9,ESTAT:SDG_09_50(1.0)
Switzerland,2019,"Motor coaches, buses and trolley buses",6.1,ESTAT:SDG_09_50(1.0)
Switzerland,2020,"Motor coaches, buses and trolley buses",6.3,ESTAT:SDG_09_50(1.0)
Switzerland,2021,"Motor coaches, buses and trolley buses",6.4,ESTAT:SDG_09_50(1.0)
Switzerland,2022,"Motor coaches, buses and trolley buses",6.3,ESTAT:SDG_09_50(1.0)
Cyprus,2000,"Motor coaches, buses and trolley buses",22.3,ESTAT:SDG_09_50(1.0)
Cyprus,2001,"Motor coaches, buses and trolley buses",22.5,ESTAT:SDG_09_50(1.0)
Cyprus,2002,"Motor coaches, buses and trolley buses",22.6,ESTAT:SDG_09_50(1.0)
Cyprus,2003,"Motor coaches, buses and trolley buses",23.6,ESTAT:SDG_09_50(1.0)
Cyprus,2004,"Motor coaches, buses and trolley buses",21.2,ESTAT:SDG_09_50(1.0)
Cyprus,2005,"Motor coaches, buses and trolley buses",20.8,ESTAT:SDG_09_50(1.0)
Cyprus,2006,"Motor coaches, buses and trolley buses",20.4,ESTAT:SDG_09_50(1.0)
Cyprus,2007,"Motor coaches, buses and trolley buses",19.7,ESTAT:SDG_09_50(1.0)
Cyprus,2008,"Motor coaches, buses and trolley buses",18.8,ESTAT:SDG_09_50(1.0)
Cyprus,2009,"Motor coaches, buses and trolley buses",17.6,ESTAT:SDG_09_50(1.0)
Cyprus,2010,"Motor coaches, buses and trolley buses",18.1,ESTAT:SDG_09_50(1.0)
Cyprus,2011,"Motor coaches, buses and trolley buses",18.3,ESTAT:SDG_09_50(1.0)
Cyprus,2012,"Motor coaches, buses and trolley buses",18.7,ESTAT:SDG_09_50(1.0)
Cyprus,2013,"Motor coaches, buses and trolley buses",18.5,ESTAT:SDG_09_50(1.0)
Cyprus,2014,"Motor coaches, buses and trolley buses",18.2,ESTAT:SDG_09_50(1.0)
Cyprus,2015,"Motor coaches, buses and trolley buses",18.7,ESTAT:SDG_09_50(1.0)
Cyprus,2016,"Motor coaches, buses and trolley buses",18.6,ESTAT:SDG_09_50(1.0)
Cyprus,2017,"Motor coaches, buses and trolley buses",19.0,ESTAT:SDG_09_50(1.0)
Cyprus,2018,"Motor coaches, buses and trolley buses",18.9,ESTAT:SDG_09_50(1.0)
Cyprus,2019,"Motor coaches, buses and trolley buses",18.5,ESTAT:SDG_09_50(1.0)
Cyprus,2020,"Motor coaches, buses and trolley buses",12.7,ESTAT:SDG_09_50(1.0)
Cyprus,2021,"Motor coaches, buses and trolley buses",12.7,ESTAT:SDG_09_50(1.0)
Cyprus,2022,"Motor coaches, buses and trolley buses",15.6,ESTAT:SDG_09_50(1.0)
Czechia,2000,"Motor coaches, buses and trolley buses",18.6,ESTAT:SDG_09_50(1.0)
Czechia,2001,"Motor coaches, buses and trolley buses",19.9,ESTAT:SDG_09_50(1.0)
Czechia,2002,"Motor coaches, buses and trolley buses",18.7,ESTAT:SDG_09_50(1.0)
Czechia,2003,"Motor coaches, buses and trolley buses",17.2,ESTAT:SDG_09_50(1.0)
Czechia,2004,"Motor coaches, buses and trolley buses",16.0,ESTAT:SDG_09_50(1.0)
Czechia,2005,"Motor coaches, buses and trolley buses",17.2,ESTAT:SDG_09_50(1.0)
Czechia,2006,"Motor coaches, buses and trolley buses",17.3,ESTAT:SDG_09_50(1.0)
Czechia,2007,"Motor coaches, buses and trolley buses",17.0,ESTAT:SDG_09_50(1.0)
Czechia,2008,"Motor coaches, buses and trolley buses",16.9,ESTAT:SDG_09_50(1.0)
Czechia,2009,"Motor coaches, buses and trolley buses",16.0,ESTAT:SDG_09_50(1.0)
Czechia,2010,"Motor coaches, buses and trolley buses",18.9,ESTAT:SDG_09_50(1.0)
Czechia,2011,"Motor coaches, buses and trolley buses",17.0,ESTAT:SDG_09_50(1.0)
Czechia,2012,"Motor coaches, buses and trolley buses",16.8,ESTAT:SDG_09_50(1.0)
Czechia,2013,"Motor coaches, buses and trolley buses",17.0,ESTAT:SDG_09_50(1.0)
Czechia,2014,"Motor coaches, buses and trolley buses",18.8,ESTAT:SDG_09_50(1.0)
Czechia,2015,"Motor coaches, buses and trolley buses",16.3,ESTAT:SDG_09_50(1.0)
Czechia,2016,"Motor coaches, buses and trolley buses",15.6,ESTAT:SDG_09_50(1.0)
Czechia,2017,"Motor coaches, buses and trolley buses",15.8,ESTAT:SDG_09_50(1.0)
Czechia,2018,"Motor coaches, buses and trolley buses",15.5,ESTAT:SDG_09_50(1.0)
Czechia,2019,"Motor coaches, buses and trolley buses",14.9,ESTAT:SDG_09_50(1.0)
Czechia,2020,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
Czechia,2021,"Motor coaches, buses and trolley buses",8.5,ESTAT:SDG_09_50(1.0)
Czechia,2022,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
Germany,2000,"Motor coaches, buses and trolley buses",7.1,ESTAT:SDG_09_50(1.0)
Germany,2001,"Motor coaches, buses and trolley buses",6.9,ESTAT:SDG_09_50(1.0)
Germany,2002,"Motor coaches, buses and trolley buses",6.7,ESTAT:SDG_09_50(1.0)
Germany,2003,"Motor coaches, buses and trolley buses",6.8,ESTAT:SDG_09_50(1.0)
Germany,2004,"Motor coaches, buses and trolley buses",6.7,ESTAT:SDG_09_50(1.0)
Germany,2005,"Motor coaches, buses and trolley buses",6.7,ESTAT:SDG_09_50(1.0)
Germany,2006,"Motor coaches, buses and trolley buses",6.6,ESTAT:SDG_09_50(1.0)
Germany,2007,"Motor coaches, buses and trolley buses",6.5,ESTAT:SDG_09_50(1.0)
Germany,2008,"Motor coaches, buses and trolley buses",6.3,ESTAT:SDG_09_50(1.0)
Germany,2009,"Motor coaches, buses and trolley buses",6.1,ESTAT:SDG_09_50(1.0)
Germany,2010,"Motor coaches, buses and trolley buses",6.0,ESTAT:SDG_09_50(1.0)
Germany,2011,"Motor coaches, buses and trolley buses",7.3,ESTAT:SDG_09_50(1.0)
Germany,2012,"Motor coaches, buses and trolley buses",7.1,ESTAT:SDG_09_50(1.0)
Germany,2013,"Motor coaches, buses and trolley buses",7.2,ESTAT:SDG_09_50(1.0)
Germany,2014,"Motor coaches, buses and trolley buses",7.2,ESTAT:SDG_09_50(1.0)
Germany,2015,"Motor coaches, buses and trolley buses",7.4,ESTAT:SDG_09_50(1.0)
Germany,2016,"Motor coaches, buses and trolley buses",7.3,ESTAT:SDG_09_50(1.0)
Germany,2017,"Motor coaches, buses and trolley buses",7.3,ESTAT:SDG_09_50(1.0)
Germany,2018,"Motor coaches, buses and trolley buses",7.2,ESTAT:SDG_09_50(1.0)
Germany,2019,"Motor coaches, buses and trolley buses",7.4,ESTAT:SDG_09_50(1.0)
Germany,2020,"Motor coaches, buses and trolley buses",4.8,ESTAT:SDG_09_50(1.0)
Germany,2021,"Motor coaches, buses and trolley buses",4.9,ESTAT:SDG_09_50(1.0)
Germany,2022,"Motor coaches, buses and trolley buses",6.0,ESTAT:SDG_09_50(1.0)
Denmark,2000,"Motor coaches, buses and trolley buses",12.4,ESTAT:SDG_09_50(1.0)
Denmark,2001,"Motor coaches, buses and trolley buses",12.3,ESTAT:SDG_09_50(1.0)
Denmark,2002,"Motor coaches, buses and trolley buses",12.0,ESTAT:SDG_09_50(1.0)
Denmark,2003,"Motor coaches, buses and trolley buses",11.6,ESTAT:SDG_09_50(1.0)
Denmark,2004,"Motor coaches, buses and trolley buses",11.4,ESTAT:SDG_09_50(1.0)
Denmark,2005,"Motor coaches, buses and trolley buses",11.4,ESTAT:SDG_09_50(1.0)
Denmark,2006,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Denmark,2007,"Motor coaches, buses and trolley buses",9.7,ESTAT:SDG_09_50(1.0)
Denmark,2008,"Motor coaches, buses and trolley buses",9.7,ESTAT:SDG_09_50(1.0)
Denmark,2009,"Motor coaches, buses and trolley buses",10.4,ESTAT:SDG_09_50(1.0)
Denmark,2010,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
Denmark,2011,"Motor coaches, buses and trolley buses",10.1,ESTAT:SDG_09_50(1.0)
Denmark,2012,"Motor coaches, buses and trolley buses",9.8,ESTAT:SDG_09_50(1.0)
Denmark,2013,"Motor coaches, buses and trolley buses",9.8,ESTAT:SDG_09_50(1.0)
Denmark,2014,"Motor coaches, buses and trolley buses",9.7,ESTAT:SDG_09_50(1.0)
Denmark,2015,"Motor coaches, buses and trolley buses",9.8,ESTAT:SDG_09_50(1.0)
Denmark,2016,"Motor coaches, buses and trolley buses",9.8,ESTAT:SDG_09_50(1.0)
Denmark,2017,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Denmark,2018,"Motor coaches, buses and trolley buses",9.6,ESTAT:SDG_09_50(1.0)
Denmark,2019,"Motor coaches, buses and trolley buses",9.1,ESTAT:SDG_09_50(1.0)
Denmark,2020,"Motor coaches, buses and trolley buses",6.9,ESTAT:SDG_09_50(1.0)
Denmark,2021,"Motor coaches, buses and trolley buses",7.0,ESTAT:SDG_09_50(1.0)
Denmark,2022,"Motor coaches, buses and trolley buses",10.8,ESTAT:SDG_09_50(1.0)
Estonia,2000,"Motor coaches, buses and trolley buses",27.5,ESTAT:SDG_09_50(1.0)
Estonia,2001,"Motor coaches, buses and trolley buses",28.0,ESTAT:SDG_09_50(1.0)
Estonia,2002,"Motor coaches, buses and trolley buses",26.5,ESTAT:SDG_09_50(1.0)
Estonia,2003,"Motor coaches, buses and trolley buses",24.7,ESTAT:SDG_09_50(1.0)
Estonia,2004,"Motor coaches, buses and trolley buses",25.3,ESTAT:SDG_09_50(1.0)
Estonia,2005,"Motor coaches, buses and trolley buses",20.4,ESTAT:SDG_09_50(1.0)
Estonia,2006,"Motor coaches, buses and trolley buses",19.9,ESTAT:SDG_09_50(1.0)
Estonia,2007,"Motor coaches, buses and trolley buses",18.4,ESTAT:SDG_09_50(1.0)
Estonia,2008,"Motor coaches, buses and trolley buses",16.5,ESTAT:SDG_09_50(1.0)
Estonia,2009,"Motor coaches, buses and trolley buses",15.0,ESTAT:SDG_09_50(1.0)
Estonia,2010,"Motor coaches, buses and trolley buses",14.4,ESTAT:SDG_09_50(1.0)
Estonia,2011,"Motor coaches, buses and trolley buses",14.0,ESTAT:SDG_09_50(1.0)
Estonia,2012,"Motor coaches, buses and trolley buses",14.6,ESTAT:SDG_09_50(1.0)
Estonia,2013,"Motor coaches, buses and trolley buses",14.4,ESTAT:SDG_09_50(1.0)
Estonia,2014,"Motor coaches, buses and trolley buses",14.0,ESTAT:SDG_09_50(1.0)
Estonia,2015,"Motor coaches, buses and trolley buses",15.8,ESTAT:SDG_09_50(1.0)
Estonia,2016,"Motor coaches, buses and trolley buses",18.3,ESTAT:SDG_09_50(1.0)
Estonia,2017,"Motor coaches, buses and trolley buses",17.6,ESTAT:SDG_09_50(1.0)
Estonia,2018,"Motor coaches, buses and trolley buses",17.1,ESTAT:SDG_09_50(1.0)
Estonia,2019,"Motor coaches, buses and trolley buses",17.9,ESTAT:SDG_09_50(1.0)
Estonia,2020,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Estonia,2021,"Motor coaches, buses and trolley buses",8.8,ESTAT:SDG_09_50(1.0)
Estonia,2022,"Motor coaches, buses and trolley buses",12.0,ESTAT:SDG_09_50(1.0)
Greece,2000,"Motor coaches, buses and trolley buses",25.1,ESTAT:SDG_09_50(1.0)
Greece,2001,"Motor coaches, buses and trolley buses",23.8,ESTAT:SDG_09_50(1.0)
Greece,2002,"Motor coaches, buses and trolley buses",23.0,ESTAT:SDG_09_50(1.0)
Greece,2003,"Motor coaches, buses and trolley buses",22.1,ESTAT:SDG_09_50(1.0)
Greece,2004,"Motor coaches, buses and trolley buses",20.9,ESTAT:SDG_09_50(1.0)
Greece,2005,"Motor coaches, buses and trolley buses",20.0,ESTAT:SDG_09_50(1.0)
Greece,2006,"Motor coaches, buses and trolley buses",19.2,ESTAT:SDG_09_50(1.0)
Greece,2007,"Motor coaches, buses and trolley buses",18.5,ESTAT:SDG_09_50(1.0)
Greece,2008,"Motor coaches, buses and trolley buses",17.9,ESTAT:SDG_09_50(1.0)
Greece,2009,"Motor coaches, buses and trolley buses",16.9,ESTAT:SDG_09_50(1.0)
Greece,2010,"Motor coaches, buses and trolley buses",17.3,ESTAT:SDG_09_50(1.0)
Greece,2011,"Motor coaches, buses and trolley buses",17.6,ESTAT:SDG_09_50(1.0)
Greece,2012,"Motor coaches, buses and trolley buses",17.7,ESTAT:SDG_09_50(1.0)
Greece,2013,"Motor coaches, buses and trolley buses",17.8,ESTAT:SDG_09_50(1.0)
Greece,2014,"Motor coaches, buses and trolley buses",17.7,ESTAT:SDG_09_50(1.0)
Greece,2015,"Motor coaches, buses and trolley buses",17.5,ESTAT:SDG_09_50(1.0)
Greece,2016,"Motor coaches, buses and trolley buses",17.1,ESTAT:SDG_09_50(1.0)
Greece,2017,"Motor coaches, buses and trolley buses",16.6,ESTAT:SDG_09_50(1.0)
Greece,2018,"Motor coaches, buses and trolley buses",16.4,ESTAT:SDG_09_50(1.0)
Greece,2019,"Motor coaches, buses and trolley buses",16.0,ESTAT:SDG_09_50(1.0)
Greece,2020,"Motor coaches, buses and trolley buses",12.6,ESTAT:SDG_09_50(1.0)
Greece,2021,"Motor coaches, buses and trolley buses",12.3,ESTAT:SDG_09_50(1.0)
Greece,2022,"Motor coaches, buses and trolley buses",14.4,ESTAT:SDG_09_50(1.0)
Spain,2000,"Motor coaches, buses and trolley buses",13.5,ESTAT:SDG_09_50(1.0)
Spain,2001,"Motor coaches, buses and trolley buses",13.7,ESTAT:SDG_09_50(1.0)
Spain,2002,"Motor coaches, buses and trolley buses",12.3,ESTAT:SDG_09_50(1.0)
Spain,2003,"Motor coaches, buses and trolley buses",11.8,ESTAT:SDG_09_50(1.0)
Spain,2004,"Motor coaches, buses and trolley buses",13.2,ESTAT:SDG_09_50(1.0)
Spain,2005,"Motor coaches, buses and trolley buses",12.9,ESTAT:SDG_09_50(1.0)
Spain,2006,"Motor coaches, buses and trolley buses",12.0,ESTAT:SDG_09_50(1.0)
Spain,2007,"Motor coaches, buses and trolley buses",14.0,ESTAT:SDG_09_50(1.0)
Spain,2008,"Motor coaches, buses and trolley buses",14.3,ESTAT:SDG_09_50(1.0)
Spain,2009,"Motor coaches, buses and trolley buses",13.3,ESTAT:SDG_09_50(1.0)
Spain,2010,"Motor coaches, buses and trolley buses",12.3,ESTAT:SDG_09_50(1.0)
Spain,2011,"Motor coaches, buses and trolley buses",13.5,ESTAT:SDG_09_50(1.0)
Spain,2012,"Motor coaches, buses and trolley buses",13.7,ESTAT:SDG_09_50(1.0)
Spain,2013,"Motor coaches, buses and trolley buses",13.2,ESTAT:SDG_09_50(1.0)
Spain,2014,"Motor coaches, buses and trolley buses",10.6,ESTAT:SDG_09_50(1.0)
Spain,2015,"Motor coaches, buses and trolley buses",11.9,ESTAT:SDG_09_50(1.0)
Spain,2016,"Motor coaches, buses and trolley buses",11.8,ESTAT:SDG_09_50(1.0)
Spain,2017,"Motor coaches, buses and trolley buses",7.8,ESTAT:SDG_09_50(1.0)
Spain,2018,"Motor coaches, buses and trolley buses",8.0,ESTAT:SDG_09_50(1.0)
Spain,2019,"Motor coaches, buses and trolley buses",8.2,ESTAT:SDG_09_50(1.0)
Spain,2020,"Motor coaches, buses and trolley buses",6.4,ESTAT:SDG_09_50(1.0)
Spain,2021,"Motor coaches, buses and trolley buses",6.6,ESTAT:SDG_09_50(1.0)
Spain,2022,"Motor coaches, buses and trolley buses",9.3,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2000,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2001,"Motor coaches, buses and trolley buses",10.3,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2002,"Motor coaches, buses and trolley buses",10.1,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2003,"Motor coaches, buses and trolley buses",10.0,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2004,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2005,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2006,"Motor coaches, buses and trolley buses",9.8,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2007,"Motor coaches, buses and trolley buses",10.1,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2008,"Motor coaches, buses and trolley buses",10.0,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2009,"Motor coaches, buses and trolley buses",9.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2010,"Motor coaches, buses and trolley buses",9.8,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2011,"Motor coaches, buses and trolley buses",10.2,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2012,"Motor coaches, buses and trolley buses",10.3,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2013,"Motor coaches, buses and trolley buses",10.4,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2014,"Motor coaches, buses and trolley buses",10.0,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2015,"Motor coaches, buses and trolley buses",10.0,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2016,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2017,"Motor coaches, buses and trolley buses",9.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2018,"Motor coaches, buses and trolley buses",9.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2019,"Motor coaches, buses and trolley buses",9.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2020,"Motor coaches, buses and trolley buses",7.4,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2021,"Motor coaches, buses and trolley buses",7.5,ESTAT:SDG_09_50(1.0)
European Union - 27 countries (from 2020),2022,"Motor coaches, buses and trolley buses",8.5,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2000,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2001,"Motor coaches, buses and trolley buses",9.8,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2002,"Motor coaches, buses and trolley buses",9.6,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2003,"Motor coaches, buses and trolley buses",9.5,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2004,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2005,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2006,"Motor coaches, buses and trolley buses",9.2,ESTAT:SDG_09_50(1.0)
European Union - 28 countries (2013-2020),2007,"Motor coaches, buses and trolley buses",9.4,ESTAT:SDG_09_50(1.0)
