country,year,bmi,value,source
Spain,2019,Pre-obese,37.8,ESTAT:SDG_02_10(1.0)
Spain,2022,Pre-obese,36.2,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (2007-2013),2017,Pre-obese,36.8,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2014,Pre-obese,35.7,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2017,Pre-obese,36.9,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2019,Pre-obese,36.2,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2022,Pre-obese,36.5,ESTAT:SDG_02_10(1.0)
European Union - 28 countries (2013-2020),2014,Pre-obese,35.7,ESTAT:SDG_02_10(1.0)
European Union - 28 countries (2013-2020),2017,Pre-obese,36.8,ESTAT:SDG_02_10(1.0)
Finland,2014,Pre-obese,36.4,ESTAT:SDG_02_10(1.0)
Finland,2017,Pre-obese,40.3,ESTAT:SDG_02_10(1.0)
Finland,2019,Pre-obese,38.1,ESTAT:SDG_02_10(1.0)
Finland,2022,Pre-obese,37.8,ESTAT:SDG_02_10(1.0)
France,2008,Pre-obese,31.4,ESTAT:SDG_02_10(1.0)
France,2014,Pre-obese,31.9,ESTAT:SDG_02_10(1.0)
France,2017,Pre-obese,30.7,ESTAT:SDG_02_10(1.0)
France,2019,Pre-obese,32.1,ESTAT:SDG_02_10(1.0)
France,2022,Pre-obese,31.2,ESTAT:SDG_02_10(1.0)
Croatia,2014,Pre-obese,38.7,ESTAT:SDG_02_10(1.0)
Croatia,2017,Pre-obese,42.6,ESTAT:SDG_02_10(1.0)
Croatia,2019,Pre-obese,41.7,ESTAT:SDG_02_10(1.0)
Croatia,2022,Pre-obese,41.3,ESTAT:SDG_02_10(1.0)
Hungary,2008,Pre-obese,34.9,ESTAT:SDG_02_10(1.0)
Hungary,2014,Pre-obese,34.0,ESTAT:SDG_02_10(1.0)
Hungary,2017,Pre-obese,36.3,ESTAT:SDG_02_10(1.0)
Hungary,2019,Pre-obese,35.4,ESTAT:SDG_02_10(1.0)
Hungary,2022,Pre-obese,36.2,ESTAT:SDG_02_10(1.0)
Ireland,2014,Pre-obese,37.0,ESTAT:SDG_02_10(1.0)
Ireland,2017,Pre-obese,41.9,ESTAT:SDG_02_10(1.0)
Ireland,2019,Pre-obese,,ESTAT:SDG_02_10(1.0)
Ireland,2022,Pre-obese,33.3,ESTAT:SDG_02_10(1.0)
Iceland,2014,Pre-obese,38.6,ESTAT:SDG_02_10(1.0)
Iceland,2017,Pre-obese,37.8,ESTAT:SDG_02_10(1.0)
Iceland,2019,Pre-obese,39.7,ESTAT:SDG_02_10(1.0)
Italy,2014,Pre-obese,34.1,ESTAT:SDG_02_10(1.0)
Italy,2017,Pre-obese,34.4,ESTAT:SDG_02_10(1.0)
Italy,2019,Pre-obese,33.9,ESTAT:SDG_02_10(1.0)
Italy,2022,Pre-obese,34.8,ESTAT:SDG_02_10(1.0)
Lithuania,2014,Pre-obese,38.3,ESTAT:SDG_02_10(1.0)
Lithuania,2017,Pre-obese,38.7,ESTAT:SDG_02_10(1.0)
Lithuania,2019,Pre-obese,37.9,ESTAT:SDG_02_10(1.0)
Lithuania,2022,Pre-obese,38.7,ESTAT:SDG_02_10(1.0)
Luxembourg,2014,Pre-obese,32.4,ESTAT:SDG_02_10(1.0)
Luxembourg,2017,Pre-obese,33.3,ESTAT:SDG_02_10(1.0)
Luxembourg,2019,Pre-obese,31.9,ESTAT:SDG_02_10(1.0)
Luxembourg,2022,Pre-obese,32.7,ESTAT:SDG_02_10(1.0)
Latvia,2008,Pre-obese,38.0,ESTAT:SDG_02_10(1.0)
Latvia,2014,Pre-obese,35.2,ESTAT:SDG_02_10(1.0)
Latvia,2017,Pre-obese,35.5,ESTAT:SDG_02_10(1.0)
Latvia,2019,Pre-obese,35.3,ESTAT:SDG_02_10(1.0)
Latvia,2022,Pre-obese,37.1,ESTAT:SDG_02_10(1.0)
Montenegro,2017,Pre-obese,42.2,ESTAT:SDG_02_10(1.0)
Montenegro,2022,Pre-obese,40.2,ESTAT:SDG_02_10(1.0)
North Macedonia,2017,Pre-obese,45.2,ESTAT:SDG_02_10(1.0)
Malta,2008,Pre-obese,36.8,ESTAT:SDG_02_10(1.0)
Malta,2014,Pre-obese,35.0,ESTAT:SDG_02_10(1.0)
Malta,2017,Pre-obese,36.5,ESTAT:SDG_02_10(1.0)
Malta,2019,Pre-obese,36.1,ESTAT:SDG_02_10(1.0)
Malta,2022,Pre-obese,36.3,ESTAT:SDG_02_10(1.0)
Netherlands,2014,Pre-obese,36.0,ESTAT:SDG_02_10(1.0)
Netherlands,2017,Pre-obese,34.0,ESTAT:SDG_02_10(1.0)
Netherlands,2019,Pre-obese,35.4,ESTAT:SDG_02_10(1.0)
Netherlands,2022,Pre-obese,34.5,ESTAT:SDG_02_10(1.0)
Norway,2014,Pre-obese,36.2,ESTAT:SDG_02_10(1.0)
Norway,2017,Pre-obese,35.4,ESTAT:SDG_02_10(1.0)
Norway,2019,Pre-obese,36.5,ESTAT:SDG_02_10(1.0)
Norway,2022,Pre-obese,36.7,ESTAT:SDG_02_10(1.0)
Poland,2008,Pre-obese,37.6,ESTAT:SDG_02_10(1.0)
Poland,2014,Pre-obese,37.5,ESTAT:SDG_02_10(1.0)
Poland,2017,Pre-obese,39.2,ESTAT:SDG_02_10(1.0)
Poland,2019,Pre-obese,39.1,ESTAT:SDG_02_10(1.0)
Poland,2022,Pre-obese,39.8,ESTAT:SDG_02_10(1.0)
Portugal,2014,Pre-obese,36.9,ESTAT:SDG_02_10(1.0)
Portugal,2017,Pre-obese,37.6,ESTAT:SDG_02_10(1.0)
Portugal,2019,Pre-obese,38.2,ESTAT:SDG_02_10(1.0)
Portugal,2022,Pre-obese,37.2,ESTAT:SDG_02_10(1.0)
Romania,2008,Pre-obese,42.4,ESTAT:SDG_02_10(1.0)
Romania,2014,Pre-obese,46.4,ESTAT:SDG_02_10(1.0)
Romania,2017,Pre-obese,52.5,ESTAT:SDG_02_10(1.0)
Romania,2019,Pre-obese,47.7,ESTAT:SDG_02_10(1.0)
Romania,2022,Pre-obese,49.4,ESTAT:SDG_02_10(1.0)
Serbia,2017,Pre-obese,36.2,ESTAT:SDG_02_10(1.0)
Serbia,2019,Pre-obese,36.3,ESTAT:SDG_02_10(1.0)
Serbia,2022,Pre-obese,40.9,ESTAT:SDG_02_10(1.0)
Sweden,2014,Pre-obese,35.9,ESTAT:SDG_02_10(1.0)
Sweden,2017,Pre-obese,40.1,ESTAT:SDG_02_10(1.0)
Sweden,2019,Pre-obese,36.0,ESTAT:SDG_02_10(1.0)
Sweden,2022,Pre-obese,36.0,ESTAT:SDG_02_10(1.0)
Slovenia,2008,Pre-obese,39.8,ESTAT:SDG_02_10(1.0)
Slovenia,2014,Pre-obese,37.4,ESTAT:SDG_02_10(1.0)
Slovenia,2017,Pre-obese,37.2,ESTAT:SDG_02_10(1.0)
Slovenia,2019,Pre-obese,38.2,ESTAT:SDG_02_10(1.0)
Slovenia,2022,Pre-obese,37.8,ESTAT:SDG_02_10(1.0)
Slovakia,2008,Pre-obese,35.6,ESTAT:SDG_02_10(1.0)
Slovakia,2014,Pre-obese,38.0,ESTAT:SDG_02_10(1.0)
Slovakia,2017,Pre-obese,40.0,ESTAT:SDG_02_10(1.0)
Slovakia,2019,Pre-obese,38.9,ESTAT:SDG_02_10(1.0)
Slovakia,2022,Pre-obese,41.3,ESTAT:SDG_02_10(1.0)
Türkiye,2008,Pre-obese,34.4,ESTAT:SDG_02_10(1.0)
Türkiye,2014,Pre-obese,35.3,ESTAT:SDG_02_10(1.0)
Türkiye,2019,Pre-obese,36.5,ESTAT:SDG_02_10(1.0)
Türkiye,2022,Pre-obese,38.4,ESTAT:SDG_02_10(1.0)
United Kingdom,2014,Pre-obese,35.6,ESTAT:SDG_02_10(1.0)
United Kingdom,2017,Pre-obese,35.2,ESTAT:SDG_02_10(1.0)
Albania,2022,Overweight,57.4,ESTAT:SDG_02_10(1.0)
Austria,2008,Overweight,49.3,ESTAT:SDG_02_10(1.0)
Austria,2014,Overweight,48.0,ESTAT:SDG_02_10(1.0)
Austria,2017,Overweight,50.0,ESTAT:SDG_02_10(1.0)
Austria,2019,Overweight,52.2,ESTAT:SDG_02_10(1.0)
Austria,2022,Overweight,52.7,ESTAT:SDG_02_10(1.0)
Belgium,2008,Overweight,47.5,ESTAT:SDG_02_10(1.0)
Belgium,2014,Overweight,49.3,ESTAT:SDG_02_10(1.0)
Belgium,2017,Overweight,48.6,ESTAT:SDG_02_10(1.0)
Belgium,2019,Overweight,50.2,ESTAT:SDG_02_10(1.0)
Belgium,2022,Overweight,48.9,ESTAT:SDG_02_10(1.0)
Bulgaria,2008,Overweight,50.8,ESTAT:SDG_02_10(1.0)
Bulgaria,2014,Overweight,54.0,ESTAT:SDG_02_10(1.0)
Bulgaria,2017,Overweight,59.5,ESTAT:SDG_02_10(1.0)
Bulgaria,2019,Overweight,54.9,ESTAT:SDG_02_10(1.0)
Bulgaria,2022,Overweight,53.7,ESTAT:SDG_02_10(1.0)
Switzerland,2017,Overweight,43.2,ESTAT:SDG_02_10(1.0)
Switzerland,2022,Overweight,45.6,ESTAT:SDG_02_10(1.0)
Cyprus,2008,Overweight,51.3,ESTAT:SDG_02_10(1.0)
Cyprus,2014,Overweight,48.3,ESTAT:SDG_02_10(1.0)
Cyprus,2017,Overweight,52.7,ESTAT:SDG_02_10(1.0)
Cyprus,2019,Overweight,49.8,ESTAT:SDG_02_10(1.0)
Cyprus,2022,Overweight,47.9,ESTAT:SDG_02_10(1.0)
Czechia,2008,Overweight,56.6,ESTAT:SDG_02_10(1.0)
Czechia,2014,Overweight,56.8,ESTAT:SDG_02_10(1.0)
Czechia,2017,Overweight,62.3,ESTAT:SDG_02_10(1.0)
Czechia,2019,Overweight,60.0,ESTAT:SDG_02_10(1.0)
Czechia,2022,Overweight,56.5,ESTAT:SDG_02_10(1.0)
Germany,2008,Overweight,52.1,ESTAT:SDG_02_10(1.0)
Germany,2014,Overweight,52.1,ESTAT:SDG_02_10(1.0)
Germany,2017,Overweight,55.2,ESTAT:SDG_02_10(1.0)
Germany,2019,Overweight,53.5,ESTAT:SDG_02_10(1.0)
Germany,2022,Overweight,,ESTAT:SDG_02_10(1.0)
Denmark,2014,Overweight,47.7,ESTAT:SDG_02_10(1.0)
Denmark,2017,Overweight,54.5,ESTAT:SDG_02_10(1.0)
Denmark,2019,Overweight,50.4,ESTAT:SDG_02_10(1.0)
Denmark,2022,Overweight,54.6,ESTAT:SDG_02_10(1.0)
Euro area – 20 countries (from 2023),2017,Overweight,49.9,ESTAT:SDG_02_10(1.0)
Euro area – 20 countries (from 2023),2022,Overweight,49.4,ESTAT:SDG_02_10(1.0)
Estonia,2008,Overweight,51.0,ESTAT:SDG_02_10(1.0)
Estonia,2014,Overweight,53.9,ESTAT:SDG_02_10(1.0)
Estonia,2017,Overweight,56.1,ESTAT:SDG_02_10(1.0)
Estonia,2019,Overweight,56.7,ESTAT:SDG_02_10(1.0)
Estonia,2022,Overweight,57.4,ESTAT:SDG_02_10(1.0)
Greece,2008,Overweight,56.3,ESTAT:SDG_02_10(1.0)
Greece,2014,Overweight,56.7,ESTAT:SDG_02_10(1.0)
Greece,2017,Overweight,54.8,ESTAT:SDG_02_10(1.0)
Greece,2019,Overweight,57.6,ESTAT:SDG_02_10(1.0)
Greece,2022,Overweight,54.9,ESTAT:SDG_02_10(1.0)
Spain,2008,Overweight,53.0,ESTAT:SDG_02_10(1.0)
Spain,2014,Overweight,52.4,ESTAT:SDG_02_10(1.0)
Spain,2017,Overweight,51.6,ESTAT:SDG_02_10(1.0)
Spain,2019,Overweight,53.7,ESTAT:SDG_02_10(1.0)
Spain,2022,Overweight,51.2,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (2007-2013),2017,Overweight,51.9,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2014,Overweight,51.1,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2017,Overweight,51.8,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2019,Overweight,52.7,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2022,Overweight,51.3,ESTAT:SDG_02_10(1.0)
European Union - 28 countries (2013-2020),2014,Overweight,51.6,ESTAT:SDG_02_10(1.0)
European Union - 28 countries (2013-2020),2017,Overweight,52.0,ESTAT:SDG_02_10(1.0)
Finland,2014,Overweight,54.7,ESTAT:SDG_02_10(1.0)
Finland,2017,Overweight,61.1,ESTAT:SDG_02_10(1.0)
Finland,2019,Overweight,59.0,ESTAT:SDG_02_10(1.0)
Finland,2022,Overweight,59.8,ESTAT:SDG_02_10(1.0)
France,2008,Overweight,43.6,ESTAT:SDG_02_10(1.0)
France,2014,Overweight,47.2,ESTAT:SDG_02_10(1.0)
France,2017,Overweight,46.0,ESTAT:SDG_02_10(1.0)
France,2019,Overweight,47.2,ESTAT:SDG_02_10(1.0)
France,2022,Overweight,46.4,ESTAT:SDG_02_10(1.0)
Croatia,2014,Overweight,57.4,ESTAT:SDG_02_10(1.0)
Croatia,2017,Overweight,60.9,ESTAT:SDG_02_10(1.0)
Croatia,2019,Overweight,64.8,ESTAT:SDG_02_10(1.0)
Croatia,2022,Overweight,58.1,ESTAT:SDG_02_10(1.0)
Hungary,2008,Overweight,54.9,ESTAT:SDG_02_10(1.0)
Hungary,2014,Overweight,55.2,ESTAT:SDG_02_10(1.0)
Hungary,2017,Overweight,56.3,ESTAT:SDG_02_10(1.0)
Hungary,2019,Overweight,59.9,ESTAT:SDG_02_10(1.0)
Hungary,2022,Overweight,58.4,ESTAT:SDG_02_10(1.0)
Ireland,2014,Overweight,55.7,ESTAT:SDG_02_10(1.0)
Ireland,2017,Overweight,57.1,ESTAT:SDG_02_10(1.0)
Ireland,2019,Overweight,,ESTAT:SDG_02_10(1.0)
Ireland,2022,Overweight,53.0,ESTAT:SDG_02_10(1.0)
Iceland,2014,Overweight,57.6,ESTAT:SDG_02_10(1.0)
Iceland,2017,Overweight,59.2,ESTAT:SDG_02_10(1.0)
Iceland,2019,Overweight,62.0,ESTAT:SDG_02_10(1.0)
Italy,2014,Overweight,44.9,ESTAT:SDG_02_10(1.0)
Italy,2017,Overweight,40.3,ESTAT:SDG_02_10(1.0)
Italy,2019,Overweight,45.7,ESTAT:SDG_02_10(1.0)
Italy,2022,Overweight,41.9,ESTAT:SDG_02_10(1.0)
Lithuania,2014,Overweight,55.6,ESTAT:SDG_02_10(1.0)
Lithuania,2017,Overweight,56.2,ESTAT:SDG_02_10(1.0)
Lithuania,2019,Overweight,56.8,ESTAT:SDG_02_10(1.0)
Lithuania,2022,Overweight,59.4,ESTAT:SDG_02_10(1.0)
Luxembourg,2014,Overweight,48.0,ESTAT:SDG_02_10(1.0)
Luxembourg,2017,Overweight,49.3,ESTAT:SDG_02_10(1.0)
Luxembourg,2019,Overweight,48.4,ESTAT:SDG_02_10(1.0)
Luxembourg,2022,Overweight,49.7,ESTAT:SDG_02_10(1.0)
Latvia,2008,Overweight,54.9,ESTAT:SDG_02_10(1.0)
Latvia,2014,Overweight,56.5,ESTAT:SDG_02_10(1.0)
Latvia,2017,Overweight,57.0,ESTAT:SDG_02_10(1.0)
Latvia,2019,Overweight,58.3,ESTAT:SDG_02_10(1.0)
Latvia,2022,Overweight,60.4,ESTAT:SDG_02_10(1.0)
Montenegro,2017,Overweight,52.8,ESTAT:SDG_02_10(1.0)
Montenegro,2022,Overweight,48.1,ESTAT:SDG_02_10(1.0)
North Macedonia,2017,Overweight,55.7,ESTAT:SDG_02_10(1.0)
Malta,2008,Overweight,59.7,ESTAT:SDG_02_10(1.0)
Malta,2014,Overweight,61.0,ESTAT:SDG_02_10(1.0)
Malta,2017,Overweight,62.2,ESTAT:SDG_02_10(1.0)
Malta,2019,Overweight,64.8,ESTAT:SDG_02_10(1.0)
Malta,2022,Overweight,62.5,ESTAT:SDG_02_10(1.0)
Netherlands,2014,Overweight,49.4,ESTAT:SDG_02_10(1.0)
Netherlands,2017,Overweight,46.9,ESTAT:SDG_02_10(1.0)
Netherlands,2019,Overweight,50.0,ESTAT:SDG_02_10(1.0)
Netherlands,2022,Overweight,48.3,ESTAT:SDG_02_10(1.0)
Norway,2014,Overweight,49.3,ESTAT:SDG_02_10(1.0)
Norway,2017,Overweight,49.1,ESTAT:SDG_02_10(1.0)
Norway,2019,Overweight,50.6,ESTAT:SDG_02_10(1.0)
Norway,2022,Overweight,53.5,ESTAT:SDG_02_10(1.0)
Poland,2008,Overweight,54.0,ESTAT:SDG_02_10(1.0)
Poland,2014,Overweight,54.7,ESTAT:SDG_02_10(1.0)
Poland,2017,Overweight,56.1,ESTAT:SDG_02_10(1.0)
Poland,2019,Overweight,58.1,ESTAT:SDG_02_10(1.0)
Poland,2022,Overweight,58.4,ESTAT:SDG_02_10(1.0)
Portugal,2014,Overweight,53.6,ESTAT:SDG_02_10(1.0)
Portugal,2017,Overweight,53.3,ESTAT:SDG_02_10(1.0)
Portugal,2019,Overweight,55.9,ESTAT:SDG_02_10(1.0)
Portugal,2022,Overweight,53.0,ESTAT:SDG_02_10(1.0)
Romania,2008,Overweight,50.3,ESTAT:SDG_02_10(1.0)
Romania,2014,Overweight,55.8,ESTAT:SDG_02_10(1.0)
Romania,2017,Overweight,62.9,ESTAT:SDG_02_10(1.0)
Romania,2019,Overweight,58.7,ESTAT:SDG_02_10(1.0)
Romania,2022,Overweight,59.7,ESTAT:SDG_02_10(1.0)
Serbia,2017,Overweight,49.5,ESTAT:SDG_02_10(1.0)
Serbia,2019,Overweight,53.6,ESTAT:SDG_02_10(1.0)
Serbia,2022,Overweight,52.5,ESTAT:SDG_02_10(1.0)
Sweden,2014,Overweight,49.9,ESTAT:SDG_02_10(1.0)
Sweden,2017,Overweight,57.5,ESTAT:SDG_02_10(1.0)
Sweden,2019,Overweight,51.3,ESTAT:SDG_02_10(1.0)
Sweden,2022,Overweight,53.2,ESTAT:SDG_02_10(1.0)
Slovenia,2008,Overweight,56.6,ESTAT:SDG_02_10(1.0)
Slovenia,2014,Overweight,56.6,ESTAT:SDG_02_10(1.0)
Slovenia,2017,Overweight,54.5,ESTAT:SDG_02_10(1.0)
Slovenia,2019,Overweight,58.1,ESTAT:SDG_02_10(1.0)
Slovenia,2022,Overweight,55.7,ESTAT:SDG_02_10(1.0)
Slovakia,2008,Overweight,50.7,ESTAT:SDG_02_10(1.0)
Slovakia,2014,Overweight,54.2,ESTAT:SDG_02_10(1.0)
Slovakia,2017,Overweight,54.5,ESTAT:SDG_02_10(1.0)
Slovakia,2019,Overweight,58.7,ESTAT:SDG_02_10(1.0)
Slovakia,2022,Overweight,58.4,ESTAT:SDG_02_10(1.0)
Türkiye,2008,Overweight,50.6,ESTAT:SDG_02_10(1.0)
Türkiye,2014,Overweight,56.5,ESTAT:SDG_02_10(1.0)
Türkiye,2019,Overweight,58.8,ESTAT:SDG_02_10(1.0)
Türkiye,2022,Overweight,58.5,ESTAT:SDG_02_10(1.0)
United Kingdom,2014,Overweight,55.7,ESTAT:SDG_02_10(1.0)
United Kingdom,2017,Overweight,56.1,ESTAT:SDG_02_10(1.0)
Albania,2022,Obese,12.6,ESTAT:SDG_02_10(1.0)
Austria,2008,Obese,12.8,ESTAT:SDG_02_10(1.0)
Austria,2014,Obese,14.7,ESTAT:SDG_02_10(1.0)
Austria,2017,Obese,15.0,ESTAT:SDG_02_10(1.0)
Austria,2019,Obese,17.1,ESTAT:SDG_02_10(1.0)
Austria,2022,Obese,17.7,ESTAT:SDG_02_10(1.0)
Belgium,2008,Obese,14.0,ESTAT:SDG_02_10(1.0)
Belgium,2014,Obese,14.0,ESTAT:SDG_02_10(1.0)
Belgium,2017,Obese,14.7,ESTAT:SDG_02_10(1.0)
Belgium,2019,Obese,16.3,ESTAT:SDG_02_10(1.0)
Belgium,2022,Obese,15.8,ESTAT:SDG_02_10(1.0)
Bulgaria,2008,Obese,11.5,ESTAT:SDG_02_10(1.0)
Bulgaria,2014,Obese,14.8,ESTAT:SDG_02_10(1.0)
Bulgaria,2017,Obese,14.1,ESTAT:SDG_02_10(1.0)
Bulgaria,2019,Obese,13.6,ESTAT:SDG_02_10(1.0)
Bulgaria,2022,Obese,11.7,ESTAT:SDG_02_10(1.0)
Switzerland,2017,Obese,11.3,ESTAT:SDG_02_10(1.0)
Switzerland,2022,Obese,13.5,ESTAT:SDG_02_10(1.0)
Cyprus,2008,Obese,15.6,ESTAT:SDG_02_10(1.0)
Cyprus,2014,Obese,14.5,ESTAT:SDG_02_10(1.0)
Cyprus,2017,Obese,14.7,ESTAT:SDG_02_10(1.0)
Cyprus,2019,Obese,15.2,ESTAT:SDG_02_10(1.0)
Cyprus,2022,Obese,13.5,ESTAT:SDG_02_10(1.0)
Czechia,2008,Obese,18.3,ESTAT:SDG_02_10(1.0)
Czechia,2014,Obese,19.3,ESTAT:SDG_02_10(1.0)
Czechia,2017,Obese,20.5,ESTAT:SDG_02_10(1.0)
Czechia,2019,Obese,19.8,ESTAT:SDG_02_10(1.0)
Czechia,2022,Obese,17.8,ESTAT:SDG_02_10(1.0)
Germany,2008,Obese,15.8,ESTAT:SDG_02_10(1.0)
Germany,2014,Obese,16.9,ESTAT:SDG_02_10(1.0)
Germany,2017,Obese,20.0,ESTAT:SDG_02_10(1.0)
Germany,2019,Obese,19.0,ESTAT:SDG_02_10(1.0)
Germany,2022,Obese,,ESTAT:SDG_02_10(1.0)
Denmark,2014,Obese,14.9,ESTAT:SDG_02_10(1.0)
Denmark,2017,Obese,18.0,ESTAT:SDG_02_10(1.0)
Denmark,2019,Obese,16.5,ESTAT:SDG_02_10(1.0)
Denmark,2022,Obese,19.4,ESTAT:SDG_02_10(1.0)
Euro area – 20 countries (from 2023),2017,Obese,14.6,ESTAT:SDG_02_10(1.0)
Euro area – 20 countries (from 2023),2022,Obese,14.3,ESTAT:SDG_02_10(1.0)
Estonia,2008,Obese,18.5,ESTAT:SDG_02_10(1.0)
Estonia,2014,Obese,20.4,ESTAT:SDG_02_10(1.0)
Estonia,2017,Obese,21.0,ESTAT:SDG_02_10(1.0)
Estonia,2019,Obese,21.8,ESTAT:SDG_02_10(1.0)
Estonia,2022,Obese,22.1,ESTAT:SDG_02_10(1.0)
Greece,2008,Obese,17.6,ESTAT:SDG_02_10(1.0)
Greece,2014,Obese,17.3,ESTAT:SDG_02_10(1.0)
Greece,2017,Obese,11.6,ESTAT:SDG_02_10(1.0)
Greece,2019,Obese,16.7,ESTAT:SDG_02_10(1.0)
Greece,2022,Obese,12.0,ESTAT:SDG_02_10(1.0)
Spain,2008,Obese,15.7,ESTAT:SDG_02_10(1.0)
Spain,2014,Obese,16.7,ESTAT:SDG_02_10(1.0)
Spain,2017,Obese,14.1,ESTAT:SDG_02_10(1.0)
Spain,2019,Obese,16.0,ESTAT:SDG_02_10(1.0)
Spain,2022,Obese,14.9,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (2007-2013),2017,Obese,15.2,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2014,Obese,15.4,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2017,Obese,14.9,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2019,Obese,16.5,ESTAT:SDG_02_10(1.0)
European Union - 27 countries (from 2020),2022,Obese,14.8,ESTAT:SDG_02_10(1.0)
European Union - 28 countries (2013-2020),2014,Obese,15.9,ESTAT:SDG_02_10(1.0)
European Union - 28 countries (2013-2020),2017,Obese,15.2,ESTAT:SDG_02_10(1.0)
Finland,2014,Obese,18.3,ESTAT:SDG_02_10(1.0)
