country,year,unit9,vehicle,bus_train
Bulgaria,2006,Percentage,"Motor coaches, buses and trolley buses",22.7
Bulgaria,2007,Percentage,"Motor coaches, buses and trolley buses",21.8
Bulgaria,2008,Percentage,"Motor coaches, buses and trolley buses",20.8
Bulgaria,2009,Percentage,"Motor coaches, buses and trolley buses",16.8
Bulgaria,2010,Percentage,"Motor coaches, buses and trolley buses",16.4
Bulgaria,2011,Percentage,"Motor coaches, buses and trolley buses",15.9
Bulgaria,2012,Percentage,"Motor coaches, buses and trolley buses",14.8
Bulgaria,2013,Percentage,"Motor coaches, buses and trolley buses",14.0
Bulgaria,2014,Percentage,"Motor coaches, buses and trolley buses",15.1
Bulgaria,2015,Percentage,"Motor coaches, buses and trolley buses",14.6
Bulgaria,2016,Percentage,"Motor coaches, buses and trolley buses",14.1
Bulgaria,2017,Percentage,"Motor coaches, buses and trolley buses",13.1
Bulgaria,2018,Percentage,"Motor coaches, buses and trolley buses",12.0
Bulgaria,2019,Percentage,"Motor coaches, buses and trolley buses",13.0
Bulgaria,2020,Percentage,"Motor coaches, buses and trolley buses",8.6
Bulgaria,2021,Percentage,"Motor coaches, buses and trolley buses",8.0
Bulgaria,2022,Percentage,"Motor coaches, buses and trolley buses",10.6
Switzerland,2000,Percentage,"Motor coaches, buses and trolley buses",5.2
Switzerland,2001,Percentage,"Motor coaches, buses and trolley buses",5.2
Switzerland,2002,Percentage,"Motor coaches, buses and trolley buses",5.1
Switzerland,2003,Percentage,"Motor coaches, buses and trolley buses",5.2
Switzerland,2004,Percentage,"Motor coaches, buses and trolley buses",5.2
Switzerland,2005,Percentage,"Motor coaches, buses and trolley buses",5.3
Switzerland,2006,Percentage,"Motor coaches, buses and trolley buses",5.6
Switzerland,2007,Percentage,"Motor coaches, buses and trolley buses",5.5
Switzerland,2008,Percentage,"Motor coaches, buses and trolley buses",5.2
Switzerland,2009,Percentage,"Motor coaches, buses and trolley buses",5.1
Switzerland,2010,Percentage,"Motor coaches, buses and trolley buses",5.1
Switzerland,2011,Percentage,"Motor coaches, buses and trolley buses",5.7
Switzerland,2012,Percentage,"Motor coaches, buses and trolley buses",5.7
Switzerland,2013,Percentage,"Motor coaches, buses and trolley buses",5.7
Switzerland,2014,Percentage,"Motor coaches, buses and trolley buses",5.8
Switzerland,2015,Percentage,"Motor coaches, buses and trolley buses",5.9
Switzerland,2016,Percentage,"Motor coaches, buses and trolley buses",5.9
Switzerland,2017,Percentage,"Motor coaches, buses and trolley buses",5.9
Switzerland,2018,Percentage,"Motor coaches, buses and trolley buses",5.9
Switzerland,2019,Percentage,"Motor coaches, buses and trolley buses",6.1
Switzerland,2020,Percentage,"Motor coaches, buses and trolley buses",6.3
Switzerland,2021,Percentage,"Motor coaches, buses and trolley buses",6.4
Switzerland,2022,Percentage,"Motor coaches, buses and trolley buses",6.3
Cyprus,2000,Percentage,"Motor coaches, buses and trolley buses",22.3
Cyprus,2001,Percentage,"Motor coaches, buses and trolley buses",22.5
Cyprus,2002,Percentage,"Motor coaches, buses and trolley buses",22.6
Cyprus,2003,Percentage,"Motor coaches, buses and trolley buses",23.6
Cyprus,2004,Percentage,"Motor coaches, buses and trolley buses",21.2
Cyprus,2005,Percentage,"Motor coaches, buses and trolley buses",20.8
Cyprus,2006,Percentage,"Motor coaches, buses and trolley buses",20.4
Cyprus,2007,Percentage,"Motor coaches, buses and trolley buses",19.7
Cyprus,2008,Percentage,"Motor coaches, buses and trolley buses",18.8
Cyprus,2009,Percentage,"Motor coaches, buses and trolley buses",17.6
Cyprus,2010,Percentage,"Motor coaches, buses and trolley buses",18.1
Cyprus,2011,Percentage,"Motor coaches, buses and trolley buses",18.3
Cyprus,2012,Percentage,"Motor coaches, buses and trolley buses",18.7
Cyprus,2013,Percentage,"Motor coaches, buses and trolley buses",18.5
Cyprus,2014,Percentage,"Motor coaches, buses and trolley buses",18.2
Cyprus,2015,Percentage,"Motor coaches, buses and trolley buses",18.7
Cyprus,2016,Percentage,"Motor coaches, buses and trolley buses",18.6
Cyprus,2017,Percentage,"Motor coaches, buses and trolley buses",19.0
Cyprus,2018,Percentage,"Motor coaches, buses and trolley buses",18.9
Cyprus,2019,Percentage,"Motor coaches, buses and trolley buses",18.5
Cyprus,2020,Percentage,"Motor coaches, buses and trolley buses",12.7
Cyprus,2021,Percentage,"Motor coaches, buses and trolley buses",12.7
Cyprus,2022,Percentage,"Motor coaches, buses and trolley buses",15.6
Czechia,2000,Percentage,"Motor coaches, buses and trolley buses",18.6
Czechia,2001,Percentage,"Motor coaches, buses and trolley buses",19.9
Czechia,2002,Percentage,"Motor coaches, buses and trolley buses",18.7
Czechia,2003,Percentage,"Motor coaches, buses and trolley buses",17.2
Czechia,2004,Percentage,"Motor coaches, buses and trolley buses",16.0
Czechia,2005,Percentage,"Motor coaches, buses and trolley buses",17.2
Czechia,2006,Percentage,"Motor coaches, buses and trolley buses",17.3
Czechia,2007,Percentage,"Motor coaches, buses and trolley buses",17.0
Czechia,2008,Percentage,"Motor coaches, buses and trolley buses",16.9
Czechia,2009,Percentage,"Motor coaches, buses and trolley buses",16.0
Czechia,2010,Percentage,"Motor coaches, buses and trolley buses",18.9
Czechia,2011,Percentage,"Motor coaches, buses and trolley buses",17.0
Czechia,2012,Percentage,"Motor coaches, buses and trolley buses",16.8
Czechia,2013,Percentage,"Motor coaches, buses and trolley buses",17.0
Czechia,2014,Percentage,"Motor coaches, buses and trolley buses",18.8
Czechia,2015,Percentage,"Motor coaches, buses and trolley buses",16.3
Czechia,2016,Percentage,"Motor coaches, buses and trolley buses",15.6
Czechia,2017,Percentage,"Motor coaches, buses and trolley buses",15.8
Czechia,2018,Percentage,"Motor coaches, buses and trolley buses",15.5
Czechia,2019,Percentage,"Motor coaches, buses and trolley buses",14.9
Czechia,2020,Percentage,"Motor coaches, buses and trolley buses",10.5
Czechia,2021,Percentage,"Motor coaches, buses and trolley buses",8.5
Czechia,2022,Percentage,"Motor coaches, buses and trolley buses",10.5
Germany,2000,Percentage,"Motor coaches, buses and trolley buses",7.1
Germany,2001,Percentage,"Motor coaches, buses and trolley buses",6.9
Germany,2002,Percentage,"Motor coaches, buses and trolley buses",6.7
Germany,2003,Percentage,"Motor coaches, buses and trolley buses",6.8
Germany,2004,Percentage,"Motor coaches, buses and trolley buses",6.7
Germany,2005,Percentage,"Motor coaches, buses and trolley buses",6.7
Germany,2006,Percentage,"Motor coaches, buses and trolley buses",6.6
Germany,2007,Percentage,"Motor coaches, buses and trolley buses",6.5
Germany,2008,Percentage,"Motor coaches, buses and trolley buses",6.3
Germany,2009,Percentage,"Motor coaches, buses and trolley buses",6.1
Germany,2010,Percentage,"Motor coaches, buses and trolley buses",6.0
Germany,2011,Percentage,"Motor coaches, buses and trolley buses",7.3
Germany,2012,Percentage,"Motor coaches, buses and trolley buses",7.1
Germany,2013,Percentage,"Motor coaches, buses and trolley buses",7.2
Germany,2014,Percentage,"Motor coaches, buses and trolley buses",7.2
Germany,2015,Percentage,"Motor coaches, buses and trolley buses",7.4
Germany,2016,Percentage,"Motor coaches, buses and trolley buses",7.3
Germany,2017,Percentage,"Motor coaches, buses and trolley buses",7.3
Germany,2018,Percentage,"Motor coaches, buses and trolley buses",7.2
Germany,2019,Percentage,"Motor coaches, buses and trolley buses",7.4
Germany,2020,Percentage,"Motor coaches, buses and trolley buses",4.8
Germany,2021,Percentage,"Motor coaches, buses and trolley buses",4.9
Germany,2022,Percentage,"Motor coaches, buses and trolley buses",6.0
Denmark,2000,Percentage,"Motor coaches, buses and trolley buses",12.4
Denmark,2001,Percentage,"Motor coaches, buses and trolley buses",12.3
Denmark,2002,Percentage,"Motor coaches, buses and trolley buses",12.0
Denmark,2003,Percentage,"Motor coaches, buses and trolley buses",11.6
Denmark,2004,Percentage,"Motor coaches, buses and trolley buses",11.4
Denmark,2005,Percentage,"Motor coaches, buses and trolley buses",11.4
Denmark,2006,Percentage,"Motor coaches, buses and trolley buses",9.9
Denmark,2007,Percentage,"Motor coaches, buses and trolley buses",9.7
Denmark,2008,Percentage,"Motor coaches, buses and trolley buses",9.7
Denmark,2009,Percentage,"Motor coaches, buses and trolley buses",10.4
Denmark,2010,Percentage,"Motor coaches, buses and trolley buses",10.5
Denmark,2011,Percentage,"Motor coaches, buses and trolley buses",10.1
Denmark,2012,Percentage,"Motor coaches, buses and trolley buses",9.8
Denmark,2013,Percentage,"Motor coaches, buses and trolley buses",9.8
Denmark,2014,Percentage,"Motor coaches, buses and trolley buses",9.7
Denmark,2015,Percentage,"Motor coaches, buses and trolley buses",9.8
Denmark,2016,Percentage,"Motor coaches, buses and trolley buses",9.8
Denmark,2017,Percentage,"Motor coaches, buses and trolley buses",9.9
Denmark,2018,Percentage,"Motor coaches, buses and trolley buses",9.6
Denmark,2019,Percentage,"Motor coaches, buses and trolley buses",9.1
Denmark,2020,Percentage,"Motor coaches, buses and trolley buses",6.9
Denmark,2021,Percentage,"Motor coaches, buses and trolley buses",7.0
Denmark,2022,Percentage,"Motor coaches, buses and trolley buses",10.8
Estonia,2000,Percentage,"Motor coaches, buses and trolley buses",27.5
Estonia,2001,Percentage,"Motor coaches, buses and trolley buses",28.0
Estonia,2002,Percentage,"Motor coaches, buses and trolley buses",26.5
Estonia,2003,Percentage,"Motor coaches, buses and trolley buses",24.7
Estonia,2004,Percentage,"Motor coaches, buses and trolley buses",25.3
Estonia,2005,Percentage,"Motor coaches, buses and trolley buses",20.4
Estonia,2006,Percentage,"Motor coaches, buses and trolley buses",19.9
Estonia,2007,Percentage,"Motor coaches, buses and trolley buses",18.4
Estonia,2008,Percentage,"Motor coaches, buses and trolley buses",16.5
Estonia,2009,Percentage,"Motor coaches, buses and trolley buses",15.0
Estonia,2010,Percentage,"Motor coaches, buses and trolley buses",14.4
Estonia,2011,Percentage,"Motor coaches, buses and trolley buses",14.0
Estonia,2012,Percentage,"Motor coaches, buses and trolley buses",14.6
Estonia,2013,Percentage,"Motor coaches, buses and trolley buses",14.4
Estonia,2014,Percentage,"Motor coaches, buses and trolley buses",14.0
Estonia,2015,Percentage,"Motor coaches, buses and trolley buses",15.8
Estonia,2016,Percentage,"Motor coaches, buses and trolley buses",18.3
Estonia,2017,Percentage,"Motor coaches, buses and trolley buses",17.6
Estonia,2018,Percentage,"Motor coaches, buses and trolley buses",17.1
Estonia,2019,Percentage,"Motor coaches, buses and trolley buses",17.9
Estonia,2020,Percentage,"Motor coaches, buses and trolley buses",9.9
Estonia,2021,Percentage,"Motor coaches, buses and trolley buses",8.8
Estonia,2022,Percentage,"Motor coaches, buses and trolley buses",12.0
Greece,2000,Percentage,"Motor coaches, buses and trolley buses",25.1
Greece,2001,Percentage,"Motor coaches, buses and trolley buses",23.8
Greece,2002,Percentage,"Motor coaches, buses and trolley buses",23.0
Greece,2003,Percentage,"Motor coaches, buses and trolley buses",22.1
Greece,2004,Percentage,"Motor coaches, buses and trolley buses",20.9
Greece,2005,Percentage,"Motor coaches, buses and trolley buses",20.0
Greece,2006,Percentage,"Motor coaches, buses and trolley buses",19.2
Greece,2007,Percentage,"Motor coaches, buses and trolley buses",18.5
Greece,2008,Percentage,"Motor coaches, buses and trolley buses",17.9
Greece,2009,Percentage,"Motor coaches, buses and trolley buses",16.9
Greece,2010,Percentage,"Motor coaches, buses and trolley buses",17.3
Greece,2011,Percentage,"Motor coaches, buses and trolley buses",17.6
Greece,2012,Percentage,"Motor coaches, buses and trolley buses",17.7
Greece,2013,Percentage,"Motor coaches, buses and trolley buses",17.8
Greece,2014,Percentage,"Motor coaches, buses and trolley buses",17.7
Greece,2015,Percentage,"Motor coaches, buses and trolley buses",17.5
Greece,2016,Percentage,"Motor coaches, buses and trolley buses",17.1
Greece,2017,Percentage,"Motor coaches, buses and trolley buses",16.6
Greece,2018,Percentage,"Motor coaches, buses and trolley buses",16.4
Greece,2019,Percentage,"Motor coaches, buses and trolley buses",16.0
Greece,2020,Percentage,"Motor coaches, buses and trolley buses",12.6
Greece,2021,Percentage,"Motor coaches, buses and trolley buses",12.3
Greece,2022,Percentage,"Motor coaches, buses and trolley buses",14.4
Spain,2000,Percentage,"Motor coaches, buses and trolley buses",13.5
Spain,2001,Percentage,"Motor coaches, buses and trolley buses",13.7
Spain,2002,Percentage,"Motor coaches, buses and trolley buses",12.3
Spain,2003,Percentage,"Motor coaches, buses and trolley buses",11.8
Spain,2004,Percentage,"Motor coaches, buses and trolley buses",13.2
Spain,2005,Percentage,"Motor coaches, buses and trolley buses",12.9
Spain,2006,Percentage,"Motor coaches, buses and trolley buses",12.0
Spain,2007,Percentage,"Motor coaches, buses and trolley buses",14.0
Spain,2008,Percentage,"Motor coaches, buses and trolley buses",14.3
Spain,2009,Percentage,"Motor coaches, buses and trolley buses",13.3
Spain,2010,Percentage,"Motor coaches, buses and trolley buses",12.3
Spain,2011,Percentage,"Motor coaches, buses and trolley buses",13.5
Spain,2012,Percentage,"Motor coaches, buses and trolley buses",13.7
Spain,2013,Percentage,"Motor coaches, buses and trolley buses",13.2
Spain,2014,Percentage,"Motor coaches, buses and trolley buses",10.6
Spain,2015,Percentage,"Motor coaches, buses and trolley buses",11.9
Spain,2016,Percentage,"Motor coaches, buses and trolley buses",11.8
Spain,2017,Percentage,"Motor coaches, buses and trolley buses",7.8
Spain,2018,Percentage,"Motor coaches, buses and trolley buses",8.0
Spain,2019,Percentage,"Motor coaches, buses and trolley buses",8.2
Spain,2020,Percentage,"Motor coaches, buses and trolley buses",6.4
Spain,2021,Percentage,"Motor coaches, buses and trolley buses",6.6
Spain,2022,Percentage,"Motor coaches, buses and trolley buses",9.3
European Union - 27 countries (from 2020),2000,Percentage,"Motor coaches, buses and trolley buses",10.5
European Union - 27 countries (from 2020),2001,Percentage,"Motor coaches, buses and trolley buses",10.3
European Union - 27 countries (from 2020),2002,Percentage,"Motor coaches, buses and trolley buses",10.1
European Union - 27 countries (from 2020),2003,Percentage,"Motor coaches, buses and trolley buses",10.0
European Union - 27 countries (from 2020),2004,Percentage,"Motor coaches, buses and trolley buses",10.5
European Union - 27 countries (from 2020),2005,Percentage,"Motor coaches, buses and trolley buses",10.5
European Union - 27 countries (from 2020),2006,Percentage,"Motor coaches, buses and trolley buses",9.8
European Union - 27 countries (from 2020),2007,Percentage,"Motor coaches, buses and trolley buses",10.1
European Union - 27 countries (from 2020),2008,Percentage,"Motor coaches, buses and trolley buses",10.0
European Union - 27 countries (from 2020),2009,Percentage,"Motor coaches, buses and trolley buses",9.5
European Union - 27 countries (from 2020),2010,Percentage,"Motor coaches, buses and trolley buses",9.8
European Union - 27 countries (from 2020),2011,Percentage,"Motor coaches, buses and trolley buses",10.2
European Union - 27 countries (from 2020),2012,Percentage,"Motor coaches, buses and trolley buses",10.3
European Union - 27 countries (from 2020),2013,Percentage,"Motor coaches, buses and trolley buses",10.4
European Union - 27 countries (from 2020),2014,Percentage,"Motor coaches, buses and trolley buses",10.0
European Union - 27 countries (from 2020),2015,Percentage,"Motor coaches, buses and trolley buses",10.0
European Union - 27 countries (from 2020),2016,Percentage,"Motor coaches, buses and trolley buses",9.9
European Union - 27 countries (from 2020),2017,Percentage,"Motor coaches, buses and trolley buses",9.5
European Union - 27 countries (from 2020),2018,Percentage,"Motor coaches, buses and trolley buses",9.5
European Union - 27 countries (from 2020),2019,Percentage,"Motor coaches, buses and trolley buses",9.5
European Union - 27 countries (from 2020),2020,Percentage,"Motor coaches, buses and trolley buses",7.4
European Union - 27 countries (from 2020),2021,Percentage,"Motor coaches, buses and trolley buses",7.5
European Union - 27 countries (from 2020),2022,Percentage,"Motor coaches, buses and trolley buses",8.5
European Union - 28 countries (2013-2020),2000,Percentage,"Motor coaches, buses and trolley buses",9.9
European Union - 28 countries (2013-2020),2001,Percentage,"Motor coaches, buses and trolley buses",9.8
European Union - 28 countries (2013-2020),2002,Percentage,"Motor coaches, buses and trolley buses",9.6
European Union - 28 countries (2013-2020),2003,Percentage,"Motor coaches, buses and trolley buses",9.5
European Union - 28 countries (2013-2020),2004,Percentage,"Motor coaches, buses and trolley buses",9.9
European Union - 28 countries (2013-2020),2005,Percentage,"Motor coaches, buses and trolley buses",9.9
European Union - 28 countries (2013-2020),2006,Percentage,"Motor coaches, buses and trolley buses",9.2
European Union - 28 countries (2013-2020),2007,Percentage,"Motor coaches, buses and trolley buses",9.4
European Union - 28 countries (2013-2020),2008,Percentage,"Motor coaches, buses and trolley buses",9.4
European Union - 28 countries (2013-2020),2009,Percentage,"Motor coaches, buses and trolley buses",9.0
European Union - 28 countries (2013-2020),2010,Percentage,"Motor coaches, buses and trolley buses",9.3
European Union - 28 countries (2013-2020),2011,Percentage,"Motor coaches, buses and trolley buses",9.6
European Union - 28 countries (2013-2020),2012,Percentage,"Motor coaches, buses and trolley buses",9.7
European Union - 28 countries (2013-2020),2013,Percentage,"Motor coaches, buses and trolley buses",9.8
European Union - 28 countries (2013-2020),2014,Percentage,"Motor coaches, buses and trolley buses",9.4
European Union - 28 countries (2013-2020),2015,Percentage,"Motor coaches, buses and trolley buses",9.4
European Union - 28 countries (2013-2020),2016,Percentage,"Motor coaches, buses and trolley buses",9.2
European Union - 28 countries (2013-2020),2017,Percentage,"Motor coaches, buses and trolley buses",8.9
European Union - 28 countries (2013-2020),2018,Percentage,"Motor coaches, buses and trolley buses",8.8
European Union - 28 countries (2013-2020),2019,Percentage,"Motor coaches, buses and trolley buses",9.1
Finland,2000,Percentage,"Motor coaches, buses and trolley buses",11.5
Finland,2001,Percentage,"Motor coaches, buses and trolley buses",11.3
Finland,2002,Percentage,"Motor coaches, buses and trolley buses",11.1
Finland,2003,Percentage,"Motor coaches, buses and trolley buses",10.9
Finland,2004,Percentage,"Motor coaches, buses and trolley buses",10.6
Finland,2005,Percentage,"Motor coaches, buses and trolley buses",10.3
Finland,2006,Percentage,"Motor coaches, buses and trolley buses",10.3
Finland,2007,Percentage,"Motor coaches, buses and trolley buses",10.0
Finland,2008,Percentage,"Motor coaches, buses and trolley buses",10.1
Finland,2009,Percentage,"Motor coaches, buses and trolley buses",10.0
Finland,2010,Percentage,"Motor coaches, buses and trolley buses",9.9
Finland,2011,Percentage,"Motor coaches, buses and trolley buses",9.8
Finland,2012,Percentage,"Motor coaches, buses and trolley buses",9.8
Finland,2013,Percentage,"Motor coaches, buses and trolley buses",9.8
Finland,2014,Percentage,"Motor coaches, buses and trolley buses",9.8
Finland,2015,Percentage,"Motor coaches, buses and trolley buses",9.7
Finland,2016,Percentage,"Motor coaches, buses and trolley buses",10.5
Finland,2017,Percentage,"Motor coaches, buses and trolley buses",10.4
Finland,2018,Percentage,"Motor coaches, buses and trolley buses",10.1
Finland,2019,Percentage,"Motor coaches, buses and trolley buses",9.9
Finland,2020,Percentage,"Motor coaches, buses and trolley buses",9.2
Finland,2021,Percentage,"Motor coaches, buses and trolley buses",8.3
Finland,2022,Percentage,"Motor coaches, buses and trolley buses",9.4
France,2000,Percentage,"Motor coaches, buses and trolley buses",5.3
France,2001,Percentage,"Motor coaches, buses and trolley buses",4.9
France,2002,Percentage,"Motor coaches, buses and trolley buses",5.0
France,2003,Percentage,"Motor coaches, buses and trolley buses",5.0
France,2004,Percentage,"Motor coaches, buses and trolley buses",5.1
France,2005,Percentage,"Motor coaches, buses and trolley buses",5.2
France,2006,Percentage,"Motor coaches, buses and trolley buses",5.3
France,2007,Percentage,"Motor coaches, buses and trolley buses",5.5
France,2008,Percentage,"Motor coaches, buses and trolley buses",5.7
France,2009,Percentage,"Motor coaches, buses and trolley buses",5.2
France,2010,Percentage,"Motor coaches, buses and trolley buses",5.2
France,2011,Percentage,"Motor coaches, buses and trolley buses",5.3
France,2012,Percentage,"Motor coaches, buses and trolley buses",5.4
France,2013,Percentage,"Motor coaches, buses and trolley buses",6.2
France,2014,Percentage,"Motor coaches, buses and trolley buses",6.3
France,2015,Percentage,"Motor coaches, buses and trolley buses",6.3
France,2016,Percentage,"Motor coaches, buses and trolley buses",6.4
France,2017,Percentage,"Motor coaches, buses and trolley buses",6.4
France,2018,Percentage,"Motor coaches, buses and trolley buses",6.5
France,2019,Percentage,"Motor coaches, buses and trolley buses",6.4
France,2020,Percentage,"Motor coaches, buses and trolley buses",5.2
France,2021,Percentage,"Motor coaches, buses and trolley buses",4.9
France,2022,Percentage,"Motor coaches, buses and trolley buses",5.0
Croatia,2000,Percentage,"Motor coaches, buses and trolley buses",13.6
Croatia,2001,Percentage,"Motor coaches, buses and trolley buses",13.5
Croatia,2002,Percentage,"Motor coaches, buses and trolley buses",13.3
Croatia,2003,Percentage,"Motor coaches, buses and trolley buses",13.6
Croatia,2004,Percentage,"Motor coaches, buses and trolley buses",12.1
Croatia,2005,Percentage,"Motor coaches, buses and trolley buses",11.9
Croatia,2006,Percentage,"Motor coaches, buses and trolley buses",11.8
Croatia,2007,Percentage,"Motor coaches, buses and trolley buses",12.1
Croatia,2008,Percentage,"Motor coaches, buses and trolley buses",12.5
Croatia,2009,Percentage,"Motor coaches, buses and trolley buses",10.7
Croatia,2010,Percentage,"Motor coaches, buses and trolley buses",10.7
Croatia,2011,Percentage,"Motor coaches, buses and trolley buses",10.5
Croatia,2012,Percentage,"Motor coaches, buses and trolley buses",10.7
Croatia,2013,Percentage,"Motor coaches, buses and trolley buses",11.5
Croatia,2014,Percentage,"Motor coaches, buses and trolley buses",11.9
Croatia,2015,Percentage,"Motor coaches, buses and trolley buses",11.0
Croatia,2016,Percentage,"Motor coaches, buses and trolley buses",12.3
Croatia,2017,Percentage,"Motor coaches, buses and trolley buses",13.4
Croatia,2018,Percentage,"Motor coaches, buses and trolley buses",12.7
Croatia,2019,Percentage,"Motor coaches, buses and trolley buses",13.4
Croatia,2020,Percentage,"Motor coaches, buses and trolley buses",9.1
Croatia,2021,Percentage,"Motor coaches, buses and trolley buses",9.2
Croatia,2022,Percentage,"Motor coaches, buses and trolley buses",11.6
Hungary,2000,Percentage,"Motor coaches, buses and trolley buses",25.0
Hungary,2001,Percentage,"Motor coaches, buses and trolley buses",24.9
Hungary,2002,Percentage,"Motor coaches, buses and trolley buses",24.7
Hungary,2003,Percentage,"Motor coaches, buses and trolley buses",24.6
Hungary,2004,Percentage,"Motor coaches, buses and trolley buses",22.7
Hungary,2005,Percentage,"Motor coaches, buses and trolley buses",23.4
Hungary,2006,Percentage,"Motor coaches, buses and trolley buses",22.1
Hungary,2007,Percentage,"Motor coaches, buses and trolley buses",21.1
Hungary,2008,Percentage,"Motor coaches, buses and trolley buses",24.2
Hungary,2009,Percentage,"Motor coaches, buses and trolley buses",20.7
Hungary,2010,Percentage,"Motor coaches, buses and trolley buses",21.5
Hungary,2011,Percentage,"Motor coaches, buses and trolley buses",21.5
Hungary,2012,Percentage,"Motor coaches, buses and trolley buses",22.3
Hungary,2013,Percentage,"Motor coaches, buses and trolley buses",21.4
Hungary,2014,Percentage,"Motor coaches, buses and trolley buses",21.3
Hungary,2015,Percentage,"Motor coaches, buses and trolley buses",20.9
Hungary,2016,Percentage,"Motor coaches, buses and trolley buses",21.5
Hungary,2017,Percentage,"Motor coaches, buses and trolley buses",21.1
Hungary,2018,Percentage,"Motor coaches, buses and trolley buses",19.3
Hungary,2019,Percentage,"Motor coaches, buses and trolley buses",18.6
Hungary,2020,Percentage,"Motor coaches, buses and trolley buses",15.3
Hungary,2021,Percentage,"Motor coaches, buses and trolley buses",14.3
Hungary,2022,Percentage,"Motor coaches, buses and trolley buses",15.6
Ireland,2000,Percentage,"Motor coaches, buses and trolley buses",16.2
Ireland,2001,Percentage,"Motor coaches, buses and trolley buses",16.1
Ireland,2002,Percentage,"Motor coaches, buses and trolley buses",15.6
Ireland,2003,Percentage,"Motor coaches, buses and trolley buses",15.3
Ireland,2004,Percentage,"Motor coaches, buses and trolley buses",15.1
Ireland,2005,Percentage,"Motor coaches, buses and trolley buses",14.6
Ireland,2006,Percentage,"Motor coaches, buses and trolley buses",14.4
Ireland,2007,Percentage,"Motor coaches, buses and trolley buses",14.2
Ireland,2008,Percentage,"Motor coaches, buses and trolley buses",14.4
Ireland,2009,Percentage,"Motor coaches, buses and trolley buses",15.0
Ireland,2010,Percentage,"Motor coaches, buses and trolley buses",14.5
Ireland,2011,Percentage,"Motor coaches, buses and trolley buses",14.6
